"000:00:00.000","Info","2019-06-24 02:08:30","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7185 a7521 a7053 a7384"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.630","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.631","","","","","","ZONE_DISTANCES",1704,25619,10033,22686,15459,30929,4521,22690
"000:35:30.631","","","","","","ZONE_TIMERS",12.607,287.450,81.893,218.163,92.334,207.723,33.692,266.364
"000:35:30.632","","","","","","ZONE_COUNTERS",12,13,37,37,46,47,14,15
"000:35:30.632","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.632","","","","","","TOTAL_ARENA_DISTANCES",27323,32719,46388,27211
"000:40:30.689","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.690","","","","","","ZONE_DISTANCES",23492,2045,15673,13260,19975,20507,23652,562
"000:40:30.690","","","","","","ZONE_TIMERS",286.135,13.923,178.596,121.462,146.357,153.701,293.526,6.532
"000:40:30.690","","","","","","ZONE_COUNTERS",9,9,33,34,34,35,2,2
"000:40:30.691","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.691","","","","","","TOTAL_ARENA_DISTANCES",25537,28932,40482,24213
"000:45:30.746","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.747","","","","","","ZONE_DISTANCES",622,21019,12651,14898,3897,39217,509,23493
"000:45:30.747","","","","","","ZONE_TIMERS",6.169,293.887,121.694,178.362,23.054,277.002,5.602,294.454
"000:45:30.748","","","","","","ZONE_COUNTERS",4,4,31,32,23,24,1,1
"000:45:30.748","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.748","","","","","","TOTAL_ARENA_DISTANCES",21641,27550,43114,24002
"000:50:30.800","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.801","","","","","","ZONE_DISTANCES",19598,781,11234,4787,35405,1834,19778,419
"000:50:30.802","","","","","","ZONE_TIMERS",294.866,5.187,269.831,30.222,289.319,10.733,297.206,2.847
"000:50:30.803","","","","","","ZONE_COUNTERS",3,3,15,15,19,19,1,1
"000:50:30.804","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
