"000:00:00.000","Info","2019-06-24 00:07:59","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7289 a7507 a7648 a7426"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.831","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.831","","","","","","ZONE_DISTANCES",28452,14964,27048,26862,30918,29470,26243,21489
"000:35:30.832","","","","","","ZONE_TIMERS",202.930,97.160,156.063,144.026,154.464,145.625,142.464,157.625
"000:35:30.832","","","","","","ZONE_COUNTERS",64,65,69,70,83,83,40,40
"000:35:30.832","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.833","","","","","","TOTAL_ARENA_DISTANCES",43416,53910,60388,47731
"000:40:30.959","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.959","","","","","","ZONE_DISTANCES",22453,20999,17014,26081,38732,36332,24791,21841
"000:40:30.959","","","","","","ZONE_TIMERS",155.534,144.593,106.704,193.423,170.169,129.958,144.754,155.373
"000:40:30.960","","","","","","ZONE_COUNTERS",50,50,35,36,108,107,39,39
"000:40:30.960","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.961","","","","","","TOTAL_ARENA_DISTANCES",43452,43095,75064,46632
"000:45:31.109","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.109","","","","","","ZONE_DISTANCES",29327,15393,27555,29369,44139,28785,17490,22972
"000:45:31.110","","","","","","ZONE_TIMERS",198.306,101.843,144.857,155.292,185.080,115.069,109.191,190.958
"000:45:31.110","","","","","","ZONE_COUNTERS",70,69,67,67,110,110,29,29
"000:45:31.110","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.111","","","","","","TOTAL_ARENA_DISTANCES",44720,56924,72924,40462
"000:50:31.242","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.242","","","","","","ZONE_DISTANCES",25326,21456,22668,28000,40777,27338,22610,23118
"000:50:31.243","","","","","","ZONE_TIMERS",167.221,132.911,127.310,172.822,194.456,105.676,127.877,172.255
"000:50:31.243","","","","","","ZONE_COUNTERS",89,88,54,53,111,111,43,44
"000:50:31.243","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.244","","","","","","TOTAL_ARENA_DISTANCES",46782,50668,68115,45728
"000:55:31.379","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.379","","","","","","ZONE_DISTANCES",23499,17293,25561,30255,49267,35417,20819,24933
"000:55:31.380","","","","","","ZONE_TIMERS",170.380,129.756,136.938,163.198,180.813,119.323,111.142,188.994
"000:55:31.380","","","","","","ZONE_COUNTERS",55,55,64,64,122,121,44,44
"000:55:31.381","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.381","","","","","","TOTAL_ARENA_DISTANCES",40792,55816,84683,45752
