"000:00:00.000","Info","2019-06-24 00:08:33","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7743 a7205 a7704 a7330"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.833","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.834","","","","","","ZONE_DISTANCES",26239,15567,23157,32690,27880,18690,29518,1362
"000:35:30.834","","","","","","ZONE_TIMERS",191.796,108.290,124.265,175.820,254.098,45.987,292.958,7.128
"000:35:30.835","","","","","","ZONE_COUNTERS",58,58,57,56,68,68,9,9
"000:35:30.835","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.836","","","","","","TOTAL_ARENA_DISTANCES",41805,55847,46570,30880
"000:40:30.883","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.883","","","","","","ZONE_DISTANCES",16100,22903,21011,32026,4958,3962,2550,18249
"000:40:30.884","","","","","","ZONE_TIMERS",100.190,199.859,113.865,186.184,289.066,10.983,21.979,278.069
"000:40:30.884","","","","","","ZONE_COUNTERS",31,31,59,59,12,11,16,16
"000:40:30.885","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.885","","","","","","TOTAL_ARENA_DISTANCES",39003,53037,8920,20799
"000:45:30.952","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.952","","","","","","ZONE_DISTANCES",23612,21460,22235,27574,4879,1465,24820,5980
"000:45:30.953","","","","","","ZONE_TIMERS",150.824,149.244,131.245,168.824,295.071,4.997,251.353,48.715
"000:45:30.953","","","","","","ZONE_COUNTERS",58,57,46,46,9,8,30,31
"000:45:30.954","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.954","","","","","","TOTAL_ARENA_DISTANCES",45072,49809,6344,30800
"000:50:31.037","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:31.038","","","","","","ZONE_DISTANCES",7387,32302,13585,31482,3199,2152,16788,18020
"000:50:31.038","","","","","","ZONE_TIMERS",41.849,258.235,76.130,223.954,294.122,5.962,165.556,134.528
"000:50:31.039","","","","","","ZONE_COUNTERS",29,29,54,54,7,6,39,39
"000:50:31.039","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.039","","","","","","TOTAL_ARENA_DISTANCES",39689,45067,5351,34809
"000:55:31.094","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:31.095","","","","","","ZONE_DISTANCES",27506,14026,25051,22982,2237,1234,20503,5158
"000:55:31.095","","","","","","ZONE_TIMERS",203.645,96.411,165.418,134.638,297.302,2.753,259.306,40.750
"000:55:31.096","","","","","","ZONE_COUNTERS",47,47,55,56,4,3,25,24
"000:55:31.096","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.096","","","","","","TOTAL_ARENA_DISTANCES",41532,48033,3470,25661
"001:00:31.184","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:31.184","","","","","","ZONE_DISTANCES",8911,31712,14349,28760,5250,4176,15429,17429
"001:00:31.185","","","","","","ZONE_TIMERS",55.652,244.437,84.906,215.182,289.179,10.910,143.790,156.298
"001:00:31.185","","","","","","ZONE_COUNTERS",39,39,44,45,12,11,36,35
"001:00:31.186","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.186","","","","","","TOTAL_ARENA_DISTANCES",40623,43109,9427,32857
"001:00:31.284","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.285","","","","","","ZONE_DISTANCES",109755,137970,119388,175514,48403,31679,109608,66198
"001:00:31.285","","","","","","ZONE_TIMERS",743.958,1056.484,695.832,1104.610,1718.847,81.595,1134.951,665.490
"001:00:31.286","","","","","","ZONE_COUNTERS",259,259,313,313,107,107,152,152
"001:00:31.286","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.287","","","","","","TOTAL_ARENA_DISTANCES",247725,294901,80082,175806
"001:03:03.334","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:03.335","","","","","","ZONE_DISTANCES",1349,8575,1166,315,7,0,4494,11941
"001:03:03.335","","","","","","ZONE_TIMERS",6.912,53.155,58.534,1.533,60.067,0.000,13.255,46.811
"001:03:03.336","","","","","","ZONE_COUNTERS",12,13,2,1,1,0,28,28
"001:03:03.336","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.336","","","","","","TOTAL_ARENA_DISTANCES",9923,1481,6,16435
"001:04:03.438","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:03.438","","","","","","ZONE_DISTANCES",0,8128,1520,6050,0,0,4826,2543
"001:04:03.439","","","","","","ZONE_TIMERS",0.000,60.104,6.873,53.230,60.104,0.000,49.314,10.789
"001:04:03.439","","","","","","ZONE_COUNTERS",0,1,8,8,1,0,12,12
"001:04:03.440","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.440","","","","","","TOTAL_ARENA_DISTANCES",8129,7570,0,7368
"001:05:03.523","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:03.523","","","","","","ZONE_DISTANCES",2473,8549,5054,8587,0,0,1590,7963
"001:05:03.524","","","","","","ZONE_TIMERS",11.752,48.332,18.779,41.305,60.085,0.000,8.610,51.475
"001:05:03.525","","","","","","ZONE_COUNTERS",13,14,15,15,1,0,12,12
"001:05:03.525","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.525","","","","","","TOTAL_ARENA_DISTANCES",11021,13641,0,9553
"001:06:03.606","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:03.606","","","","","","ZONE_DISTANCES",858,7412,4948,3495,145,0,3186,1183
"001:06:03.607","","","","","","ZONE_TIMERS",3.613,56.469,50.999,9.082,60.082,0.000,54.072,6.009
"001:06:03.607","","","","","","ZONE_COUNTERS",6,7,16,15,1,0,6,6
"001:06:03.608","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.608","","","","","","TOTAL_ARENA_DISTANCES",8270,8443,145,4369
"001:07:03.693","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:03.693","","","","","","ZONE_DISTANCES",2263,8725,4103,5469,1287,335,2550,6253
"001:07:03.694","","","","","","ZONE_TIMERS",12.093,47.993,15.631,44.455,59.453,0.633,16.424,43.662
"001:07:03.694","","","","","","ZONE_COUNTERS",16,17,12,12,2,1,15,15
"001:07:03.695","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.695","","","","","","TOTAL_ARENA_DISTANCES",10988,9571,1622,8803
