"000:00:00.000","Info","2019-06-24 02:07:57","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7606 a6880 a8104 a7146"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.583","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.584","","","","","","ZONE_DISTANCES",13,0,27733,10679,19059,960,23944,24704
"000:35:30.584","","","","","","ZONE_TIMERS",300.067,0.000,273.894,26.173,296.114,3.953,144.553,155.513
"000:35:30.585","","","","","","ZONE_COUNTERS",1,0,40,40,7,6,65,65
"000:35:30.585","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.586","","","","","","TOTAL_ARENA_DISTANCES",12,38412,20019,48648
"000:40:30.752","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.752","","","","","","ZONE_DISTANCES",8053,14441,33729,38240,9590,28157,25076,21909
"000:40:30.753","","","","","","ZONE_TIMERS",216.047,84.121,124.001,176.167,61.380,238.788,156.970,143.197
"000:40:30.753","","","","","","ZONE_COUNTERS",36,35,103,104,15,15,64,63
"000:40:30.754","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.754","","","","","","TOTAL_ARENA_DISTANCES",22494,71970,37747,46984
"000:45:30.878","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.878","","","","","","ZONE_DISTANCES",16911,24996,36366,41065,12034,2460,22838,18539
"000:45:30.879","","","","","","ZONE_TIMERS",121.498,178.627,152.134,147.991,287.411,12.713,172.212,127.912
"000:45:30.879","","","","","","ZONE_COUNTERS",67,66,104,104,7,7,58,57
"000:45:30.880","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.880","","","","","","TOTAL_ARENA_DISTANCES",41907,77430,14494,41378
"000:50:31.009","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.009","","","","","","ZONE_DISTANCES",20529,19626,34855,38728,1088,7358,21773,18662
"000:50:31.010","","","","","","ZONE_TIMERS",155.670,144.460,131.790,168.341,7.230,292.900,160.034,140.096
"000:50:31.010","","","","","","ZONE_COUNTERS",54,53,93,92,2,2,55,54
"000:50:31.011","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.011","","","","","","TOTAL_ARENA_DISTANCES",40155,73583,8446,40434
"000:55:31.173","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.174","","","","","","ZONE_DISTANCES",3775,1544,34841,36334,7766,2016,25327,23306
"000:55:31.174","","","","","","ZONE_TIMERS",291.961,8.203,170.506,129.657,279.772,20.392,163.076,137.087
"000:55:31.175","","","","","","ZONE_COUNTERS",6,5,97,96,3,3,71,70
"000:55:31.175","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.176","","","","","","TOTAL_ARENA_DISTANCES",5319,71176,9782,48634
"001:00:31.334","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.334","","","","","","ZONE_DISTANCES",16611,7677,32990,23905,5447,21483,22922,19233
"001:00:31.335","","","","","","ZONE_TIMERS",246.786,53.373,169.398,130.761,30.656,269.503,156.424,143.735
"001:00:31.335","","","","","","ZONE_COUNTERS",30,30,84,83,16,16,61,61
"001:00:31.335","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.336","","","","","","TOTAL_ARENA_DISTANCES",24287,56895,26930,42154
"001:00:31.405","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.406","","","","","","ZONE_DISTANCES",65892,68284,200514,188951,54984,62434,141880,126353
"001:00:31.406","","","","","","ZONE_TIMERS",1332.031,468.792,1021.730,779.093,962.566,838.257,953.273,847.550
"001:00:31.407","","","","","","ZONE_COUNTERS",189,189,518,517,47,47,369,370
"001:00:31.407","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.407","","","","","","TOTAL_ARENA_DISTANCES",134175,389465,117417,268232
"001:03:04.052","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.053","","","","","","ZONE_DISTANCES",3303,1008,8513,7938,689,7044,3280,3809
"001:03:04.054","","","","","","ZONE_TIMERS",54.231,5.875,34.361,25.745,4.648,55.458,28.594,31.512
"001:03:04.054","","","","","","ZONE_COUNTERS",5,4,22,22,3,3,15,16
"001:03:04.055","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.055","","","","","","TOTAL_ARENA_DISTANCES",4311,16451,7732,7089
"001:04:04.217","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.217","","","","","","ZONE_DISTANCES",0,0,6385,4835,2596,6055,6385,431
"001:04:04.218","","","","","","ZONE_TIMERS",60.164,0.000,34.593,25.571,11.405,48.758,56.565,3.598
"001:04:04.218","","","","","","ZONE_COUNTERS",1,0,17,17,10,11,6,6
"001:04:04.219","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.219","","","","","","TOTAL_ARENA_DISTANCES",0,11220,8651,6816
"001:05:04.391","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:05:04.392","","","","","","ZONE_DISTANCES",6,0,6137,6172,1944,7438,5577,530
"001:05:04.392","","","","","","ZONE_TIMERS",60.174,0.000,34.728,25.446,11.605,48.568,54.647,5.526
"001:05:04.393","","","","","","ZONE_COUNTERS",1,0,16,17,11,12,6,5
"001:05:04.393","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.394","","","","","","TOTAL_ARENA_DISTANCES",6,12309,9382,6107
"001:06:04.540","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:06:04.540","","","","","","ZONE_DISTANCES",2655,1049,7570,5575,1991,5750,5672,325
"001:06:04.541","","","","","","ZONE_TIMERS",52.781,7.366,35.713,24.435,9.797,50.350,57.155,2.992
"001:06:04.541","","","","","","ZONE_COUNTERS",3,3,17,17,8,9,2,1
"001:06:04.542","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.542","","","","","","TOTAL_ARENA_DISTANCES",3704,13145,7741,5997
"001:07:04.714","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:07:04.715","","","","","","ZONE_DISTANCES",4165,3249,3466,3688,1370,1357,4560,640
"001:07:04.715","","","","","","ZONE_TIMERS",36.803,23.371,39.907,20.267,44.211,15.963,53.657,6.517
"001:07:04.716","","","","","","ZONE_COUNTERS",10,10,11,11,2,2,2,1
"001:07:04.716","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.717","","","","","","TOTAL_ARENA_DISTANCES",7414,7154,2727,5200
"001:07:04.794","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:04.795","","","","","","ZONE_DISTANCES",10129,5306,32071,28208,8590,27644,25474,5735
