"000:00:00.000","Info","2019-06-24 04:03:46","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7417 a6986 a7586 a7026"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.708","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.708","","","","","","ZONE_DISTANCES",18435,23462,15747,21773,29493,17162,19640,19898
"000:35:30.709","","","","","","ZONE_TIMERS",126.666,173.418,126.993,173.091,205.318,94.766,156.906,143.178
"000:35:30.709","","","","","","ZONE_COUNTERS",39,40,40,39,68,67,81,81
"000:35:30.710","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.710","","","","","","TOTAL_ARENA_DISTANCES",41896,37520,46655,39538
"000:40:30.761","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.762","","","","","","ZONE_DISTANCES",15503,19013,17204,20765,19692,14405,28043,31252
"000:40:30.762","","","","","","ZONE_TIMERS",113.157,186.896,116.817,183.235,231.225,68.827,132.525,167.528
"000:40:30.763","","","","","","ZONE_COUNTERS",39,40,43,42,45,44,105,105
"000:40:30.763","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.763","","","","","","TOTAL_ARENA_DISTANCES",34516,37969,34097,59294
"000:45:30.833","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.833","","","","","","ZONE_DISTANCES",18987,19246,24649,14183,14132,5380,17083,11349
