"000:00:00.000","Info","2019-07-09 02:18:57","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7617 a7195 a7650 a7151"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.829","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.829","","","","","","ZONE_DISTANCES",11067,13321,9782,21684,22345,20396,20583,21875
"000:35:30.830","","","","","","ZONE_TIMERS",128.049,172.032,72.455,227.625,160.820,139.261,140.706,159.375
"000:35:30.830","","","","","","ZONE_COUNTERS",39,40,25,25,48,48,64,65
"000:35:30.831","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.831","","","","","","TOTAL_ARENA_DISTANCES",24387,31466,42742,42458
"000:40:30.987","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.987","","","","","","ZONE_DISTANCES",11107,17182,15976,13651,19835,21820,21376,20428
"000:40:30.988","","","","","","ZONE_TIMERS",118.773,181.384,171.132,129.026,144.480,155.677,163.987,136.171
"000:40:30.988","","","","","","ZONE_COUNTERS",51,51,37,37,47,47,67,68
"000:40:30.989","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.989","","","","","","TOTAL_ARENA_DISTANCES",28289,29627,41655,41804
"000:45:31.127","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.127","","","","","","ZONE_DISTANCES",11804,9759,8728,17758,20070,19436,18730,17717
"000:45:31.128","","","","","","ZONE_TIMERS",158.878,141.261,79.191,220.947,144.461,155.677,149.603,150.535
"000:45:31.128","","","","","","ZONE_COUNTERS",45,45,24,23,44,44,56,57
"000:45:31.129","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.129","","","","","","TOTAL_ARENA_DISTANCES",21564,26486,39506,36447
"000:50:31.275","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.278","","","","","","ZONE_DISTANCES",12277,11050,14663,12900,17273,20455,14744,19769
"000:50:31.280","","","","","","ZONE_TIMERS",159.239,140.908,168.260,131.887,137.841,162.306,143.144,157.003
"000:50:31.282","","","","","","ZONE_COUNTERS",40,41,34,33,43,42,58,58
"000:50:31.284","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.286","","","","","","TOTAL_ARENA_DISTANCES",23326,27563,37728,34513
"000:55:31.468","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.469","","","","","","ZONE_DISTANCES",8143,14582,11619,16258,18319,18210,18654,16599
"000:55:31.469","","","","","","ZONE_TIMERS",111.733,188.460,105.349,194.844,142.131,158.062,150.597,149.596
"000:55:31.470","","","","","","ZONE_COUNTERS",31,31,31,30,43,42,61,61
"000:55:31.471","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.471","","","","","","TOTAL_ARENA_DISTANCES",22725,27877,36529,35252
"001:00:31.665","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.665","","","","","","ZONE_DISTANCES",12988,11823,12403,11708,18661,18864,15289,15995
"001:00:31.666","","","","","","ZONE_TIMERS",159.493,140.703,165.925,134.271,155.914,144.282,153.001,147.195
"001:00:31.667","","","","","","ZONE_COUNTERS",30,30,32,31,44,43,55,56
"001:00:31.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.668","","","","","","TOTAL_ARENA_DISTANCES",24811,24111,37525,31285
"001:00:31.747","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.747","","","","","","ZONE_DISTANCES",67386,77717,73171,93959,116503,119181,109376,112383
"001:00:31.748","","","","","","ZONE_TIMERS",836.167,964.757,762.321,1038.603,885.656,915.268,901.039,899.885
"001:00:31.749","","","","","","ZONE_COUNTERS",234,235,179,178,265,265,360,361
"001:00:31.749","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.750","","","","","","TOTAL_ARENA_DISTANCES",145102,167130,235684,221760
"001:03:04.493","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:04.493","","","","","","ZONE_DISTANCES",1707,2420,2335,2501,3632,4470,3601,2588
"001:03:04.494","","","","","","ZONE_TIMERS",23.462,36.656,24.907,35.212,25.777,34.341,34.592,25.526
"001:03:04.495","","","","","","ZONE_COUNTERS",6,7,7,7,11,11,11,10
"001:03:04.495","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.495","","","","","","TOTAL_ARENA_DISTANCES",4127,4836,8102,6189
"001:04:04.662","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:04.663","","","","","","ZONE_DISTANCES",2780,2234,3176,2580,3977,4303,3183,3221
"001:04:04.663","","","","","","ZONE_TIMERS",37.108,23.061,33.002,27.167,30.561,29.608,32.089,28.080
"001:04:04.664","","","","","","ZONE_COUNTERS",8,8,8,8,11,11,13,12
"001:04:04.665","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.665","","","","","","TOTAL_ARENA_DISTANCES",5014,5756,8280,6404
"001:05:04.824","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:05:04.825","","","","","","ZONE_DISTANCES",2313,2645,2276,2645,3679,3749,3313,2634
"001:05:04.825","","","","","","ZONE_TIMERS",26.611,33.550,25.536,34.625,28.480,31.681,31.228,28.933
"001:05:04.826","","","","","","ZONE_COUNTERS",8,8,6,6,9,9,11,11
"001:05:04.827","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.827","","","","","","TOTAL_ARENA_DISTANCES",4958,4921,7427,5948
"001:06:05.000","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:06:05.001","","","","","","ZONE_DISTANCES",3121,2098,2570,2205,4049,3416,2556,3267
"001:06:05.002","","","","","","ZONE_TIMERS",34.661,25.515,32.779,27.396,32.687,27.488,27.674,32.502
"001:06:05.002","","","","","","ZONE_COUNTERS",7,8,7,8,9,9,10,11
"001:06:05.003","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:05.003","","","","","","TOTAL_ARENA_DISTANCES",5219,4774,7466,5823
"001:07:05.137","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:07:05.137","","","","","","ZONE_DISTANCES",2089,2748,2708,2777,3250,4474,3002,3024
"001:07:05.138","","","","","","ZONE_TIMERS",24.654,35.481,27.426,32.709,23.114,37.021,28.174,31.961
"001:07:05.139","","","","","","ZONE_COUNTERS",8,8,7,8,8,9,11,12
"001:07:05.140","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.140","","","","","","TOTAL_ARENA_DISTANCES",4838,5485,7723,6025
"001:07:05.219","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:05.220","","","","","","ZONE_DISTANCES",12010,12145,13065,12708,18587,20412,15655,14734
"001:07:05.220","","","","","","ZONE_TIMERS",146.499,154.264,143.652,157.111,140.621,160.142,153.760,147.003
"001:07:05.221","","","","","","ZONE_COUNTERS",36,36,34,34,46,47,54,54
"001:07:05.222","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.222","","","","","","TOTAL_ARENA_DISTANCES",24155,25773,38998,30389
"001:07:05.223","Info","2019-07-09 03:26:03","Service 'CHKGRY' : Execution end"
