"000:00:00.000","Info","2019-07-09 05:46:55","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a6900 a7523 a7733 a7410"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.652","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.653","","","","","","ZONE_DISTANCES",18639,27075,22896,16322,20959,22437,13332,15125
"000:35:30.654","","","","","","ZONE_TIMERS",146.484,153.573,199.621,100.435,143.267,156.790,129.574,170.482
"000:35:30.655","","","","","","ZONE_COUNTERS",51,52,44,43,57,58,27,27
"000:35:30.656","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.656","","","","","","TOTAL_ARENA_DISTANCES",45714,39218,43396,28457
"000:40:30.709","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.710","","","","","","ZONE_DISTANCES",24510,24179,6201,20716,22479,30137,11843,15108
"000:40:30.710","","","","","","ZONE_TIMERS",167.497,132.559,23.898,276.158,96.428,203.628,117.100,182.956
"000:40:30.711","","","","","","ZONE_COUNTERS",52,52,24,24,73,74,33,33
"000:40:30.711","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.711","","","","","","TOTAL_ARENA_DISTANCES",48689,26917,52616,26951
"000:45:30.766","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.766","","","","","","ZONE_DISTANCES",13738,13284,25445,5065,23401,34075,15252,10378
"000:45:30.766","","","","","","ZONE_TIMERS",232.842,67.213,269.331,30.725,100.264,199.791,176.991,123.064
"000:45:30.767","","","","","","ZONE_COUNTERS",27,27,27,27,86,87,29,28
"000:45:30.767","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.768","","","","","","TOTAL_ARENA_DISTANCES",27022,30510,57476,25630
"000:50:30.846","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.848","","","","","","ZONE_DISTANCES",21135,21891,4006,17310,19755,28559,8383,14603
"000:50:30.849","","","","","","ZONE_TIMERS",117.991,182.089,41.361,258.719,91.817,208.263,93.138,206.941
"000:50:30.850","","","","","","ZONE_COUNTERS",45,46,21,21,76,76,29,29
"000:50:30.851","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.852","","","","","","TOTAL_ARENA_DISTANCES",43026,21315,48314,22986
"000:55:30.941","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:30.942","","","","","","ZONE_DISTANCES",16710,19140,21319,5081,16547,24667,10842,8786
"000:55:30.943","","","","","","ZONE_TIMERS",209.408,90.686,278.467,21.627,111.866,188.228,169.562,130.532
"000:55:30.944","","","","","","ZONE_COUNTERS",30,31,24,24,54,53,20,21
"000:55:30.945","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.946","","","","","","TOTAL_ARENA_DISTANCES",35851,26401,41214,19628
"001:00:31.023","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:31.023","","","","","","ZONE_DISTANCES",14743,17699,13269,14944,8249,25979,7602,11715
"001:00:31.024","","","","","","ZONE_TIMERS",99.144,200.937,76.046,224.035,34.521,265.560,98.163,201.918
"001:00:31.024","","","","","","ZONE_COUNTERS",35,36,34,33,41,41,22,22
"001:00:31.024","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.025","","","","","","TOTAL_ARENA_DISTANCES",32442,28213,34228,19317
"001:00:31.120","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.121","","","","","","ZONE_DISTANCES",109475,123268,93136,79438,111390,165854,67254,75715
"001:00:31.121","","","","","","ZONE_TIMERS",973.369,827.064,888.732,911.701,578.165,1222.267,784.536,1015.897
"001:00:31.122","","","","","","ZONE_COUNTERS",239,240,171,170,385,386,158,157
"001:00:31.122","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.122","","","","","","TOTAL_ARENA_DISTANCES",232743,172574,277244,142969
"001:03:03.218","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:03:03.218","","","","","","ZONE_DISTANCES",3253,4550,4512,4317,2898,3651,2479,2142
"001:03:03.219","","","","","","ZONE_TIMERS",31.518,28.552,43.071,16.999,25.910,34.160,31.357,28.714
"001:03:03.219","","","","","","ZONE_COUNTERS",8,9,10,10,9,9,5,6
"001:03:03.220","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.220","","","","","","TOTAL_ARENA_DISTANCES",7803,8829,6549,4622
"001:04:03.287","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:04:03.288","","","","","","ZONE_DISTANCES",3501,3115,2486,3498,1255,4195,2181,2894
"001:04:03.288","","","","","","ZONE_TIMERS",33.639,26.429,11.020,49.049,10.840,49.229,24.461,35.608
"001:04:03.289","","","","","","ZONE_COUNTERS",8,8,7,7,5,5,7,8
"001:04:03.289","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.289","","","","","","TOTAL_ARENA_DISTANCES",6616,5984,5451,5074
"001:05:03.384","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:05:03.384","","","","","","ZONE_DISTANCES",3301,4022,4501,3198,3686,4603,2877,2855
"001:05:03.385","","","","","","ZONE_TIMERS",36.259,23.837,40.698,19.397,26.420,33.675,30.656,29.440
"001:05:03.385","","","","","","ZONE_COUNTERS",8,8,11,12,12,13,7,8
"001:05:03.386","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.386","","","","","","TOTAL_ARENA_DISTANCES",7323,7699,8288,5733
"001:06:03.456","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:06:03.457","","","","","","ZONE_DISTANCES",3956,3447,3046,5620,1684,3900,630,4869
"001:06:03.457","","","","","","ZONE_TIMERS",30.853,29.219,11.451,48.621,15.015,45.057,4.342,55.730
"001:06:03.458","","","","","","ZONE_COUNTERS",8,8,11,12,7,7,2,3
"001:06:03.458","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.459","","","","","","TOTAL_ARENA_DISTANCES",7403,8666,5585,5499
"001:07:03.557","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:07:03.557","","","","","","ZONE_DISTANCES",3978,3295,2315,1479,3876,4625,2028,682
"001:07:03.558","","","","","","ZONE_TIMERS",48.576,11.523,53.689,6.410,28.751,31.348,50.693,9.406
"001:07:03.558","","","","","","ZONE_COUNTERS",8,8,5,5,13,13,2,2
"001:07:03.559","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.559","","","","","","TOTAL_ARENA_DISTANCES",7274,3794,8501,2710
"001:07:03.664","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.664","","","","","","ZONE_DISTANCES",17989,18429,16860,18112,13399,20974,10195,13442
"001:07:03.665","","","","","","ZONE_TIMERS",180.847,119.563,159.931,140.479,106.938,193.471,141.510,158.900
"001:07:03.665","","","","","","ZONE_COUNTERS",38,39,43,43,44,45,23,23
"001:07:03.666","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.666","","","","","","TOTAL_ARENA_DISTANCES",36418,34972,34373,23637
"001:07:03.667","Info","2019-07-09 06:53:58","Service 'ORAMAG' : Execution end"
