"000:00:00.000","Info","2019-07-09 04:02:40","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7626 a7653 a7695 a7385"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.554","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.554","","","","","","ZONE_DISTANCES",33000,26110,9390,8119,29591,26898,23707,8845
"000:35:30.555","","","","","","ZONE_TIMERS",153.975,146.086,272.353,27.707,187.702,112.359,226.894,73.167
"000:35:30.555","","","","","","ZONE_COUNTERS",57,58,25,24,62,62,54,53
"000:35:30.556","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.556","","","","","","TOTAL_ARENA_DISTANCES",59109,17509,56489,32551
"000:40:30.652","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.652","","","","","","ZONE_DISTANCES",24758,31740,18519,17243,9704,11265,13188,18363
"000:40:30.653","","","","","","ZONE_TIMERS",96.592,203.505,48.470,251.627,45.784,254.312,112.698,187.398
"000:40:30.653","","","","","","ZONE_COUNTERS",60,61,49,49,21,22,48,47
"000:40:30.654","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.654","","","","","","TOTAL_ARENA_DISTANCES",56498,35762,20969,31551
"000:45:30.722","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.723","","","","","","ZONE_DISTANCES",30259,24842,5204,3484,21582,18589,18211,14155
"000:45:30.723","","","","","","ZONE_TIMERS",201.395,98.674,288.379,11.691,203.911,96.159,174.108,125.961
"000:45:30.724","","","","","","ZONE_COUNTERS",63,63,12,12,43,44,48,47
"000:45:30.725","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.725","","","","","","TOTAL_ARENA_DISTANCES",55101,8688,40172,32366
"000:50:30.798","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.799","","","","","","ZONE_DISTANCES",19759,25021,8969,11850,10771,15821,14035,18353
"000:50:30.799","","","","","","ZONE_TIMERS",71.512,228.564,24.275,275.800,53.711,246.364,117.450,182.626
"000:50:30.800","","","","","","ZONE_COUNTERS",49,49,30,30,24,25,45,45
"000:50:30.800","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.801","","","","","","TOTAL_ARENA_DISTANCES",44780,20818,26591,32388
"000:55:30.884","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.884","","","","","","ZONE_DISTANCES",23633,18409,10334,7952,16891,12969,21620,16959
"000:55:30.884","","","","","","ZONE_TIMERS",237.622,62.462,279.521,20.564,241.652,58.433,173.566,126.519
"000:55:30.885","","","","","","ZONE_COUNTERS",39,39,25,25,32,32,63,63
"000:55:30.885","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.886","","","","","","TOTAL_ARENA_DISTANCES",42042,18286,29860,38579
"001:00:30.980","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
