"000:00:00.000","Info","2019-07-09 05:46:25","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7706 a7004 a7746 a6890"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.616","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.616","","","","","","ZONE_DISTANCES",18352,20877,22545,21877,13102,24833,10616,7807
"000:35:30.617","","","","","","ZONE_TIMERS",163.381,136.703,192.128,107.956,88.831,211.253,223.489,76.595
"000:35:30.617","","","","","","ZONE_COUNTERS",58,57,50,49,37,38,32,31
"000:35:30.618","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.618","","","","","","TOTAL_ARENA_DISTANCES",39228,44422,37934,18423
"000:40:30.673","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.673","","","","","","ZONE_DISTANCES",14858,16652,19021,23273,15425,22721,14134,8716
"000:40:30.674","","","","","","ZONE_TIMERS",95.860,204.197,95.297,204.759,95.873,204.183,164.268,135.788
"000:40:30.674","","","","","","ZONE_COUNTERS",40,39,56,55,39,40,42,41
"000:40:30.675","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.675","","","","","","TOTAL_ARENA_DISTANCES",31510,42294,38147,22850
"000:45:30.747","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.747","","","","","","ZONE_DISTANCES",14319,18148,21345,14410,15904,22082,7523,10480
"000:45:30.748","","","","","","ZONE_TIMERS",134.724,165.349,231.295,68.778,116.936,183.137,143.261,156.812
"000:45:30.748","","","","","","ZONE_COUNTERS",46,45,49,49,37,38,34,34
"000:45:30.749","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.749","","","","","","TOTAL_ARENA_DISTANCES",32467,35755,37986,18004
