"000:00:00.000","Info","2019-07-10 02:33:36","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7745 a7364 a7303 a7341"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.545","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.545","","","","","","ZONE_DISTANCES",18420,20045,24963,20225,27045,7774,21591,20824
"000:35:30.546","","","","","","ZONE_TIMERS",122.264,177.737,186.207,113.795,247.983,52.018,216.670,83.331
"000:35:30.547","","","","","","ZONE_COUNTERS",45,45,51,50,34,33,86,85
"000:35:30.547","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.548","","","","","","TOTAL_ARENA_DISTANCES",38465,45189,34819,42415
"000:40:30.584","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.584","","","","","","ZONE_DISTANCES",13121,17788,16896,26953,9912,21661,10992,17635
"000:40:30.585","","","","","","ZONE_TIMERS",112.967,187.072,95.268,204.771,84.715,215.324,80.143,219.896
"000:40:30.585","","","","","","ZONE_COUNTERS",31,31,48,47,37,36,34,34
"000:40:30.586","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.586","","","","","","TOTAL_ARENA_DISTANCES",30908,43849,31573,28627
"000:45:30.593","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.594","","","","","","ZONE_DISTANCES",13998,15723,17097,24457,26188,2240,11099,10244
"000:45:30.595","","","","","","ZONE_TIMERS",161.737,138.271,144.276,155.733,283.492,16.516,253.609,46.400
"000:45:30.595","","","","","","ZONE_COUNTERS",30,29,63,62,21,20,37,37
"000:45:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.596","","","","","","TOTAL_ARENA_DISTANCES",29721,41553,28427,21344
"000:50:30.605","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.605","","","","","","ZONE_DISTANCES",9577,14853,24418,10878,4851,24983,12156,17061
"000:50:30.606","","","","","","ZONE_TIMERS",118.529,181.481,213.909,86.101,37.687,262.323,54.683,245.327
"000:50:30.606","","","","","","ZONE_COUNTERS",24,24,57,56,31,31,41,40
"000:50:30.607","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.608","","","","","","TOTAL_ARENA_DISTANCES",24430,35297,29835,29216
"000:55:30.643","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.644","","","","","","ZONE_DISTANCES",12855,15673,11343,22656,23000,7220,8705,6820
"000:55:30.645","","","","","","ZONE_TIMERS",108.426,191.612,111.371,188.666,244.040,55.998,268.346,31.692
"000:55:30.645","","","","","","ZONE_COUNTERS",33,34,59,58,36,37,28,27
"000:55:30.646","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.646","","","","","","TOTAL_ARENA_DISTANCES",28528,33999,30219,15525
"001:00:30.685","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.688","","","","","","ZONE_DISTANCES",7356,11193,17690,15081,10034,15354,8566,10631
"001:00:30.689","","","","","","ZONE_TIMERS",78.659,221.381,160.308,139.732,140.506,159.535,71.500,228.541
"001:00:30.691","","","","","","ZONE_COUNTERS",17,18,51,50,29,29,28,27
"001:00:30.692","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.693","","","","","","TOTAL_ARENA_DISTANCES",18549,32771,25388,19197
"001:00:30.778","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.778","","","","","","ZONE_DISTANCES",75327,95275,112407,120250,101030,79232,73109,83215
"001:00:30.779","","","","","","ZONE_TIMERS",702.584,1097.571,911.355,888.800,1038.439,761.717,944.967,855.188
"001:00:30.780","","","","","","ZONE_COUNTERS",178,178,324,323,185,184,250,249
"001:00:30.781","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.781","","","","","","TOTAL_ARENA_DISTANCES",170602,232658,180262,156324
"001:03:02.463","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.465","","","","","","ZONE_DISTANCES",0,0,5464,8050,1555,896,1238,1300
"001:03:02.466","","","","","","ZONE_TIMERS",60.060,0.000,36.576,23.483,56.958,3.101,54.772,5.287
"001:03:02.467","","","","","","ZONE_COUNTERS",1,0,20,20,2,1,8,7
"001:03:02.469","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.469","","","","","","TOTAL_ARENA_DISTANCES",0,13514,2451,2538
"001:04:02.542","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.543","","","","","","ZONE_DISTANCES",6,0,6154,4969,4101,3698,3595,1464
"001:04:02.544","","","","","","ZONE_TIMERS",60.079,0.000,28.128,31.950,34.585,25.493,49.340,10.739
