"000:00:00.000","Info","2019-07-10 04:08:55","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6988 a7270 a6888 a7624"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.522","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.522","","","","","","ZONE_DISTANCES",15325,13379,13023,20373,21347,9959,17593,10523
"000:35:30.523","","","","","","ZONE_TIMERS",164.547,135.454,98.948,201.054,205.107,94.895,204.043,95.959
"000:35:30.523","","","","","","ZONE_COUNTERS",31,30,33,34,53,52,27,26
"000:35:30.524","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.524","","","","","","TOTAL_ARENA_DISTANCES",28704,33397,31307,28116
"000:40:30.561","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.561","","","","","","ZONE_DISTANCES",12783,13235,21000,16897,3207,24735,2764,20676
"000:40:30.562","","","","","","ZONE_TIMERS",148.303,151.735,192.923,107.115,30.369,269.669,21.960,278.078
"000:40:30.562","","","","","","ZONE_COUNTERS",23,23,41,41,17,17,14,14
"000:40:30.563","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.564","","","","","","TOTAL_ARENA_DISTANCES",26019,37897,27942,23440
"000:45:30.605","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.606","","","","","","ZONE_DISTANCES",14274,14129,16757,15543,18504,9658,14195,10971
"000:45:30.607","","","","","","ZONE_TIMERS",143.498,156.545,136.685,163.357,181.448,118.595,192.197,107.846
"000:45:30.608","","","","","","ZONE_COUNTERS",33,34,43,42,35,36,18,19
"000:45:30.609","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.610","","","","","","TOTAL_ARENA_DISTANCES",28403,32300,28162,25166
"000:50:30.644","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.645","","","","","","ZONE_DISTANCES",14985,14926,17860,15966,10978,20677,15108,7828
"000:50:30.646","","","","","","ZONE_TIMERS",163.324,136.714,171.837,128.202,107.592,192.447,218.774,81.265
"000:50:30.647","","","","","","ZONE_COUNTERS",35,36,42,41,45,46,15,15
"000:50:30.648","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.648","","","","","","TOTAL_ARENA_DISTANCES",29911,33826,31655,22936
"000:55:30.656","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.658","","","","","","ZONE_DISTANCES",13143,15010,16502,16939,22074,16700,11248,13923
"000:55:30.660","","","","","","ZONE_TIMERS",125.149,174.862,125.892,174.118,147.516,152.495,151.600,148.410
"000:55:30.662","","","","","","ZONE_COUNTERS",32,32,41,40,61,61,26,26
"000:55:30.663","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
