"000:00:00.000","Info","2019-07-10 04:09:02","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7097 a7584 a7447 a7012"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.542","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.543","","","","","","ZONE_DISTANCES",32692,16765,25102,12835,20683,21527,15674,13148
"000:35:30.543","","","","","","ZONE_TIMERS",224.735,75.319,236.938,63.117,155.918,144.136,176.035,124.020
"000:35:30.544","","","","","","ZONE_COUNTERS",57,57,33,33,60,61,39,38
"000:35:30.544","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.545","","","","","","TOTAL_ARENA_DISTANCES",49458,37937,42210,28822
"000:40:30.598","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.598","","","","","","ZONE_DISTANCES",11216,18875,20996,23586,22264,21856,16862,14423
"000:40:30.599","","","","","","ZONE_TIMERS",74.889,225.165,116.598,183.456,135.814,164.240,158.267,141.788
"000:40:30.599","","","","","","ZONE_COUNTERS",34,34,48,47,68,69,42,42
"000:40:30.600","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.600","","","","","","TOTAL_ARENA_DISTANCES",30090,44582,44121,31285
"000:45:30.668","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.668","","","","","","ZONE_DISTANCES",18066,21695,21453,7839,19466,16911,16345,14168
"000:45:30.669","","","","","","ZONE_TIMERS",231.410,68.659,258.259,41.810,177.049,123.020,173.555,126.514
"000:45:30.669","","","","","","ZONE_COUNTERS",49,49,25,24,63,64,39,40
"000:45:30.670","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.670","","","","","","TOTAL_ARENA_DISTANCES",39762,29291,36376,30513
"000:50:30.713","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.713","","","","","","ZONE_DISTANCES",10613,15832,19115,21534,16919,16160,14737,14481
"000:50:30.714","","","","","","ZONE_TIMERS",73.836,226.208,108.781,191.263,138.352,161.692,140.568,159.476
"000:50:30.714","","","","","","ZONE_COUNTERS",31,31,47,46,54,54,35,36
"000:50:30.715","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.715","","","","","","TOTAL_ARENA_DISTANCES",26444,40649,33079,29218
"000:55:30.786","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.786","","","","","","ZONE_DISTANCES",17494,22678,22927,8744,18601,14734,16196,12733
"000:55:30.787","","","","","","ZONE_TIMERS",206.169,93.904,259.128,40.945,181.623,118.449,187.811,112.262
"000:55:30.787","","","","","","ZONE_COUNTERS",46,46,25,24,53,52,35,35
"000:55:30.788","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.788","","","","","","TOTAL_ARENA_DISTANCES",40172,31671,33335,28929
"001:00:30.850","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:30.851","","","","","","ZONE_DISTANCES",13561,16383,17130,18529,16740,17498,14400,15109
"001:00:30.851","","","","","","ZONE_TIMERS",105.535,194.528,118.351,181.712,130.057,170.006,137.563,162.500
"001:00:30.852","","","","","","ZONE_COUNTERS",40,39,41,40,50,50,37,36
"001:00:30.852","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
