"000:00:00.000","Info","2019-07-10 02:33:01","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7705 a7509 a7668 a8105"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.585","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.586","","","","","","ZONE_DISTANCES",22715,18206,10587,20235,26928,36155,5049,6829
"000:35:30.587","","","","","","ZONE_TIMERS",195.729,104.323,86.279,213.773,114.009,186.043,27.186,272.866
"000:35:30.587","","","","","","ZONE_COUNTERS",51,51,38,38,103,103,13,14
"000:35:30.588","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.588","","","","","","TOTAL_ARENA_DISTANCES",40921,30821,63083,11877
"000:40:30.644","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.644","","","","","","ZONE_DISTANCES",21322,17585,16634,18299,36692,18142,0,528
"000:40:30.645","","","","","","ZONE_TIMERS",220.915,79.143,168.279,131.779,220.355,79.702,0.000,300.058
"000:40:30.646","","","","","","ZONE_COUNTERS",50,50,41,40,94,94,0,1
"000:40:30.646","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.647","","","","","","TOTAL_ARENA_DISTANCES",38907,34934,54834,528
"000:45:30.709","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.710","","","","","","ZONE_DISTANCES",18701,13260,11691,20931,24486,25649,1202,1192
"000:45:30.711","","","","","","ZONE_TIMERS",219.116,80.949,65.891,234.174,136.032,164.033,9.990,290.074
"000:45:30.711","","","","","","ZONE_COUNTERS",44,44,34,34,80,80,2,3
"000:45:30.712","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.712","","","","","","TOTAL_ARENA_DISTANCES",31961,32621,50135,2394
"000:50:30.784","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.785","","","","","","ZONE_DISTANCES",19195,16900,14741,8114,19698,22540,0,320
"000:50:30.785","","","","","","ZONE_TIMERS",191.393,108.681,265.492,34.582,144.840,155.234,0.000,300.074
"000:50:30.786","","","","","","ZONE_COUNTERS",45,44,24,24,75,75,0,1
"000:50:30.787","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.787","","","","","","TOTAL_ARENA_DISTANCES",36095,22855,42238,320
"000:55:30.839","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:30.840","","","","","","ZONE_DISTANCES",18630,18881,9355,12916,22774,15822,0,505
"000:55:30.841","","","","","","ZONE_TIMERS",149.670,150.384,60.003,240.052,168.235,131.819,0.000,300.055
"000:55:30.841","","","","","","ZONE_COUNTERS",41,41,22,22,68,69,0,1
"000:55:30.842","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.842","","","","","","TOTAL_ARENA_DISTANCES",37511,22271,38596,505
"001:00:30.925","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:30.926","","","","","","ZONE_DISTANCES",20275,15405,10869,7438,20457,18123,259,1860
"001:00:30.926","","","","","","ZONE_TIMERS",200.573,99.511,236.943,63.142,173.262,126.823,2.408,297.676
"001:00:30.927","","","","","","ZONE_COUNTERS",49,49,19,19,59,59,2,3
"001:00:30.927","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.928","","","","","","TOTAL_ARENA_DISTANCES",35680,18306,38579,2118
"001:00:30.995","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.996","","","","","","ZONE_DISTANCES",120838,100237,73877,87933,151035,136431,6510,11234
"001:00:30.997","","","","","","ZONE_TIMERS",1177.406,622.993,882.896,917.503,956.743,843.656,39.586,1760.813
"001:00:30.997","","","","","","ZONE_COUNTERS",277,277,175,175,477,477,17,18
"001:00:30.998","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.998","","","","","","TOTAL_ARENA_DISTANCES",221075,161809,287466,17743
