"000:00:00.000","Info","2019-07-11 03:21:50","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7489 a7588 a7058 a6936"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.629","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.629","","","","","","ZONE_DISTANCES",53330,45108,16957,24892,14427,22603,14822,21712
"000:35:30.630","","","","","","ZONE_TIMERS",133.947,166.107,108.438,191.617,96.323,203.731,117.561,182.493
"000:35:30.630","","","","","","ZONE_COUNTERS",144,145,47,48,35,35,61,60
"000:35:30.631","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.631","","","","","","TOTAL_ARENA_DISTANCES",98439,41849,37030,36535
"000:40:30.751","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.752","","","","","","ZONE_DISTANCES",42010,38086,16416,21620,14058,19490,11608,22145
"000:40:30.752","","","","","","ZONE_TIMERS",141.804,158.318,118.506,181.615,130.762,169.359,103.143,196.978
"000:40:30.753","","","","","","ZONE_COUNTERS",104,105,42,42,36,37,56,55
"000:40:30.753","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.753","","","","","","TOTAL_ARENA_DISTANCES",80096,38036,33548,33753
"000:45:30.900","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.900","","","","","","ZONE_DISTANCES",45121,47319,16619,21152,15204,17421,17936,20038
"000:45:30.901","","","","","","ZONE_TIMERS",67.528,232.620,116.330,183.817,117.488,182.660,136.806,163.342
"000:45:30.901","","","","","","ZONE_COUNTERS",135,136,44,43,39,39,62,61
"000:45:30.902","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.902","","","","","","TOTAL_ARENA_DISTANCES",92440,37771,32625,37974
"000:50:31.043","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.043","","","","","","ZONE_DISTANCES",50564,48417,15675,20503,16701,16831,14580,20322
"000:50:31.044","","","","","","ZONE_TIMERS",128.193,171.948,119.845,180.297,149.547,150.594,129.056,171.085
"000:50:31.044","","","","","","ZONE_COUNTERS",152,153,48,47,37,36,55,55
"000:50:31.045","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.045","","","","","","TOTAL_ARENA_DISTANCES",98982,36177,33532,34903
"000:55:31.178","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.178","","","","","","ZONE_DISTANCES",32744,27935,16081,19773,14166,18723,18989,20586
"000:55:31.178","","","","","","ZONE_TIMERS",108.182,191.952,119.876,180.258,110.429,189.705,136.159,163.974
"000:55:31.179","","","","","","ZONE_COUNTERS",85,85,46,46,42,41,63,63
"000:55:31.179","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.180","","","","","","TOTAL_ARENA_DISTANCES",60678,35854,32889,39575
