"000:00:00.000","Info","2019-07-11 01:28:06","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7385 a7626 a7653 a7695"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.672","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.672","","","","","","ZONE_DISTANCES",15321,18989,16447,28279,12337,15004,14618,21290
"000:35:30.673","","","","","","ZONE_TIMERS",124.777,175.225,122.615,177.387,27.063,272.939,62.737,237.265
"000:35:30.674","","","","","","ZONE_COUNTERS",38,38,42,43,33,33,40,41
"000:35:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.674","","","","","","TOTAL_ARENA_DISTANCES",34311,44726,27341,35908
"000:40:30.682","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.682","","","","","","ZONE_DISTANCES",20578,19111,25855,42477,349,497,28312,28238
"000:40:30.683","","","","","","ZONE_TIMERS",171.055,128.955,123.631,176.378,63.730,236.279,168.217,131.793
"000:40:30.683","","","","","","ZONE_COUNTERS",37,38,82,82,1,1,83,84
"000:40:30.684","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.684","","","","","","TOTAL_ARENA_DISTANCES",39689,68332,847,56550
"000:45:30.721","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.721","","","","","","ZONE_DISTANCES",15881,34001,21630,56037,2263,5469,30475,35001
"000:45:30.722","","","","","","ZONE_TIMERS",57.112,242.925,88.360,211.677,59.239,240.799,123.346,176.692
"000:45:30.722","","","","","","ZONE_COUNTERS",41,41,75,74,10,10,87,87
"000:45:30.723","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.723","","","","","","TOTAL_ARENA_DISTANCES",49882,77667,7731,65476
"000:50:30.731","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.732","","","","","","ZONE_DISTANCES",23404,25576,29118,27942,477,633,26782,29671
"000:50:30.732","","","","","","ZONE_TIMERS",153.698,146.312,180.927,119.083,246.828,53.182,150.247,149.763
"000:50:30.733","","","","","","ZONE_COUNTERS",81,80,79,79,2,2,86,86
"000:50:30.733","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.734","","","","","","TOTAL_ARENA_DISTANCES",48980,57060,1110,56453
