"000:00:00.000","Info","2019-07-11 03:22:20","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6890 a7706 a7004 a7746"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.546","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.547","","","","","","ZONE_DISTANCES",14149,12549,27087,28315,18465,21980,15916,23020
"000:35:30.548","","","","","","ZONE_TIMERS",159.966,140.039,114.868,185.137,133.552,166.453,110.049,189.956
"000:35:30.548","","","","","","ZONE_COUNTERS",47,48,81,80,48,47,37,38
"000:35:30.549","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.549","","","","","","TOTAL_ARENA_DISTANCES",26698,55402,40445,38935
"000:40:30.584","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.584","","","","","","ZONE_DISTANCES",11588,18091,32187,17774,20181,20704,21031,20028
"000:40:30.585","","","","","","ZONE_TIMERS",119.959,180.078,189.622,110.414,148.985,151.052,153.764,146.272
"000:40:30.586","","","","","","ZONE_COUNTERS",59,59,60,59,62,61,46,47
"000:40:30.586","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.587","","","","","","TOTAL_ARENA_DISTANCES",29679,49961,40885,41059
"000:45:30.596","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.597","","","","","","ZONE_DISTANCES",17173,6525,18811,22311,15877,18575,19598,21166
"000:45:30.598","","","","","","ZONE_TIMERS",215.772,84.239,97.599,202.412,128.488,171.523,129.414,170.598
"000:45:30.598","","","","","","ZONE_COUNTERS",46,45,61,60,52,51,44,45
"000:45:30.599","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.599","","","","","","TOTAL_ARENA_DISTANCES",23699,41122,34451,40764
"000:50:30.634","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.635","","","","","","ZONE_DISTANCES",14426,20003,17375,17159,14858,17576,19925,19860
"000:50:30.635","","","","","","ZONE_TIMERS",124.792,175.245,160.971,139.066,133.695,166.342,149.273,150.764
"000:50:30.636","","","","","","ZONE_COUNTERS",60,60,51,50,42,42,43,43
"000:50:30.636","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.636","","","","","","TOTAL_ARENA_DISTANCES",34429,34534,32434,39786
"000:55:30.677","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.680","","","","","","ZONE_DISTANCES",20009,6039,26558,21060,15837,14587,16935,19500
"000:55:30.681","","","","","","ZONE_TIMERS",235.948,64.093,148.152,151.889,145.315,154.727,121.348,178.694
"000:55:30.683","","","","","","ZONE_COUNTERS",35,35,68,67,41,41,39,38
"000:55:30.684","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.686","","","","","","TOTAL_ARENA_DISTANCES",26048,47618,30425,36435
"001:00:30.747","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.748","","","","","","ZONE_DISTANCES",10787,19597,21185,15811,17183,18180,17732,18913
"001:00:30.748","","","","","","ZONE_TIMERS",103.542,196.527,166.896,133.173,134.486,165.583,138.249,161.820
"001:00:30.749","","","","","","ZONE_COUNTERS",52,51,49,48,46,46,40,39
"001:00:30.749","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.749","","","","","","TOTAL_ARENA_DISTANCES",30384,36996,35363,36645
"001:00:30.839","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.840","","","","","","ZONE_DISTANCES",88132,82804,143203,122430,102401,111602,111137,122487
"001:00:30.840","","","","","","ZONE_TIMERS",959.987,840.225,878.118,922.094,824.524,975.687,802.105,998.106
"001:00:30.841","","","","","","ZONE_COUNTERS",296,296,365,364,287,287,247,247
"001:00:30.841","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.842","","","","","","TOTAL_ARENA_DISTANCES",170937,265632,214003,233623
"001:03:02.572","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.572","","","","","","ZONE_DISTANCES",4351,547,5285,4799,2354,4029,3386,3695
"001:03:02.573","","","","","","ZONE_TIMERS",54.308,5.762,32.759,27.311,18.378,41.693,24.777,35.293
"001:03:02.574","","","","","","ZONE_COUNTERS",6,6,16,15,11,10,8,8
"001:03:02.574","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.575","","","","","","TOTAL_ARENA_DISTANCES",4897,10084,6383,7080
"001:04:02.632","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.633","","","","","","ZONE_DISTANCES",2503,3966,3494,2993,4409,2622,3290,3468
"001:04:02.633","","","","","","ZONE_TIMERS",23.013,37.047,31.690,28.369,33.854,26.206,28.713,31.346
"001:04:02.634","","","","","","ZONE_COUNTERS",12,12,10,9,10,10,8,9
"001:04:02.634","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.635","","","","","","TOTAL_ARENA_DISTANCES",6469,6487,7031,6759
"001:05:02.689","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.689","","","","","","ZONE_DISTANCES",4272,134,5023,2522,2135,4139,3541,3817
"001:05:02.690","","","","","","ZONE_TIMERS",57.923,2.133,39.682,20.374,16.209,43.847,26.041,34.015
"001:05:02.691","","","","","","ZONE_COUNTERS",1,1,10,9,9,10,8,9
"001:05:02.691","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.691","","","","","","TOTAL_ARENA_DISTANCES",4406,7544,6274,7358
