"000:00:00.000","Info","2019-07-11 01:27:30","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a6944 a6818 a6860 a7283"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.809","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.810","","","","","","ZONE_DISTANCES",7708,5778,24062,21941,17118,19961,25456,21891
"000:35:30.810","","","","","","ZONE_TIMERS",265.231,34.828,217.605,82.454,142.865,157.194,165.541,134.518
"000:35:30.811","","","","","","ZONE_COUNTERS",17,16,55,54,44,43,77,77
"000:35:30.812","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.812","","","","","","TOTAL_ARENA_DISTANCES",13486,46002,37079,47348
"000:40:30.950","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.951","","","","","","ZONE_DISTANCES",5605,10494,28274,32898,18622,17408,26881,23522
"000:40:30.951","","","","","","ZONE_TIMERS",108.685,191.455,120.707,179.433,150.772,149.368,158.948,141.192
"000:40:30.952","","","","","","ZONE_COUNTERS",18,17,77,76,45,44,67,67
"000:40:30.952","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.953","","","","","","TOTAL_ARENA_DISTANCES",16099,61173,36031,50403
"000:45:31.088","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.089","","","","","","ZONE_DISTANCES",9373,8871,30282,26431,15092,19156,24801,29808
"000:45:31.090","","","","","","ZONE_TIMERS",245.866,54.271,193.429,106.709,146.420,153.717,142.545,157.592
"000:45:31.090","","","","","","ZONE_COUNTERS",22,22,70,69,47,46,87,87
"000:45:31.091","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.091","","","","","","TOTAL_ARENA_DISTANCES",18244,56713,34248,54608
"000:50:31.220","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.220","","","","","","ZONE_DISTANCES",5739,5684,22944,29001,14883,15907,27393,23252
"000:50:31.221","","","","","","ZONE_TIMERS",124.524,175.607,105.010,195.121,128.263,171.868,167.252,132.878
"000:50:31.222","","","","","","ZONE_COUNTERS",14,15,74,73,39,39,76,75
"000:50:31.223","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.223","","","","","","TOTAL_ARENA_DISTANCES",11423,51945,30790,50645
"000:55:31.365","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.366","","","","","","ZONE_DISTANCES",7512,6439,20072,14153,13738,15357,24048,27873
"000:55:31.366","","","","","","ZONE_TIMERS",256.839,43.305,232.839,67.305,152.672,147.472,146.374,153.771
"000:55:31.367","","","","","","ZONE_COUNTERS",17,17,46,46,37,37,84,84
"000:55:31.368","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.368","","","","","","TOTAL_ARENA_DISTANCES",13951,34225,29095,51921
"001:00:31.504","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.505","","","","","","ZONE_DISTANCES",5904,6000,26387,30365,17075,18065,28285,23844
"001:00:31.505","","","","","","ZONE_TIMERS",222.151,77.987,114.281,185.856,128.940,171.198,166.964,133.174
"001:00:31.506","","","","","","ZONE_COUNTERS",16,16,78,79,43,42,79,80
"001:00:31.507","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.507","","","","","","TOTAL_ARENA_DISTANCES",11904,56752,35140,52130
"001:00:31.576","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.576","","","","","","ZONE_DISTANCES",41841,43266,152021,154789,96528,105854,156864,150190
"001:00:31.577","","","","","","ZONE_TIMERS",1223.298,577.463,983.873,816.888,849.943,950.819,947.627,853.134
"001:00:31.578","","","","","","ZONE_COUNTERS",101,101,396,396,251,250,467,468
"001:00:31.578","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.579","","","","","","TOTAL_ARENA_DISTANCES",85107,306810,202382,307055
"001:03:04.260","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.261","","","","","","ZONE_DISTANCES",2437,1518,4380,4608,2466,3977,1206,7697
"001:03:04.262","","","","","","ZONE_TIMERS",52.791,7.293,44.201,15.883,22.760,37.324,8.323,51.762
"001:03:04.263","","","","","","ZONE_COUNTERS",5,5,12,12,10,11,12,13
"001:03:04.264","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.265","","","","","","TOTAL_ARENA_DISTANCES",3955,8988,6443,8903
"001:04:04.443","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.443","","","","","","ZONE_DISTANCES",1141,1061,4267,4621,3708,3192,6179,3140
"001:04:04.445","","","","","","ZONE_TIMERS",54.432,5.749,24.607,35.574,31.171,29.010,39.864,20.317
"001:04:04.446","","","","","","ZONE_COUNTERS",3,3,13,13,9,9,12,13
"001:04:04.447","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.448","","","","","","TOTAL_ARENA_DISTANCES",2202,8887,6900,9319
"001:05:04.612","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:05:04.613","","","","","","ZONE_DISTANCES",144,362,3437,3113,2507,3297,3174,6455
"001:05:04.614","","","","","","ZONE_TIMERS",57.136,3.032,43.753,16.415,28.758,31.410,20.622,39.546
"001:05:04.615","","","","","","ZONE_COUNTERS",1,1,9,10,9,9,16,17
"001:05:04.615","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.616","","","","","","TOTAL_ARENA_DISTANCES",506,6551,5804,9629
"001:06:04.768","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:06:04.768","","","","","","ZONE_DISTANCES",1295,811,4198,4795,2894,2951,4695,4318
"001:06:04.769","","","","","","ZONE_TIMERS",54.819,5.336,24.978,35.176,28.006,32.149,32.373,27.782
"001:06:04.770","","","","","","ZONE_COUNTERS",3,3,12,13,7,8,16,16
"001:06:04.771","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.772","","","","","","TOTAL_ARENA_DISTANCES",2106,8993,5845,9013
"001:07:04.948","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:07:04.950","","","","","","ZONE_DISTANCES",487,413,3492,2903,2568,3076,4164,5860
"001:07:04.951","","","","","","ZONE_TIMERS",57.270,2.910,42.645,17.535,29.380,30.800,26.011,34.168
"001:07:04.953","","","","","","ZONE_COUNTERS",2,1,8,8,7,8,16,16
"001:07:04.954","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.955","","","","","","TOTAL_ARENA_DISTANCES",900,6395,5644,10024
"001:07:05.031","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:05.032","","","","","","ZONE_DISTANCES",5504,4165,19774,20040,14143,16493,19418,27470
"001:07:05.034","","","","","","ZONE_TIMERS",276.450,24.322,180.186,120.586,140.077,160.695,127.195,173.577
"001:07:05.036","","","","","","ZONE_COUNTERS",12,11,53,53,41,42,71,72
"001:07:05.037","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.038","","","","","","TOTAL_ARENA_DISTANCES",9669,39814,30637,46888
"001:07:05.039","Info","2019-07-11 02:34:35","Service 'GRYCHK' : Execution end"
