"000:00:00.000","Info","2019-07-11 03:22:16","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7151 a7617 a7195 a7650"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.530","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.530","","","","","","ZONE_DISTANCES",24787,32920,15702,14925,14756,22057,25469,23259
"000:35:30.531","","","","","","ZONE_TIMERS",122.336,177.666,158.126,141.876,110.396,189.605,173.332,126.670
"000:35:30.531","","","","","","ZONE_COUNTERS",66,65,24,24,36,37,55,55
"000:35:30.531","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.532","","","","","","TOTAL_ARENA_DISTANCES",57707,30627,36813,48728
"000:40:30.539","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.539","","","","","","ZONE_DISTANCES",27068,26338,9223,19706,16787,15054,20041,25929
"000:40:30.539","","","","","","ZONE_TIMERS",156.998,143.010,89.960,210.048,156.193,143.815,109.828,190.180
"000:40:30.540","","","","","","ZONE_COUNTERS",65,65,25,25,32,33,45,45
"000:40:30.540","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.541","","","","","","TOTAL_ARENA_DISTANCES",53406,28929,31841,45970
"000:45:30.548","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.549","","","","","","ZONE_DISTANCES",26573,24677,18625,12340,15123,18592,22169,20264
"000:45:30.549","","","","","","ZONE_TIMERS",169.175,130.833,186.251,113.758,125.347,174.662,175.888,124.120
"000:45:30.550","","","","","","ZONE_COUNTERS",70,71,44,45,35,36,47,46
"000:45:30.550","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.550","","","","","","TOTAL_ARENA_DISTANCES",51250,30965,33715,42433
"000:50:30.589","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.591","","","","","","ZONE_DISTANCES",25452,25633,6503,22818,15766,18155,19453,23026
"000:50:30.593","","","","","","ZONE_TIMERS",157.498,142.541,63.030,237.009,138.826,161.213,115.952,184.088
"000:50:30.594","","","","","","ZONE_COUNTERS",69,69,29,29,39,40,46,46
"000:50:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.597","","","","","","TOTAL_ARENA_DISTANCES",51084,29322,33921,42479
"000:55:30.628","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:30.628","","","","","","ZONE_DISTANCES",20284,19499,19871,10053,12428,15306,17384,16884
"000:55:30.629","","","","","","ZONE_TIMERS",157.421,142.617,202.427,97.611,109.880,190.158,190.854,109.184
"000:55:30.629","","","","","","ZONE_COUNTERS",50,50,37,36,30,30,35,35
"000:55:30.629","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.630","","","","","","TOTAL_ARENA_DISTANCES",39783,29923,27734,34268
"001:00:30.637","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:30.637","","","","","","ZONE_DISTANCES",23916,25938,7123,22667,13227,16631,16196,17046
