"000:00:00.000","Info","2019-07-11 03:21:44","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7304 a7331 a7103 a7524"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.624","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.624","","","","","","ZONE_DISTANCES",14197,13618,16077,17642,18138,18301,11562,22798
"000:35:30.625","","","","","","ZONE_TIMERS",225.219,74.867,157.633,142.453,147.708,152.378,102.028,198.058
"000:35:30.625","","","","","","ZONE_COUNTERS",34,33,38,37,38,38,48,49
"000:35:30.626","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.626","","","","","","TOTAL_ARENA_DISTANCES",27815,33719,36438,34360
"000:40:30.734","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.735","","","","","","ZONE_DISTANCES",5307,5735,17608,17657,16579,19935,16184,14357
"000:40:30.736","","","","","","ZONE_TIMERS",268.060,32.048,123.733,176.376,119.180,180.929,155.952,144.156
"000:40:30.737","","","","","","ZONE_COUNTERS",12,11,39,38,44,45,48,48
"000:40:30.738","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.739","","","","","","TOTAL_ARENA_DISTANCES",11042,35265,36515,30540
"000:45:30.844","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.844","","","","","","ZONE_DISTANCES",14676,6474,17721,14266,19763,13084,13472,17129
"000:45:30.845","","","","","","ZONE_TIMERS",267.675,32.434,214.408,85.702,206.990,93.120,147.993,152.116
"000:45:30.846","","","","","","ZONE_COUNTERS",19,18,35,35,41,42,55,54
"000:45:30.846","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.847","","","","","","TOTAL_ARENA_DISTANCES",21150,31987,32847,30602
"000:50:30.923","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.924","","","","","","ZONE_DISTANCES",8217,13534,12998,14727,16455,17325,16203,14799
"000:50:30.924","","","","","","ZONE_TIMERS",201.825,98.253,114.160,185.918,130.794,169.284,148.418,151.661
"000:50:30.925","","","","","","ZONE_COUNTERS",24,24,29,30,34,35,53,53
"000:50:30.926","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.926","","","","","","TOTAL_ARENA_DISTANCES",21751,27725,33779,31001
"000:55:31.012","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:31.012","","","","","","ZONE_DISTANCES",20070,14703,14867,12150,16590,9803,13442,14593
"000:55:31.013","","","","","","ZONE_TIMERS",226.684,73.404,193.130,106.957,232.091,67.997,145.943,154.144
"000:55:31.014","","","","","","ZONE_COUNTERS",41,42,30,30,29,29,39,39
"000:55:31.015","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.016","","","","","","TOTAL_ARENA_DISTANCES",34773,27017,26394,28035
"001:00:31.146","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.147","","","","","","ZONE_DISTANCES",18585,31494,11776,14058,18274,16379,18163,14803
"001:00:31.147","","","","","","ZONE_TIMERS",87.742,212.391,102.639,197.494,137.040,163.094,161.673,138.461
"001:00:31.148","","","","","","ZONE_COUNTERS",69,70,29,29,40,40,55,54
"001:00:31.149","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.149","","","","","","TOTAL_ARENA_DISTANCES",50079,25834,34653,32966
"001:00:31.239","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.239","","","","","","ZONE_DISTANCES",81052,85558,91047,90500,105799,94827,89026,98479
"001:00:31.240","","","","","","ZONE_TIMERS",1277.208,523.408,905.706,894.910,973.804,826.811,862.016,938.599
"001:00:31.241","","","","","","ZONE_COUNTERS",196,196,197,197,225,225,295,295
"001:00:31.241","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.242","","","","","","TOTAL_ARENA_DISTANCES",166610,181547,200626,187504
"001:03:04.018","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:04.019","","","","","","ZONE_DISTANCES",0,0,2504,3546,3860,1744,1115,5664
"001:03:04.020","","","","","","ZONE_TIMERS",60.087,0.000,27.114,32.972,47.452,12.634,10.987,49.099
"001:03:04.021","","","","","","ZONE_COUNTERS",1,0,9,9,10,10,8,9
"001:03:04.021","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.022","","","","","","TOTAL_ARENA_DISTANCES",0,6050,5604,6779
"001:04:04.155","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
