"000:00:00.000","Info","2019-07-11 05:17:28","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7410 a6900 a7523 a7733"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.535","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.535","","","","","","ZONE_DISTANCES",10036,18305,15147,18011,17549,22509,12899,12166
"000:35:30.536","","","","","","ZONE_TIMERS",78.689,221.374,124.221,175.843,133.522,166.541,147.148,152.915
"000:35:30.536","","","","","","ZONE_COUNTERS",41,42,43,44,38,38,26,26
"000:35:30.537","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.537","","","","","","TOTAL_ARENA_DISTANCES",28341,33158,40058,25065
"000:40:30.585","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.585","","","","","","ZONE_DISTANCES",16072,8986,15585,15490,16762,24319,15098,8912
"000:40:30.586","","","","","","ZONE_TIMERS",225.528,74.521,174.198,125.851,130.521,169.528,203.325,96.724
"000:40:30.586","","","","","","ZONE_COUNTERS",24,24,35,36,32,32,27,26
"000:40:30.586","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.587","","","","","","TOTAL_ARENA_DISTANCES",25058,31075,41081,24010
"000:45:30.646","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.647","","","","","","ZONE_DISTANCES",9202,15894,13924,18840,15496,18089,11681,13455
"000:45:30.647","","","","","","ZONE_TIMERS",58.507,241.553,71.429,228.631,130.357,169.704,106.352,193.708
"000:45:30.648","","","","","","ZONE_COUNTERS",33,33,48,49,27,27,31,31
"000:45:30.648","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.648","","","","","","TOTAL_ARENA_DISTANCES",25097,32764,33584,25136
"000:50:30.719","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.720","","","","","","ZONE_DISTANCES",16390,9204,17023,12191,25120,22465,12122,11661
"000:50:30.720","","","","","","ZONE_TIMERS",241.910,58.162,230.675,69.397,179.932,120.140,161.227,138.845
"000:50:30.721","","","","","","ZONE_COUNTERS",28,28,40,41,71,72,28,29
"000:50:30.721","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.722","","","","","","TOTAL_ARENA_DISTANCES",25594,29214,47586,23782
"000:55:30.770","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:30.771","","","","","","ZONE_DISTANCES",6959,13500,12293,14539,21579,21391,9804,11987
"000:55:30.771","","","","","","ZONE_TIMERS",55.236,244.814,83.574,216.476,124.210,175.840,106.405,193.645
"000:55:30.772","","","","","","ZONE_COUNTERS",18,18,38,39,64,65,24,24
"000:55:30.772","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.773","","","","","","TOTAL_ARENA_DISTANCES",20459,26832,42970,21791
"001:00:30.848","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:30.848","","","","","","ZONE_DISTANCES",10232,4459,11118,16248,18716,17375,14360,14032
"001:00:30.849","","","","","","ZONE_TIMERS",261.587,38.489,117.265,182.812,222.668,77.409,183.186,116.891
"001:00:30.850","","","","","","ZONE_COUNTERS",15,15,29,30,53,53,35,34
"001:00:30.850","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.850","","","","","","TOTAL_ARENA_DISTANCES",14691,27366,36090,28392
"001:00:30.909","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.912","","","","","","ZONE_DISTANCES",68891,70348,85090,95319,115222,126148,75964,72213
"001:00:30.913","","","","","","ZONE_TIMERS",921.467,878.916,801.365,999.018,921.218,879.165,907.652,892.731
"001:00:30.915","","","","","","ZONE_COUNTERS",157,157,233,234,284,283,168,168
"001:00:30.917","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
