"000:00:00.000","Info","2019-07-11 01:27:36","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7209 a8107 a7372 a7263"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.711","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.712","","","","","","ZONE_DISTANCES",18359,25236,20877,20780,26845,29384,17394,18076
"000:35:30.712","","","","","","ZONE_TIMERS",86.921,213.129,135.045,165.006,129.640,170.410,136.130,163.921
"000:35:30.713","","","","","","ZONE_COUNTERS",44,45,50,50,86,85,35,35
"000:35:30.713","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.714","","","","","","TOTAL_ARENA_DISTANCES",43595,41658,56229,35470
"000:40:30.783","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.783","","","","","","ZONE_DISTANCES",13495,10199,18347,24852,27164,30342,17325,16728
"000:40:30.784","","","","","","ZONE_TIMERS",97.996,202.075,128.128,171.943,149.555,150.515,154.862,145.208
"000:40:30.784","","","","","","ZONE_COUNTERS",21,22,50,51,89,88,39,40
"000:40:30.785","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.785","","","","","","TOTAL_ARENA_DISTANCES",23695,43198,57506,34053
"000:45:30.851","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.851","","","","","","ZONE_DISTANCES",7020,11773,16198,22072,25318,28383,18968,17762
"000:45:30.852","","","","","","ZONE_TIMERS",57.622,242.446,108.826,191.242,112.190,187.877,139.374,160.694
"000:45:30.852","","","","","","ZONE_COUNTERS",20,20,44,44,78,78,40,41
"000:45:30.853","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.853","","","","","","TOTAL_ARENA_DISTANCES",18792,38270,53701,36730
"000:50:30.915","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.915","","","","","","ZONE_DISTANCES",14300,10088,19861,20845,30838,30527,17695,14152
"000:50:30.916","","","","","","ZONE_TIMERS",157.868,142.195,153.353,146.710,167.983,132.080,176.198,123.864
"000:50:30.916","","","","","","ZONE_COUNTERS",26,25,53,53,97,97,36,36
"000:50:30.917","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.917","","","","","","TOTAL_ARENA_DISTANCES",24388,40706,61364,31847
