"000:00:00.000","Info","2019-07-15 04:19:20","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a8105 a7705 a7509 a7668"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.594","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.594","","","","","","ZONE_DISTANCES",1841,2033,16923,15246,13575,24880,10985,32137
"000:35:30.595","","","","","","ZONE_TIMERS",84.534,215.541,205.760,94.315,89.062,211.013,66.645,233.430
"000:35:30.595","","","","","","ZONE_COUNTERS",7,7,37,37,42,42,53,53
"000:35:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.596","","","","","","TOTAL_ARENA_DISTANCES",3874,32169,38455,43123
"000:40:30.685","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.685","","","","","","ZONE_DISTANCES",2804,2565,11837,17010,6297,26879,36931,3165
"000:40:30.686","","","","","","ZONE_TIMERS",99.026,201.064,40.904,259.186,39.483,260.607,283.148,16.942
"000:40:30.686","","","","","","ZONE_COUNTERS",8,8,31,32,26,26,23,23
"000:40:30.687","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.687","","","","","","TOTAL_ARENA_DISTANCES",5369,28847,33177,40095
"000:45:30.763","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.764","","","","","","ZONE_DISTANCES",5573,5789,12189,10325,10163,24626,8161,42540
"000:45:30.764","","","","","","ZONE_TIMERS",153.962,146.115,262.425,37.652,74.645,225.433,41.639,258.438
"000:45:30.765","","","","","","ZONE_COUNTERS",15,16,28,28,33,34,49,49
"000:45:30.765","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.766","","","","","","TOTAL_ARENA_DISTANCES",11361,22514,34789,50701
"000:50:30.827","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.827","","","","","","ZONE_DISTANCES",0,6,7350,10392,8146,22879,53756,3883
"000:50:30.828","","","","","","ZONE_TIMERS",0.000,300.063,26.794,273.268,56.098,243.964,288.234,11.829
"000:50:30.828","","","","","","ZONE_COUNTERS",0,1,22,22,27,28,25,25
"000:50:30.829","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.829","","","","","","TOTAL_ARENA_DISTANCES",6,17741,31025,57640
"000:55:30.895","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.895","","","","","","ZONE_DISTANCES",1822,1733,14383,11512,7561,26244,1215,48031
"000:55:30.896","","","","","","ZONE_TIMERS",6.685,293.382,236.974,63.093,62.407,237.660,4.033,296.034
"000:55:30.896","","","","","","ZONE_COUNTERS",6,7,31,31,47,48,5,5
"000:55:30.896","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.897","","","","","","TOTAL_ARENA_DISTANCES",3555,25895,33804,49246
"001:00:30.967","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.967","","","","","","ZONE_DISTANCES",0,0,6470,11617,5074,21025,40685,948
"001:00:30.968","","","","","","ZONE_TIMERS",0.000,300.072,29.261,270.811,33.550,266.522,296.804,3.268
"001:00:30.969","","","","","","ZONE_COUNTERS",0,1,20,20,17,18,4,4
"001:00:30.969","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.969","","","","","","TOTAL_ARENA_DISTANCES",0,18087,26100,41633
"001:00:31.039","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
