"000:00:00.000","Info","2019-07-15 00:54:57","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7624 a6988 a7270 a6888"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.787","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.788","","","","","","ZONE_DISTANCES",9749,21987,14622,19925,23210,25235,18224,23909
"000:35:30.789","","","","","","ZONE_TIMERS",34.147,265.859,122.149,177.857,128.391,171.615,112.065,187.941
"000:35:30.789","","","","","","ZONE_COUNTERS",30,31,39,39,64,65,58,58
"000:35:30.790","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.790","","","","","","TOTAL_ARENA_DISTANCES",31736,34546,48445,42133
"000:40:30.892","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.893","","","","","","ZONE_DISTANCES",15571,28330,17132,15463,27074,36824,21871,19759
"000:40:30.893","","","","","","ZONE_TIMERS",58.573,241.532,164.782,135.322,129.766,170.339,164.952,135.152
"000:40:30.894","","","","","","ZONE_COUNTERS",57,58,41,41,84,85,58,58
"000:40:30.894","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.894","","","","","","TOTAL_ARENA_DISTANCES",43901,32595,63899,41630
"000:45:30.972","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.972","","","","","","ZONE_DISTANCES",11393,27425,19973,24402,23478,32947,20585,25049
"000:45:30.973","","","","","","ZONE_TIMERS",33.380,266.698,145.386,154.691,108.168,191.910,121.981,178.097
"000:45:30.973","","","","","","ZONE_COUNTERS",38,39,58,59,78,79,65,65
"000:45:30.973","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.974","","","","","","TOTAL_ARENA_DISTANCES",38818,44376,56425,45634
"000:50:31.047","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.047","","","","","","ZONE_DISTANCES",32312,10415,21709,24262,33505,42180,25121,25614
"000:50:31.048","","","","","","ZONE_TIMERS",254.317,45.757,161.557,138.517,130.823,169.251,152.562,147.512
"000:50:31.048","","","","","","ZONE_COUNTERS",36,36,56,57,110,111,74,75
"000:50:31.049","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.049","","","","","","TOTAL_ARENA_DISTANCES",42727,45971,75685,50735
"000:55:31.152","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.152","","","","","","ZONE_DISTANCES",21488,23626,22194,26691,26059,32635,23251,25956
"000:55:31.153","","","","","","ZONE_TIMERS",85.755,214.350,134.984,165.120,109.778,190.327,129.936,170.169
"000:55:31.154","","","","","","ZONE_COUNTERS",51,51,66,67,91,92,73,73
"000:55:31.154","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.154","","","","","","TOTAL_ARENA_DISTANCES",45114,48885,58694,49207
"001:00:31.264","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.264","","","","","","ZONE_DISTANCES",28077,10844,19578,19835,33264,39715,26034,24802
"001:00:31.265","","","","","","ZONE_TIMERS",235.143,64.968,165.913,134.198,132.837,167.274,158.473,141.638
"001:00:31.265","","","","","","ZONE_COUNTERS",28,29,54,54,115,116,89,88
"001:00:31.266","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.266","","","","","","TOTAL_ARENA_DISTANCES",38922,39413,72978,50836
"001:00:31.354","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.354","","","","","","ZONE_DISTANCES",118590,122627,115208,130578,166590,209536,135086,145089
"001:00:31.355","","","","","","ZONE_TIMERS",701.316,1099.172,894.781,905.708,739.765,1060.724,839.976,960.512
"001:00:31.355","","","","","","ZONE_COUNTERS",239,240,313,313,542,543,415,414
"001:00:31.355","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.356","","","","","","TOTAL_ARENA_DISTANCES",241218,245786,376126,280175
"001:03:03.559","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:03.560","","","","","","ZONE_DISTANCES",3524,6003,3008,2388,4699,4582,2157,4792
"001:03:03.560","","","","","","ZONE_TIMERS",12.175,47.859,34.172,25.862,24.565,35.469,14.706,45.328
"001:03:03.561","","","","","","ZONE_COUNTERS",10,11,11,10,19,19,10,11
