"000:00:00.000","Info","2019-07-15 04:19:51","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7341 a7745 a7364 a7303"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.577","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.578","","","","","","ZONE_DISTANCES",48392,49030,41751,12368,26288,30911,24332,20298
"000:35:30.578","","","","","","ZONE_TIMERS",228.633,71.395,277.665,22.363,139.061,160.967,174.304,125.724
"000:35:30.579","","","","","","ZONE_COUNTERS",203,202,44,43,53,53,45,45
"000:35:30.580","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.580","","","","","","TOTAL_ARENA_DISTANCES",97422,54119,57199,44630
"000:40:30.655","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.656","","","","","","ZONE_DISTANCES",23465,30980,35414,55341,29536,31957,25494,26822
"000:40:30.656","","","","","","ZONE_TIMERS",121.152,178.925,57.236,242.841,159.066,141.011,150.139,149.938
"000:40:30.657","","","","","","ZONE_COUNTERS",76,76,157,156,73,73,61,60
"000:40:30.657","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.657","","","","","","TOTAL_ARENA_DISTANCES",54445,90755,61493,52317
"000:45:30.760","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.761","","","","","","ZONE_DISTANCES",37461,31548,34867,28973,20812,27487,23022,13652
"000:45:30.762","","","","","","ZONE_TIMERS",262.396,37.708,198.318,101.786,136.292,163.812,242.562,57.542
