"000:00:00.000","Info","2019-07-15 00:54:21","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7053 a7384 a7185 a7521"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.780","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.781","","","","","","ZONE_DISTANCES",20387,15463,16514,15156,17327,19977,19887,15891
"000:35:30.781","","","","","","ZONE_TIMERS",179.299,120.768,156.357,143.709,127.745,172.321,166.516,133.550
"000:35:30.782","","","","","","ZONE_COUNTERS",46,46,39,40,44,44,46,46
"000:35:30.783","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.783","","","","","","TOTAL_ARENA_DISTANCES",35850,31670,37303,35779
"000:40:30.852","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.852","","","","","","ZONE_DISTANCES",17533,22955,11092,20413,19358,23623,14746,21475
"000:40:30.853","","","","","","ZONE_TIMERS",130.740,169.330,100.912,199.158,137.977,162.093,109.355,190.716
"000:40:30.854","","","","","","ZONE_COUNTERS",59,60,55,55,57,57,44,44
"000:40:30.854","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.854","","","","","","TOTAL_ARENA_DISTANCES",40488,31505,42981,36221
"000:45:30.924","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
