"000:00:00.000","Info","2019-07-15 00:54:53","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7648 a7426 a7289 a7507"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.704","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.704","","","","","","ZONE_DISTANCES",19181,31597,18375,21236,26896,26756,23013,27095
"000:35:30.706","","","","","","ZONE_TIMERS",114.749,185.253,134.372,165.630,151.915,148.087,133.594,166.408
"000:35:30.707","","","","","","ZONE_COUNTERS",56,55,46,47,66,66,54,54
"000:35:30.707","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.708","","","","","","TOTAL_ARENA_DISTANCES",50778,39610,53652,50108
"000:40:30.745","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.745","","","","","","ZONE_DISTANCES",24644,31492,21115,23252,24288,36315,24694,31687
"000:40:30.746","","","","","","ZONE_TIMERS",110.914,189.126,129.618,170.422,88.831,211.209,95.405,204.635
"000:40:30.746","","","","","","ZONE_COUNTERS",65,65,52,52,87,87,65,65
"000:40:30.747","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.747","","","","","","TOTAL_ARENA_DISTANCES",56136,44368,60602,56382
"000:45:30.755","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.756","","","","","","ZONE_DISTANCES",51550,18101,18236,20764,40177,15287,31482,28583
