"000:00:00.000","Info","2019-07-16 02:19:23","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7263 a7209 a8107 a7372"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.518","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.519","","","","","","ZONE_DISTANCES",10027,18898,14452,11501,23048,8698,5121,30714
"000:35:30.521","","","","","","ZONE_TIMERS",86.065,213.974,210.818,89.221,242.757,57.282,41.321,258.718
"000:35:30.522","","","","","","ZONE_COUNTERS",41,41,22,21,29,29,40,41
"000:35:30.523","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.524","","","","","","TOTAL_ARENA_DISTANCES",28925,25954,31746,35835
"000:40:30.577","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.578","","","","","","ZONE_DISTANCES",19793,16870,9758,13799,10153,19801,31259,6824
"000:40:30.579","","","","","","ZONE_TIMERS",150.257,149.801,57.537,242.521,79.979,220.079,244.231,55.827
"000:40:30.580","","","","","","ZONE_COUNTERS",45,46,22,22,25,26,59,59
"000:40:30.581","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.581","","","","","","TOTAL_ARENA_DISTANCES",36663,23557,29953,38083
"000:45:30.626","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.627","","","","","","ZONE_DISTANCES",16958,19484,10473,4927,20983,6187,2040,46714
"000:45:30.627","","","","","","ZONE_TIMERS",84.551,215.498,266.441,33.608,256.661,43.388,13.771,286.278
"000:45:30.628","","","","","","ZONE_COUNTERS",49,50,9,9,18,18,37,37
"000:45:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.629","","","","","","TOTAL_ARENA_DISTANCES",36443,15401,27170,48754
"000:50:30.671","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.671","","","","","","ZONE_DISTANCES",23761,21182,5053,11217,3710,17742,42778,2437
"000:50:30.672","","","","","","ZONE_TIMERS",145.906,154.137,20.820,279.223,24.340,275.704,283.837,16.206
"000:50:30.672","","","","","","ZONE_COUNTERS",59,60,12,12,10,10,40,40
"000:50:30.673","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.673","","","","","","TOTAL_ARENA_DISTANCES",44942,16270,21452,45215
"000:55:30.738","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.739","","","","","","ZONE_DISTANCES",25942,18648,11266,3438,18808,5265,3169,42252
"000:55:30.739","","","","","","ZONE_TIMERS",125.968,174.098,285.024,15.042,263.905,36.161,21.627,278.439
"000:55:30.740","","","","","","ZONE_COUNTERS",47,48,9,10,15,15,54,54
"000:55:30.740","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.740","","","","","","TOTAL_ARENA_DISTANCES",44591,14703,24074,45421
"001:00:30.808","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.809","","","","","","ZONE_DISTANCES",21421,23193,4453,14115,13848,17947,43808,4485
"001:00:30.809","","","","","","ZONE_TIMERS",126.487,173.583,22.356,277.713,106.039,194.030,267.741,32.328
"001:00:30.810","","","","","","ZONE_COUNTERS",62,63,12,13,39,38,75,75
"001:00:30.810","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.811","","","","","","TOTAL_ARENA_DISTANCES",44614,18568,31794,48293
"001:00:30.869","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.870","","","","","","ZONE_DISTANCES",117902,118275,55455,58997,90550,75640,128175,133426
"001:00:30.870","","","","","","ZONE_TIMERS",719.236,1081.100,862.999,937.337,973.691,826.645,872.537,927.799
"001:00:30.871","","","","","","ZONE_COUNTERS",303,303,84,84,134,133,303,303
"001:00:30.872","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.872","","","","","","TOTAL_ARENA_DISTANCES",236177,114452,166190,261601
"001:03:02.752","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.753","","","","","","ZONE_DISTANCES",4265,3312,1056,530,2013,4455,276,6491
"001:03:02.753","","","","","","ZONE_TIMERS",24.419,35.656,14.179,45.896,19.735,40.340,2.490,57.585
"001:03:02.754","","","","","","ZONE_COUNTERS",12,11,2,2,11,12,3,3
"001:03:02.755","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.755","","","","","","TOTAL_ARENA_DISTANCES",7578,1586,6468,6767
"001:04:02.809","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.810","","","","","","ZONE_DISTANCES",6751,4305,1077,3393,3570,3358,7921,373
"001:04:02.810","","","","","","ZONE_TIMERS",33.423,26.633,4.239,55.818,26.010,34.046,57.583,2.473
"001:04:02.811","","","","","","ZONE_COUNTERS",16,15,3,3,13,13,3,3
"001:04:02.812","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.812","","","","","","TOTAL_ARENA_DISTANCES",11056,4470,6928,8293
