"000:00:00.000","Info","2019-07-16 02:19:53","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7695 a7385 a7626 a7653"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.594","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.594","","","","","","ZONE_DISTANCES",99169,122950,24560,20032,15721,21580,28940,25575
"000:35:30.594","","","","","","ZONE_TIMERS",124.510,175.520,160.226,139.804,120.815,179.215,152.523,147.507
"000:35:30.595","","","","","","ZONE_COUNTERS",223,224,93,94,33,33,71,71
"000:35:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.596","","","","","","TOTAL_ARENA_DISTANCES",222119,44592,37301,54515
"000:40:30.675","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.677","","","","","","ZONE_DISTANCES",81252,84190,20308,19035,22852,26024,32858,31108
"000:40:30.678","","","","","","ZONE_TIMERS",195.724,104.355,157.230,142.849,127.469,172.611,157.630,142.449
"000:40:30.680","","","","","","ZONE_COUNTERS",167,167,62,62,52,52,79,80
"000:40:30.681","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.683","","","","","","TOTAL_ARENA_DISTANCES",165442,39343,48876,63966
"000:45:30.810","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.810","","","","","","ZONE_DISTANCES",64521,105376,9820,24848,19037,25881,33719,29908
"000:45:30.811","","","","","","ZONE_TIMERS",119.631,180.504,60.434,239.701,111.378,188.757,145.505,154.631
"000:45:30.811","","","","","","ZONE_COUNTERS",168,167,30,29,45,45,84,84
"000:45:30.812","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.812","","","","","","TOTAL_ARENA_DISTANCES",169897,34668,44918,63627
"000:50:30.919","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:30.919","","","","","","ZONE_DISTANCES",49983,45214,26213,16451,30520,30481,33504,36285
"000:50:30.920","","","","","","ZONE_TIMERS",192.061,108.047,189.802,110.306,150.248,149.860,157.510,142.599
"000:50:30.921","","","","","","ZONE_COUNTERS",115,114,66,65,69,69,93,92
"000:50:30.921","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.921","","","","","","TOTAL_ARENA_DISTANCES",95197,42665,61001,69789
"000:55:31.026","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.026","","","","","","ZONE_DISTANCES",49133,75603,18487,20607,30307,23421,44001,26675
"000:55:31.027","","","","","","ZONE_TIMERS",115.922,184.184,128.907,171.198,250.431,49.675,216.563,83.543
"000:55:31.027","","","","","","ZONE_COUNTERS",149,149,77,77,60,60,101,100
"000:55:31.028","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.028","","","","","","TOTAL_ARENA_DISTANCES",124736,39094,53728,70676
"001:00:31.105","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.106","","","","","","ZONE_DISTANCES",58487,56446,27263,24101,24542,22848,16953,9492
"001:00:31.106","","","","","","ZONE_TIMERS",190.321,109.758,168.856,131.223,91.973,208.106,276.603,23.475
"001:00:31.107","","","","","","ZONE_COUNTERS",142,143,79,79,52,52,32,31
"001:00:31.107","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.107","","","","","","TOTAL_ARENA_DISTANCES",114934,51365,47391,26445
"001:00:31.188","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.188","","","","","","ZONE_DISTANCES",402545,489779,126651,125074,142979,150235,189975,159043
"001:00:31.189","","","","","","ZONE_TIMERS",938.171,862.377,865.464,935.084,852.315,948.233,1106.343,694.205
"001:00:31.190","","","","","","ZONE_COUNTERS",961,962,404,404,308,309,457,456
"001:00:31.190","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.190","","","","","","TOTAL_ARENA_DISTANCES",892325,251725,293214,349018
"001:03:03.705","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:03.706","","","","","","ZONE_DISTANCES",8910,18958,566,4971,2238,1881,3848,6272
"001:03:03.706","","","","","","ZONE_TIMERS",17.399,42.663,4.207,55.855,54.530,5.533,45.302,14.760
"001:03:03.707","","","","","","ZONE_COUNTERS",30,30,2,2,5,5,13,13
