"000:00:00.000","Info","2019-07-16 00:19:09","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7342 a7000 a7449 a7510"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.787","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.789","","","","","","ZONE_DISTANCES",23115,45383,52578,59372,43597,37298,30705,38292
"000:35:30.790","","","","","","ZONE_TIMERS",101.127,198.879,184.227,115.779,149.614,150.392,131.660,168.346
"000:35:30.793","","","","","","ZONE_COUNTERS",64,63,139,140,104,103,97,98
"000:35:30.795","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.796","","","","","","TOTAL_ARENA_DISTANCES",68498,111951,80895,68997
"000:40:30.894","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.894","","","","","","ZONE_DISTANCES",23353,47046,62340,66408,36089,39047,24947,40027
"000:40:30.895","","","","","","ZONE_TIMERS",120.880,179.227,148.679,151.428,133.720,166.387,89.767,210.340
"000:40:30.896","","","","","","ZONE_COUNTERS",63,63,166,166,80,79,100,101
"000:40:30.896","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.896","","","","","","TOTAL_ARENA_DISTANCES",70399,128748,75136,64974
"000:45:31.002","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.002","","","","","","ZONE_DISTANCES",19335,57933,59931,85435,45271,40347,28950,35608
"000:45:31.003","","","","","","ZONE_TIMERS",90.448,209.659,147.073,153.034,148.403,151.704,132.100,168.007
"000:45:31.003","","","","","","ZONE_COUNTERS",66,66,155,154,93,93,92,93
"000:45:31.003","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.004","","","","","","TOTAL_ARENA_DISTANCES",77267,145366,85619,64558
"000:50:31.109","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.110","","","","","","ZONE_DISTANCES",21605,52130,57342,64902,56979,36581,30539,40706
"000:50:31.111","","","","","","ZONE_TIMERS",106.686,193.420,129.339,170.767,182.469,117.637,103.049,197.057
"000:50:31.112","","","","","","ZONE_COUNTERS",64,64,139,138,95,96,112,113
"000:50:31.112","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.113","","","","","","TOTAL_ARENA_DISTANCES",73735,122244,93559,71245
"000:55:31.220","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.220","","","","","","ZONE_DISTANCES",14189,34446,55322,63673,49515,41399,39903,46274
"000:55:31.221","","","","","","ZONE_TIMERS",89.404,210.706,154.202,145.907,151.646,148.464,153.536,146.574
"000:55:31.222","","","","","","ZONE_COUNTERS",40,40,133,133,107,107,133,134
