"000:00:00.000","Info","2019-07-16 00:18:33","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7283 a6944 a6818 a6860"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.768","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.769","","","","","","ZONE_DISTANCES",18599,15729,18865,23114,8433,9474,21421,22448
"000:35:30.769","","","","","","ZONE_TIMERS",162.809,137.274,131.216,168.868,176.711,123.372,154.079,146.005
"000:35:30.770","","","","","","ZONE_COUNTERS",69,68,51,51,17,17,64,65
"000:35:30.771","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.771","","","","","","TOTAL_ARENA_DISTANCES",34328,41979,17907,43868
"000:40:30.829","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.829","","","","","","ZONE_DISTANCES",15852,19154,22033,15408,6802,11282,24186,16890
"000:40:30.830","","","","","","ZONE_TIMERS",134.705,165.355,202.987,97.073,137.917,162.143,174.197,125.863
"000:40:30.831","","","","","","ZONE_COUNTERS",70,70,42,41,17,17,70,70
"000:40:30.831","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.832","","","","","","TOTAL_ARENA_DISTANCES",35006,37441,18084,41077
"000:45:30.919","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.920","","","","","","ZONE_DISTANCES",22495,11194,19649,25399,2946,5092,19188,16412
"000:45:30.920","","","","","","ZONE_TIMERS",200.136,99.953,116.964,183.126,59.365,240.724,166.982,133.107
"000:45:30.921","","","","","","ZONE_COUNTERS",57,57,53,53,6,6,55,55
"000:45:30.922","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.922","","","","","","TOTAL_ARENA_DISTANCES",33689,45048,8038,35600
"000:50:31.012","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:31.013","","","","","","ZONE_DISTANCES",12946,23704,21974,8262,3126,2557,15749,15938
"000:50:31.014","","","","","","ZONE_TIMERS",103.361,196.731,266.055,34.037,255.016,45.076,141.385,158.707
"000:50:31.014","","","","","","ZONE_COUNTERS",68,68,24,24,6,5,52,53
"000:50:31.015","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.015","","","","","","TOTAL_ARENA_DISTANCES",36650,30236,5682,31687
"000:55:31.091","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:31.091","","","","","","ZONE_DISTANCES",24808,12160,6850,23177,883,4990,15364,13078
"000:55:31.092","","","","","","ZONE_TIMERS",201.595,98.482,31.906,268.171,9.001,291.076,167.787,132.290
"000:55:31.093","","","","","","ZONE_COUNTERS",59,59,27,27,3,3,48,48
"000:55:31.093","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.094","","","","","","TOTAL_ARENA_DISTANCES",36968,30027,5873,28442
"001:00:31.178","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:31.179","","","","","","ZONE_DISTANCES",16431,21436,22994,9338,6561,8326,14300,15194
"001:00:31.180","","","","","","ZONE_TIMERS",128.306,171.781,260.251,39.836,73.412,226.675,135.148,164.939
"001:00:31.180","","","","","","ZONE_COUNTERS",61,60,35,36,15,16,46,46
"001:00:31.181","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.181","","","","","","TOTAL_ARENA_DISTANCES",37868,32331,14887,29494
"001:00:31.250","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.251","","","","","","ZONE_DISTANCES",111131,103377,112365,104698,28751,41721,110208,99960
"001:00:31.251","","","","","","ZONE_TIMERS",930.921,869.580,1009.382,791.119,711.425,1089.076,939.580,860.921
"001:00:31.252","","","","","","ZONE_COUNTERS",381,380,229,230,61,62,333,334
"001:00:31.253","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.253","","","","","","TOTAL_ARENA_DISTANCES",214509,217062,70472,210168
"001:03:03.431","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:03.432","","","","","","ZONE_DISTANCES",4346,2766,1972,5461,652,1005,2995,3635
"001:03:03.433","","","","","","ZONE_TIMERS",37.037,23.057,8.792,51.302,4.582,55.511,25.669,34.424
"001:03:03.434","","","","","","ZONE_COUNTERS",14,13,8,8,2,3,9,9
"001:03:03.435","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.435","","","","","","TOTAL_ARENA_DISTANCES",7111,7433,1657,6630
"001:04:03.525","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:04:03.526","","","","","","ZONE_DISTANCES",4456,3417,5657,3520,1083,1362,4310,3123
"001:04:03.527","","","","","","ZONE_TIMERS",32.485,27.608,47.592,12.502,42.504,17.590,31.512,28.581
"001:04:03.527","","","","","","ZONE_COUNTERS",14,14,13,12,3,3,11,11
"001:04:03.528","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.528","","","","","","TOTAL_ARENA_DISTANCES",7873,9177,2445,7433
"001:05:03.610","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:05:03.610","","","","","","ZONE_DISTANCES",5423,2246,1070,2464,177,272,3197,3178
"001:05:03.611","","","","","","ZONE_TIMERS",42.513,17.570,12.945,47.138,13.272,46.812,28.124,31.960
"001:05:03.612","","","","","","ZONE_COUNTERS",12,13,3,3,1,1,12,11
"001:05:03.613","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.613","","","","","","TOTAL_ARENA_DISTANCES",7669,3535,449,6376
