"000:00:00.000","Info","2019-07-16 02:19:47","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7650 a7151 a7617 a7195"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.534","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.534","","","","","","ZONE_DISTANCES",17433,23302,14565,19872,10167,16763,13719,19843
"000:35:30.535","","","","","","ZONE_TIMERS",118.010,181.993,101.203,198.800,88.241,211.762,103.984,196.019
"000:35:30.535","","","","","","ZONE_COUNTERS",48,48,40,41,26,26,34,34
"000:35:30.536","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.536","","","","","","TOTAL_ARENA_DISTANCES",40735,34437,26930,33562
"000:40:30.575","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.575","","","","","","ZONE_DISTANCES",19405,21663,20301,19570,19787,9044,13438,18786
"000:40:30.576","","","","","","ZONE_TIMERS",158.383,141.657,181.373,118.668,210.748,89.292,137.229,162.811
"000:40:30.576","","","","","","ZONE_COUNTERS",47,47,57,57,40,40,33,33
"000:40:30.577","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.577","","","","","","TOTAL_ARENA_DISTANCES",41068,39871,28831,32224
"000:45:30.585","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.586","","","","","","ZONE_DISTANCES",19010,21888,14079,17473,1605,25081,11858,20847
"000:45:30.586","","","","","","ZONE_TIMERS",119.464,180.545,85.609,214.400,15.999,284.010,93.103,206.906
"000:45:30.587","","","","","","ZONE_COUNTERS",43,43,43,43,26,26,30,30
"000:45:30.587","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.587","","","","","","TOTAL_ARENA_DISTANCES",40898,31552,26686,32705
"000:50:30.596","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.596","","","","","","ZONE_DISTANCES",18947,20455,17882,15138,22299,4767,16793,16059
"000:50:30.596","","","","","","ZONE_TIMERS",156.601,143.409,192.833,107.177,259.428,40.581,164.710,135.299
"000:50:30.597","","","","","","ZONE_COUNTERS",46,46,44,45,34,34,38,38
"000:50:30.597","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.598","","","","","","TOTAL_ARENA_DISTANCES",39402,33020,27066,32851
"000:55:30.634","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:30.636","","","","","","ZONE_DISTANCES",16707,20898,11796,16722,2368,23447,12732,16878
"000:55:30.638","","","","","","ZONE_TIMERS",113.798,186.238,69.987,230.049,22.210,277.827,111.273,188.763
"000:55:30.639","","","","","","ZONE_COUNTERS",42,41,39,40,18,18,33,33
"000:55:30.641","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.642","","","","","","TOTAL_ARENA_DISTANCES",37605,28517,25815,29610
"001:00:30.672","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:30.673","","","","","","ZONE_DISTANCES",19260,20233,17738,14521,21654,6015,15207,16110
"001:00:30.674","","","","","","ZONE_TIMERS",157.349,142.689,199.602,100.437,242.054,57.984,140.012,160.027
"001:00:30.674","","","","","","ZONE_COUNTERS",45,44,42,42,34,34,35,35
"001:00:30.675","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.675","","","","","","TOTAL_ARENA_DISTANCES",39493,32259,27669,31317
"001:00:30.759","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.759","","","","","","ZONE_DISTANCES",110762,128439,96361,103296,77880,85117,83747,108523
"001:00:30.760","","","","","","ZONE_TIMERS",823.614,976.534,830.616,969.533,838.690,961.459,750.320,1049.828
"001:00:30.760","","","","","","ZONE_COUNTERS",268,267,264,264,176,175,201,200
"001:00:30.760","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.761","","","","","","TOTAL_ARENA_DISTANCES",239201,199657,162997,192270
"001:03:01.946","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:03:01.946","","","","","","ZONE_DISTANCES",3483,5338,1552,3618,155,4203,2683,3676
"001:03:01.947","","","","","","ZONE_TIMERS",22.427,37.586,10.095,49.917,1.369,58.643,20.863,39.150
"001:03:01.947","","","","","","ZONE_COUNTERS",12,11,10,11,2,3,7,8
"001:03:01.948","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:01.948","","","","","","TOTAL_ARENA_DISTANCES",8822,5170,4358,6358
"001:04:01.965","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:04:01.966","","","","","","ZONE_DISTANCES",3824,3666,3565,1983,3764,1275,2535,3257
"001:04:01.967","","","","","","ZONE_TIMERS",31.463,28.556,44.783,15.236,53.468,6.550,25.862,34.157
"001:04:01.968","","","","","","ZONE_COUNTERS",10,9,10,11,4,4,7,7
"001:04:01.969","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:01.970","","","","","","TOTAL_ARENA_DISTANCES",7490,5548,5039,5793
"001:05:01.986","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:05:01.987","","","","","","ZONE_DISTANCES",3198,4286,1024,3607,953,4285,1699,3632
"001:05:01.988","","","","","","ZONE_TIMERS",22.647,37.374,6.186,53.836,6.666,53.355,14.253,45.768
"001:05:01.988","","","","","","ZONE_COUNTERS",9,9,7,7,3,3,6,6
"001:05:01.989","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:01.989","","","","","","TOTAL_ARENA_DISTANCES",7484,4630,5238,5330
"001:06:02.009","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:06:02.009","","","","","","ZONE_DISTANCES",3843,4063,3416,1753,4126,1455,2933,2878
"001:06:02.010","","","","","","ZONE_TIMERS",32.065,27.956,48.012,12.010,46.482,13.540,29.420,30.602
"001:06:02.011","","","","","","ZONE_COUNTERS",10,11,10,9,6,7,7,8
"001:06:02.011","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.011","","","","","","TOTAL_ARENA_DISTANCES",7906,5170,5581,5812
"001:07:02.066","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:07:02.067","","","","","","ZONE_DISTANCES",3488,4250,1399,4186,712,5505,2972,3270
"001:07:02.068","","","","","","ZONE_TIMERS",24.668,35.388,7.314,52.742,4.669,55.387,25.850,34.205
"001:07:02.068","","","","","","ZONE_COUNTERS",9,10,8,8,5,6,7,8
"001:07:02.069","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.070","","","","","","TOTAL_ARENA_DISTANCES",7738,5585,6217,6242
"001:07:02.156","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.156","","","","","","ZONE_DISTANCES",17836,21603,10956,15147,9710,16723,12822,16713
"001:07:02.157","","","","","","ZONE_TIMERS",133.272,166.861,116.391,183.742,112.656,187.477,116.251,183.883
"001:07:02.157","","","","","","ZONE_COUNTERS",48,48,43,44,19,20,33,34
"001:07:02.158","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.158","","","","","","TOTAL_ARENA_DISTANCES",39439,26103,26433,29535
"001:07:02.158","Info","2019-07-16 03:26:49","Service 'YELRED' : Execution end"
