"000:00:00.000","Info","2019-07-17 03:54:57","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7507 a7648 a7426 a7289"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.648","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.649","","","","","","ZONE_DISTANCES",23663,27780,22507,26498,18361,17733,23942,22815
"000:35:30.650","","","","","","ZONE_TIMERS",131.154,168.934,135.419,164.669,140.226,159.862,149.117,150.971
"000:35:30.650","","","","","","ZONE_COUNTERS",82,82,54,54,47,47,58,59
"000:35:30.651","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.651","","","","","","TOTAL_ARENA_DISTANCES",51443,49005,36094,46757
"000:40:30.733","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.734","","","","","","ZONE_DISTANCES",16921,30074,23907,23814,20972,19323,39520,19012
"000:40:30.734","","","","","","ZONE_TIMERS",109.194,190.890,150.995,149.089,176.233,123.850,208.936,91.148
"000:40:30.735","","","","","","ZONE_COUNTERS",46,45,56,56,51,51,101,101
"000:40:30.736","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.736","","","","","","TOTAL_ARENA_DISTANCES",46995,47721,40295,58533
"000:45:30.830","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.830","","","","","","ZONE_DISTANCES",16912,26601,24306,29702,24187,24666,33482,25953
"000:45:30.831","","","","","","ZONE_TIMERS",102.464,197.631,142.519,157.577,123.803,176.293,164.277,135.819
"000:45:30.832","","","","","","ZONE_COUNTERS",34,34,57,58,66,65,92,92
"000:45:30.832","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.833","","","","","","TOTAL_ARENA_DISTANCES",43513,54008,48853,59435
"000:50:30.904","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.904","","","","","","ZONE_DISTANCES",16103,27593,26819,25859,21894,21392,39921,20952
"000:50:30.905","","","","","","ZONE_TIMERS",101.419,198.654,153.936,146.137,166.803,133.270,206.309,93.764
"000:50:30.906","","","","","","ZONE_COUNTERS",34,34,63,64,55,54,120,120
"000:50:30.906","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.907","","","","","","TOTAL_ARENA_DISTANCES",43696,52678,43286,60873
"000:55:31.018","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:31.018","","","","","","ZONE_DISTANCES",22318,32460,23518,29897,17955,22409,26052,47018
"000:55:31.019","","","","","","ZONE_TIMERS",99.288,200.826,141.795,158.318,110.469,189.644,89.977,210.136
"000:55:31.020","","","","","","ZONE_COUNTERS",62,62,60,61,47,47,107,107
"000:55:31.020","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.021","","","","","","TOTAL_ARENA_DISTANCES",54778,53416,40364,73071
"001:00:31.124","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:31.127","","","","","","ZONE_DISTANCES",21897,28552,31752,26570,17015,22030,56575,6280
"001:00:31.129","","","","","","ZONE_TIMERS",137.548,162.556,163.748,136.357,135.484,164.620,275.938,24.166
"001:00:31.131","","","","","","ZONE_COUNTERS",63,64,68,69,35,35,88,88
"001:00:31.133","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.135","","","","","","TOTAL_ARENA_DISTANCES",50449,58322,39045,62855
"001:00:31.219","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.222","","","","","","ZONE_DISTANCES",117814,173060,152809,162340,120384,127553,219492,142030
"001:00:31.224","","","","","","ZONE_TIMERS",681.070,1119.510,888.415,912.165,853.038,947.543,1094.574,706.007
"001:00:31.226","","","","","","ZONE_COUNTERS",318,319,357,358,298,297,564,564
"001:00:31.228","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.230","","","","","","TOTAL_ARENA_DISTANCES",290874,315149,247937,361522
"001:03:03.738","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:03.739","","","","","","ZONE_DISTANCES",5991,6495,1454,7023,3895,4772,3196,4170
"001:03:03.740","","","","","","ZONE_TIMERS",25.278,34.833,8.812,51.299,25.142,34.969,24.858,35.253
"001:03:03.740","","","","","","ZONE_COUNTERS",17,18,9,9,14,15,11,12
"001:03:03.741","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.742","","","","","","TOTAL_ARENA_DISTANCES",12486,8477,8668,7366
"001:04:03.852","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:03.853","","","","","","ZONE_DISTANCES",5000,5186,4495,4907,2837,5454,5938,2540
"001:04:03.854","","","","","","ZONE_TIMERS",36.154,23.959,27.570,32.543,20.848,39.265,43.594,16.519
"001:04:03.854","","","","","","ZONE_COUNTERS",13,13,12,12,13,13,12,13
"001:04:03.855","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.855","","","","","","TOTAL_ARENA_DISTANCES",10186,9402,8291,8478
"001:05:03.979","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:03.980","","","","","","ZONE_DISTANCES",5251,5052,3735,5523,4055,4216,3215,4690
"001:05:03.981","","","","","","ZONE_TIMERS",27.756,32.370,24.374,35.752,26.057,34.070,23.549,36.577
"001:05:03.981","","","","","","ZONE_COUNTERS",14,14,12,11,13,12,12,12
"001:05:03.982","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.983","","","","","","TOTAL_ARENA_DISTANCES",10304,9258,8271,7906
"001:06:04.096","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:04.096","","","","","","ZONE_DISTANCES",4838,5342,4468,4615,3853,4536,4766,3595
"001:06:04.097","","","","","","ZONE_TIMERS",35.620,24.496,27.504,32.612,29.139,30.977,33.027,27.088
"001:06:04.098","","","","","","ZONE_COUNTERS",13,14,12,12,13,12,13,13
"001:06:04.098","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.099","","","","","","TOTAL_ARENA_DISTANCES",10179,9084,8389,8361
"001:07:04.173","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:04.173","","","","","","ZONE_DISTANCES",4239,5267,2523,5966,2792,5064,2383,5314
"001:07:04.174","","","","","","ZONE_TIMERS",20.225,39.851,14.465,45.611,20.086,39.990,17.787,42.289
"001:07:04.175","","","","","","ZONE_COUNTERS",11,11,11,12,9,9,11,12
"001:07:04.175","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.176","","","","","","TOTAL_ARENA_DISTANCES",9506,8488,7856,7697
"001:07:04.265","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:04.268","","","","","","ZONE_DISTANCES",25319,27342,16675,28034,17432,24042,19498,20309
"001:07:04.270","","","","","","ZONE_TIMERS",145.034,155.512,102.727,197.818,121.273,179.272,142.818,157.728
"001:07:04.273","","","","","","ZONE_COUNTERS",67,67,54,54,59,60,58,59
"001:07:04.275","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.277","","","","","","TOTAL_ARENA_DISTANCES",52661,44709,41474,39807
"001:07:04.279","Info","2019-07-17 05:02:02","Service 'GREBLU' : Execution end"
