"000:00:00.000","Info","2019-07-17 03:55:30","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7668 a8105 a7705 a7509"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.663","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.664","","","","","","ZONE_DISTANCES",22663,31332,26140,17856,24468,22829,19779,25682
"000:35:30.664","","","","","","ZONE_TIMERS",132.554,167.496,252.097,47.953,185.025,115.025,126.347,173.703
"000:35:30.664","","","","","","ZONE_COUNTERS",79,79,51,50,55,55,59,59
"000:35:30.665","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.665","","","","","","TOTAL_ARENA_DISTANCES",53994,43995,47297,45461
"000:40:30.826","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.827","","","","","","ZONE_DISTANCES",29524,22604,13,0,21195,25369,18211,23149
"000:40:30.827","","","","","","ZONE_TIMERS",167.498,132.664,300.163,0.000,94.413,205.749,115.830,184.332
"000:40:30.828","","","","","","ZONE_COUNTERS",71,71,1,0,57,57,50,50
"000:40:30.828","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.828","","","","","","TOTAL_ARENA_DISTANCES",52129,13,46564,41360
"000:45:30.968","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.968","","","","","","ZONE_DISTANCES",28084,31833,11888,8258,25620,22632,24203,31058
"000:45:30.968","","","","","","ZONE_TIMERS",152.760,147.381,273.036,27.105,190.929,109.211,124.146,175.995
"000:45:30.969","","","","","","ZONE_COUNTERS",100,99,22,21,58,58,68,67
"000:45:30.969","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.970","","","","","","TOTAL_ARENA_DISTANCES",59917,20146,48252,55262
"000:50:31.121","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.122","","","","","","ZONE_DISTANCES",30616,26496,6159,10446,23926,25347,22752,26960
"000:50:31.122","","","","","","ZONE_TIMERS",156.212,143.941,20.556,279.596,119.840,180.313,118.420,181.733
"000:50:31.123","","","","","","ZONE_COUNTERS",87,87,14,14,58,58,58,58
"000:50:31.123","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.123","","","","","","TOTAL_ARENA_DISTANCES",57112,16604,49274,49712
"000:55:31.289","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.290","","","","","","ZONE_DISTANCES",27328,28449,3687,3140,22749,22005,20177,24618
"000:55:31.290","","","","","","ZONE_TIMERS",155.102,145.065,287.977,12.190,163.712,136.455,134.537,165.630
"000:55:31.291","","","","","","ZONE_COUNTERS",84,85,8,8,52,52,50,51
"000:55:31.291","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.291","","","","","","TOTAL_ARENA_DISTANCES",55777,6827,44753,44795
"001:00:31.461","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.462","","","","","","ZONE_DISTANCES",40750,19909,5503,8906,19973,22945,22362,24453
"001:00:31.462","","","","","","ZONE_TIMERS",200.240,99.931,27.028,273.143,121.312,178.859,123.654,176.517
"001:00:31.462","","","","","","ZONE_COUNTERS",96,97,15,15,49,48,55,56
"001:00:31.463","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.463","","","","","","TOTAL_ARENA_DISTANCES",60659,14409,42918,46815
"001:00:31.563","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.563","","","","","","ZONE_DISTANCES",178965,160623,53390,48606,137931,141127,127484,155920
"001:00:31.564","","","","","","ZONE_TIMERS",964.368,836.486,1160.858,639.995,875.238,925.615,742.937,1057.917
"001:00:31.564","","","","","","ZONE_COUNTERS",515,515,107,107,326,326,338,338
"001:00:31.565","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.565","","","","","","TOTAL_ARENA_DISTANCES",339587,101995,279057,283404
"001:03:04.415","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.415","","","","","","ZONE_DISTANCES",5268,5142,1347,413,5092,3775,3514,4405
"001:03:04.416","","","","","","ZONE_TIMERS",32.151,27.919,58.686,1.384,45.307,14.763,29.862,30.208
"001:03:04.416","","","","","","ZONE_COUNTERS",22,21,2,1,12,12,10,10
"001:03:04.417","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.417","","","","","","TOTAL_ARENA_DISTANCES",10410,1760,8867,7919
"001:04:04.553","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.553","","","","","","ZONE_DISTANCES",6666,2897,0,0,4240,5411,3574,4280
"001:04:04.554","","","","","","ZONE_TIMERS",40.442,19.695,60.138,0.000,20.966,39.172,23.802,36.335
"001:04:04.554","","","","","","ZONE_COUNTERS",18,17,1,0,10,10,10,10
"001:04:04.555","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.555","","","","","","TOTAL_ARENA_DISTANCES",9563,0,9652,7854
"001:05:04.698","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:05:04.699","","","","","","ZONE_DISTANCES",5669,4220,13,0,4729,4281,3492,4449
"001:05:04.699","","","","","","ZONE_TIMERS",36.260,23.885,60.145,0.000,36.077,24.068,29.682,30.463
"001:05:04.700","","","","","","ZONE_COUNTERS",19,18,1,0,11,11,10,10
"001:05:04.700","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.700","","","","","","TOTAL_ARENA_DISTANCES",9889,13,9010,7941
"001:06:04.851","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:06:04.851","","","","","","ZONE_DISTANCES",6201,2293,0,0,3870,4954,4222,4257
"001:06:04.852","","","","","","ZONE_TIMERS",44.962,15.189,60.152,0.000,20.180,39.972,24.479,35.673
"001:06:04.852","","","","","","ZONE_COUNTERS",16,16,1,0,9,10,10,11
"001:06:04.853","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.853","","","","","","TOTAL_ARENA_DISTANCES",8494,0,8823,8480
"001:07:04.989","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:07:04.990","","","","","","ZONE_DISTANCES",4781,4550,0,0,4718,4278,3824,4264
"001:07:04.990","","","","","","ZONE_TIMERS",31.803,28.334,60.138,0.000,31.392,28.745,30.194,29.944
"001:07:04.991","","","","","","ZONE_COUNTERS",19,19,1,0,10,11,10,11
"001:07:04.991","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.991","","","","","","TOTAL_ARENA_DISTANCES",9331,0,8996,8088
"001:07:05.087","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:05.087","","","","","","ZONE_DISTANCES",28585,19102,1360,413,22649,22699,18626,21655
"001:07:05.088","","","","","","ZONE_TIMERS",185.621,115.024,299.261,1.384,153.923,146.722,138.020,162.624
"001:07:05.088","","","","","","ZONE_COUNTERS",91,90,2,1,51,51,49,49
"001:07:05.089","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.089","","","","","","TOTAL_ARENA_DISTANCES",47686,1774,45348,40281
"001:07:05.090","Info","2019-07-17 05:02:36","Service 'GRYCHK' : Execution end"
