"000:00:00.000","Info","2019-07-17 02:11:03","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a8040 a7120 a6921 a6830"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.560","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.561","","","","","","ZONE_DISTANCES",2659,33067,12041,24360,5904,13724,30700,23563
"000:35:30.562","","","","","","ZONE_TIMERS",15.541,284.523,99.442,200.621,77.123,222.941,168.302,131.761
"000:35:30.563","","","","","","ZONE_COUNTERS",17,17,55,56,23,24,66,66
"000:35:30.563","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.564","","","","","","TOTAL_ARENA_DISTANCES",35726,36401,19629,54262
"000:40:30.635","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.635","","","","","","ZONE_DISTANCES",22807,1663,22298,18089,10335,10689,34905,20596
"000:40:30.636","","","","","","ZONE_TIMERS",288.686,11.387,160.573,139.500,142.412,157.661,244.549,55.524
"000:40:30.636","","","","","","ZONE_COUNTERS",3,3,52,52,16,17,59,58
"000:40:30.637","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.637","","","","","","TOTAL_ARENA_DISTANCES",24470,40387,21023,55501
"000:45:30.725","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.725","","","","","","ZONE_DISTANCES",891,35705,13664,24769,6835,17115,31122,30761
"000:45:30.726","","","","","","ZONE_TIMERS",9.909,290.180,104.765,195.324,74.169,225.921,133.509,166.580
"000:45:30.727","","","","","","ZONE_COUNTERS",3,3,71,71,28,29,81,81
