"000:00:00.000","Info","2019-07-17 03:55:06","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7303 a7341 a7745 a7364"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.575","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.576","","","","","","ZONE_DISTANCES",22481,22201,10741,8527,17943,18084,29405,28601
"000:35:30.576","","","","","","ZONE_TIMERS",152.941,147.112,248.097,51.956,139.321,160.732,169.843,130.210
"000:35:30.577","","","","","","ZONE_COUNTERS",55,56,22,21,38,38,76,75
"000:35:30.577","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.578","","","","","","TOTAL_ARENA_DISTANCES",44682,19268,36027,58006
"000:40:30.646","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.646","","","","","","ZONE_DISTANCES",21900,19163,12072,11658,28186,12588,21733,21774
"000:40:30.647","","","","","","ZONE_TIMERS",201.959,98.110,114.509,185.560,215.863,84.207,161.455,138.614
"000:40:30.647","","","","","","ZONE_COUNTERS",50,50,29,29,31,31,56,56
"000:40:30.648","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.648","","","","","","TOTAL_ARENA_DISTANCES",41063,23730,40774,43507
"000:45:30.732","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.733","","","","","","ZONE_DISTANCES",21329,22096,13807,17167,25570,19950,19024,19210
"000:45:30.733","","","","","","ZONE_TIMERS",143.718,156.368,80.464,219.622,159.601,140.485,138.292,161.794
"000:45:30.734","","","","","","ZONE_COUNTERS",51,51,38,38,44,44,52,52
"000:45:30.734","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.735","","","","","","TOTAL_ARENA_DISTANCES",43425,30975,45520,38234
"000:50:30.795","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.796","","","","","","ZONE_DISTANCES",21713,21491,11421,11330,34375,12249,19844,16262
"000:50:30.796","","","","","","ZONE_TIMERS",170.863,129.199,114.571,185.491,236.475,63.587,208.967,91.094
