"000:00:00.000","Info","2019-07-17 02:11:11","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a6888 a7624 a6988 a7270"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.637","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.637","","","","","","ZONE_DISTANCES",15008,21026,19943,11379,14735,15998,22793,17726
"000:35:30.638","","","","","","ZONE_TIMERS",124.354,175.734,208.335,91.753,147.716,152.373,196.529,103.559
"000:35:30.638","","","","","","ZONE_COUNTERS",46,46,31,31,36,36,48,48
"000:35:30.639","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.639","","","","","","TOTAL_ARENA_DISTANCES",36034,31321,30733,40520
"000:40:30.702","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.703","","","","","","ZONE_DISTANCES",10037,24127,5367,20339,14901,16689,19830,15444
"000:40:30.704","","","","","","ZONE_TIMERS",75.383,224.682,52.604,247.460,132.706,167.358,182.198,117.867
"000:40:30.705","","","","","","ZONE_COUNTERS",35,35,16,16,42,43,41,41
"000:40:30.706","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.707","","","","","","TOTAL_ARENA_DISTANCES",34164,25707,31589,35273
"000:45:30.785","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.786","","","","","","ZONE_DISTANCES",20875,7159,16216,3551,16826,14754,17037,7822
