"000:00:00.000","Info","2019-07-17 00:10:01","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a8106 a7197 a7271 a7557"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.690","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.693","","","","","","ZONE_DISTANCES",18750,22428,13849,6810,16380,16566,12586,17618
"000:35:30.694","","","","","","ZONE_TIMERS",134.186,165.816,255.445,44.557,144.636,155.366,124.673,175.329
"000:35:30.696","","","","","","ZONE_COUNTERS",52,51,22,22,36,36,31,32
"000:35:30.697","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.699","","","","","","TOTAL_ARENA_DISTANCES",41178,20659,32946,30203
"000:40:30.730","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.731","","","","","","ZONE_DISTANCES",13139,20749,8703,13927,19923,24105,13950,17454
"000:40:30.731","","","","","","ZONE_TIMERS",101.497,198.542,53.606,246.433,108.572,191.467,115.899,184.140
"000:40:30.732","","","","","","ZONE_COUNTERS",43,42,21,22,54,54,34,35
"000:40:30.732","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.733","","","","","","TOTAL_ARENA_DISTANCES",33888,22630,44029,31404
"000:45:30.770","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.771","","","","","","ZONE_DISTANCES",16265,17909,9744,9002,26501,10927,16175,15248
"000:45:30.772","","","","","","ZONE_TIMERS",139.052,160.988,242.657,57.382,234.613,65.426,150.346,149.694
"000:45:30.772","","","","","","ZONE_COUNTERS",44,43,13,13,43,43,37,37
"000:45:30.772","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.773","","","","","","TOTAL_ARENA_DISTANCES",34174,18746,37428,31423
"000:50:30.780","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.781","","","","","","ZONE_DISTANCES",13201,19740,1098,4608,18468,23952,12767,18125
"000:50:30.781","","","","","","ZONE_TIMERS",108.912,191.096,11.484,288.524,99.661,200.348,113.674,186.335
"000:50:30.782","","","","","","ZONE_COUNTERS",44,44,1,1,53,53,37,37
"000:50:30.782","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.782","","","","","","TOTAL_ARENA_DISTANCES",32941,5706,42419,30892
