"000:00:00.000","Info","2019-07-17 02:12:34","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7521 a7053 a7384 a7185"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.615","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.615","","","","","","ZONE_DISTANCES",29275,18401,25302,13711,18764,11998,19217,24930
"000:35:30.616","","","","","","ZONE_TIMERS",198.776,101.297,191.109,108.964,182.018,118.056,119.026,181.047
"000:35:30.616","","","","","","ZONE_COUNTERS",55,56,51,50,53,52,50,51
"000:35:30.616","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.617","","","","","","TOTAL_ARENA_DISTANCES",47676,39013,30763,44148
"000:40:30.674","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.675","","","","","","ZONE_DISTANCES",15981,23603,18915,17738,11370,12954,17270,20219
"000:40:30.675","","","","","","ZONE_TIMERS",117.246,182.812,162.460,137.598,149.129,150.929,130.824,169.235
"000:40:30.676","","","","","","ZONE_COUNTERS",40,41,41,41,52,51,41,42
"000:40:30.676","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.676","","","","","","TOTAL_ARENA_DISTANCES",39584,36653,24324,37489
"000:45:30.755","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.755","","","","","","ZONE_DISTANCES",23280,25698,19944,19648,14163,10331,18522,20059
"000:45:30.756","","","","","","ZONE_TIMERS",143.954,156.125,136.291,163.788,159.398,140.682,137.219,162.861
"000:45:30.756","","","","","","ZONE_COUNTERS",60,60,54,54,46,45,48,48
"000:45:30.757","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.757","","","","","","TOTAL_ARENA_DISTANCES",48979,39593,24494,38582
"000:50:30.819","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.819","","","","","","ZONE_DISTANCES",23453,30067,28663,18138,11559,9279,19471,20232
"000:50:30.820","","","","","","ZONE_TIMERS",152.955,147.108,210.195,89.868,200.378,99.685,145.817,154.247
"000:50:30.820","","","","","","ZONE_COUNTERS",62,61,54,53,40,39,54,54
"000:50:30.821","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.821","","","","","","TOTAL_ARENA_DISTANCES",53519,46801,20839,39703
"000:55:30.875","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:30.875","","","","","","ZONE_DISTANCES",24170,26397,21915,17658,11561,10074,19299,23560
"000:55:30.876","","","","","","ZONE_TIMERS",133.711,166.344,146.423,153.631,135.475,164.580,132.398,167.657
"000:55:30.876","","","","","","ZONE_COUNTERS",60,59,50,49,43,42,53,54
