"000:00:00.000","Info","2019-07-18 00:05:39","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7195 a7650 a7151 a7617"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.645","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.646","","","","","","ZONE_DISTANCES",16614,24045,15414,23455,16623,17926,13021,16595
"000:35:30.646","","","","","","ZONE_TIMERS",80.625,219.377,102.805,197.196,147.348,152.654,140.784,159.217
"000:35:30.648","","","","","","ZONE_COUNTERS",53,53,42,43,51,51,41,41
"000:35:30.648","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.649","","","","","","TOTAL_ARENA_DISTANCES",40659,38870,34549,29615
"000:40:30.657","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.658","","","","","","ZONE_DISTANCES",35523,31198,12219,24281,13755,22210,16273,11610
"000:40:30.658","","","","","","ZONE_TIMERS",137.436,162.575,93.929,206.082,90.160,209.851,173.217,126.794
"000:40:30.659","","","","","","ZONE_COUNTERS",74,74,40,40,63,63,51,50
"000:40:30.659","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.659","","","","","","TOTAL_ARENA_DISTANCES",66721,36499,35965,27883
"000:45:30.726","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.726","","","","","","ZONE_DISTANCES",30392,32149,14655,25449,19310,22967,5504,26859
"000:45:30.727","","","","","","ZONE_TIMERS",82.094,217.973,97.645,202.423,158.128,141.940,50.831,249.237
"000:45:30.727","","","","","","ZONE_COUNTERS",68,68,38,38,82,82,43,43
"000:45:30.728","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.728","","","","","","TOTAL_ARENA_DISTANCES",62541,40104,42277,32363
"000:50:30.779","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.780","","","","","","ZONE_DISTANCES",35302,25856,21556,19620,23493,15728,18570,9963
"000:50:30.781","","","","","","ZONE_TIMERS",139.812,160.241,153.197,146.856,162.025,138.028,188.567,111.486
"000:50:30.782","","","","","","ZONE_COUNTERS",70,70,44,44,72,72,41,41
"000:50:30.783","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.784","","","","","","TOTAL_ARENA_DISTANCES",61158,41176,39222,28533
"000:55:30.843","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.844","","","","","","ZONE_DISTANCES",30190,25639,17631,27644,18131,21752,12177,17717
"000:55:30.844","","","","","","ZONE_TIMERS",118.107,181.956,106.402,193.661,160.786,139.277,124.208,175.856
"000:55:30.845","","","","","","ZONE_COUNTERS",61,60,46,46,64,64,45,44
"000:55:30.846","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.846","","","","","","TOTAL_ARENA_DISTANCES",55829,45274,39883,29894
"001:00:30.908","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.909","","","","","","ZONE_DISTANCES",32755,28297,20560,20193,25503,17016,15456,11884
"001:00:30.909","","","","","","ZONE_TIMERS",127.181,172.883,149.685,150.379,154.521,145.543,158.615,141.449
"001:00:30.910","","","","","","ZONE_COUNTERS",69,68,46,46,78,78,39,38
"001:00:30.910","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.910","","","","","","TOTAL_ARENA_DISTANCES",61052,40754,42519,27340
"001:00:30.965","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.965","","","","","","ZONE_DISTANCES",180776,167184,102035,140642,116815,117599,81001,94628
"001:00:30.966","","","","","","ZONE_TIMERS",685.263,1115.008,703.670,1096.600,872.970,927.301,836.231,964.040
"001:00:30.966","","","","","","ZONE_COUNTERS",392,391,254,254,407,408,256,256
"001:00:30.967","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.967","","","","","","TOTAL_ARENA_DISTANCES",347960,242678,234414,175629
