"000:00:00.000","Info","2019-07-18 04:17:53","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7103 a7524 a7304 a7331"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.578","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.578","","","","","","ZONE_DISTANCES",20884,15619,16157,13954,14875,25022,17510,15296
"000:35:30.579","","","","","","ZONE_TIMERS",171.668,128.334,146.250,153.751,118.047,181.955,160.469,139.533
"000:35:30.579","","","","","","ZONE_COUNTERS",66,67,69,68,35,34,46,45
"000:35:30.580","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.580","","","","","","TOTAL_ARENA_DISTANCES",36503,30111,39897,32806
"000:40:30.680","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.680","","","","","","ZONE_DISTANCES",13218,20464,8153,15131,4805,2821,17107,16171
"000:40:30.681","","","","","","ZONE_TIMERS",118.927,181.174,109.494,190.607,282.242,17.859,158.041,142.060
"000:40:30.681","","","","","","ZONE_COUNTERS",65,66,42,42,7,6,41,41
"000:40:30.682","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.682","","","","","","TOTAL_ARENA_DISTANCES",33682,23284,7626,33279
"000:45:30.758","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.758","","","","","","ZONE_DISTANCES",15589,16474,11456,9659,3219,7351,16658,18488
"000:45:30.759","","","","","","ZONE_TIMERS",141.074,159.002,155.575,144.502,29.595,270.482,137.308,162.769
"000:45:30.759","","","","","","ZONE_COUNTERS",59,59,46,47,7,7,47,48
"000:45:30.760","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.760","","","","","","TOTAL_ARENA_DISTANCES",32063,21115,10570,35146
"000:50:30.864","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:30.866","","","","","","ZONE_DISTANCES",12330,17120,8310,11593,2082,2356,17227,14981
"000:50:30.868","","","","","","ZONE_TIMERS",129.824,170.280,144.668,155.436,293.523,6.582,178.475,121.630
"000:50:30.869","","","","","","ZONE_COUNTERS",59,58,41,42,5,5,48,48
"000:50:30.871","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.872","","","","","","TOTAL_ARENA_DISTANCES",29450,19903,4438,32208
