"000:00:00.000","Info","2019-07-18 02:07:52","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7523 a7733 a7410 a6900"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.625","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.628","","","","","","ZONE_DISTANCES",20542,24838,10881,19071,15384,21599,19099,21044
"000:35:30.629","","","","","","ZONE_TIMERS",143.181,156.821,94.937,205.064,132.791,167.210,158.582,141.420
"000:35:30.631","","","","","","ZONE_COUNTERS",51,52,33,32,46,46,62,61
"000:35:30.632","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.634","","","","","","TOTAL_ARENA_DISTANCES",45380,29952,36983,40143
"000:40:30.734","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.734","","","","","","ZONE_DISTANCES",21382,23144,13659,16309,14399,17068,19678,17663
"000:40:30.735","","","","","","ZONE_TIMERS",136.868,163.240,125.648,174.460,116.793,183.315,154.175,145.932
"000:40:30.736","","","","","","ZONE_COUNTERS",55,56,30,30,39,40,48,48
"000:40:30.736","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.737","","","","","","TOTAL_ARENA_DISTANCES",44526,29969,31467,37341
"000:45:30.813","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.815","","","","","","ZONE_DISTANCES",19231,26917,14191,15942,12863,15403,19749,19628
"000:45:30.816","","","","","","ZONE_TIMERS",122.167,177.910,138.915,161.163,143.765,156.312,164.504,135.573
"000:45:30.818","","","","","","ZONE_COUNTERS",54,54,33,34,38,38,47,48
"000:45:30.819","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.821","","","","","","TOTAL_ARENA_DISTANCES",46149,30132,28266,39377
"000:50:30.950","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:30.951","","","","","","ZONE_DISTANCES",23530,26342,11877,16685,13867,16413,19121,19651
"000:50:30.951","","","","","","ZONE_TIMERS",132.428,167.709,102.600,197.537,123.462,176.675,134.673,165.464
"000:50:30.952","","","","","","ZONE_COUNTERS",74,74,33,33,37,36,46,46
"000:50:30.953","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.954","","","","","","TOTAL_ARENA_DISTANCES",49871,28562,30280,38772
"000:55:31.058","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.058","","","","","","ZONE_DISTANCES",22473,31851,14644,16347,15051,14433,19438,21974
"000:55:31.059","","","","","","ZONE_TIMERS",123.716,176.391,139.842,160.265,155.356,144.751,165.938,134.169
"000:55:31.060","","","","","","ZONE_COUNTERS",87,88,35,35,38,37,47,47
"000:55:31.060","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.060","","","","","","TOTAL_ARENA_DISTANCES",54324,30991,29484,41413
"001:00:31.164","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.165","","","","","","ZONE_DISTANCES",27842,26306,12501,16079,15722,16758,15950,16750
"001:00:31.165","","","","","","ZONE_TIMERS",149.660,150.446,108.629,191.477,127.607,172.499,133.584,166.522
"001:00:31.166","","","","","","ZONE_COUNTERS",93,93,31,32,39,39,35,35
"001:00:31.166","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.166","","","","","","TOTAL_ARENA_DISTANCES",54148,28580,32480,32699
"001:00:31.250","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.250","","","","","","ZONE_DISTANCES",135000,159398,77753,100433,87286,101674,113035,116710
"001:00:31.251","","","","","","ZONE_TIMERS",808.028,992.519,710.574,1089.973,799.777,1000.770,911.464,889.083
"001:00:31.251","","","","","","ZONE_COUNTERS",413,413,193,193,234,234,283,282
"001:00:31.252","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.252","","","","","","TOTAL_ARENA_DISTANCES",294398,178186,188960,229744
"001:03:03.137","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:03.139","","","","","","ZONE_DISTANCES",4805,7046,3039,2936,2975,3557,3229,4656
"001:03:03.141","","","","","","ZONE_TIMERS",24.675,35.333,31.384,28.624,27.466,32.542,25.518,34.490
"001:03:03.143","","","","","","ZONE_COUNTERS",22,23,7,8,9,10,11,11
"001:03:03.144","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.146","","","","","","TOTAL_ARENA_DISTANCES",11850,5975,6532,7885
"001:04:03.224","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:03.225","","","","","","ZONE_DISTANCES",5415,5463,2896,3189,3662,2648,4532,2880
"001:04:03.225","","","","","","ZONE_TIMERS",28.221,31.865,23.153,36.934,34.062,26.025,35.666,24.421
"001:04:03.226","","","","","","ZONE_COUNTERS",19,20,7,8,9,9,10,11
"001:04:03.227","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.227","","","","","","TOTAL_ARENA_DISTANCES",10878,6084,6310,7412
"001:05:03.313","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:05:03.314","","","","","","ZONE_DISTANCES",4058,6353,2840,2930,2026,3624,2542,3119
"001:05:03.315","","","","","","ZONE_TIMERS",22.715,37.373,30.029,30.059,21.148,38.939,27.922,32.165
"001:05:03.316","","","","","","ZONE_COUNTERS",19,20,7,7,9,8,8,9
"001:05:03.317","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.318","","","","","","TOTAL_ARENA_DISTANCES",10411,5770,5650,5661
"001:06:03.434","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:06:03.434","","","","","","ZONE_DISTANCES",5886,5166,2708,3490,3166,2569,3151,2627
"001:06:03.435","","","","","","ZONE_TIMERS",31.223,28.897,22.205,37.915,32.000,28.120,30.234,29.886
"001:06:03.435","","","","","","ZONE_COUNTERS",24,24,9,8,8,8,8,8
"001:06:03.436","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.436","","","","","","TOTAL_ARENA_DISTANCES",11052,6199,5735,5778
"001:07:03.524","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:07:03.526","","","","","","ZONE_DISTANCES",4012,6151,2526,3247,2663,3637,2673,3723
"001:07:03.528","","","","","","ZONE_TIMERS",23.286,36.803,28.626,31.462,25.366,34.723,29.807,30.281
"001:07:03.530","","","","","","ZONE_COUNTERS",24,24,8,7,8,8,8,8
"001:07:03.531","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.533","","","","","","TOTAL_ARENA_DISTANCES",10163,5772,6300,6396
