"000:00:00.000","Info","2019-07-18 00:06:09","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7372 a7263 a7209 a8107"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.772","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.773","","","","","","ZONE_DISTANCES",44528,28432,13208,21999,9625,10325,20589,17408
"000:35:30.774","","","","","","ZONE_TIMERS",158.870,141.135,106.155,193.850,148.777,151.228,166.474,133.531
"000:35:30.775","","","","","","ZONE_COUNTERS",110,111,43,44,16,16,47,47
"000:35:30.775","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.775","","","","","","TOTAL_ARENA_DISTANCES",72960,35207,19949,37997
"000:40:30.879","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.879","","","","","","ZONE_DISTANCES",37019,29563,9446,20064,5342,9418,16430,21700
"000:40:30.880","","","","","","ZONE_TIMERS",145.679,154.426,77.140,222.966,32.538,267.567,116.150,183.956
"000:40:30.880","","","","","","ZONE_COUNTERS",106,107,35,36,12,12,56,55
"000:40:30.881","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.881","","","","","","TOTAL_ARENA_DISTANCES",66582,29510,14760,38130
"000:45:30.958","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.958","","","","","","ZONE_DISTANCES",41949,32862,16549,21333,16232,10262,24074,16217
"000:45:30.959","","","","","","ZONE_TIMERS",160.454,139.624,183.150,116.928,214.040,86.037,187.789,112.289
"000:45:30.960","","","","","","ZONE_COUNTERS",115,116,53,54,23,23,61,61
"000:45:30.960","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.961","","","","","","TOTAL_ARENA_DISTANCES",74811,37882,26494,40292
"000:50:31.036","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.036","","","","","","ZONE_DISTANCES",44158,32974,12041,22353,13262,13492,21005,18138
"000:50:31.036","","","","","","ZONE_TIMERS",145.281,154.797,73.475,226.603,86.448,213.630,153.127,146.950
"000:50:31.037","","","","","","ZONE_COUNTERS",96,96,45,46,25,25,59,60
"000:50:31.037","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.038","","","","","","TOTAL_ARENA_DISTANCES",77132,34394,26754,39143
"000:55:31.139","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.141","","","","","","ZONE_DISTANCES",55889,41461,16638,21490,18095,9991,22706,16699
"000:55:31.142","","","","","","ZONE_TIMERS",168.068,132.033,155.394,144.707,235.885,64.217,176.348,123.753
"000:55:31.144","","","","","","ZONE_COUNTERS",148,147,59,60,25,25,66,67
"000:55:31.145","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.147","","","","","","TOTAL_ARENA_DISTANCES",97350,38128,28086,39405
"001:00:31.247","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.247","","","","","","ZONE_DISTANCES",40697,34999,12302,19145,12053,15091,20111,17909
"001:00:31.248","","","","","","ZONE_TIMERS",148.832,151.276,57.689,242.418,77.424,222.684,146.555,153.552
"001:00:31.248","","","","","","ZONE_COUNTERS",111,111,42,43,23,22,75,76
"001:00:31.249","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.249","","","","","","TOTAL_ARENA_DISTANCES",75696,31447,27145,38021
"001:00:31.334","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.336","","","","","","ZONE_DISTANCES",264240,200291,80184,126384,74609,68579,124915,108071
"001:00:31.338","","","","","","ZONE_TIMERS",927.186,873.300,653.005,1147.481,795.121,1005.365,946.446,854.040
"001:00:31.339","","","","","","ZONE_COUNTERS",684,685,277,278,121,121,362,363
"001:00:31.341","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.342","","","","","","TOTAL_ARENA_DISTANCES",464531,206568,143188,232987
