"000:00:00.000","Info","2019-07-18 04:18:19","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7004 a7746 a6890 a7706"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.566","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.566","","","","","","ZONE_DISTANCES",20586,21969,15166,19751,9554,19367,18760,12754
"000:35:30.567","","","","","","ZONE_TIMERS",142.945,157.121,118.631,181.435,96.496,203.570,196.097,103.969
"000:35:30.567","","","","","","ZONE_COUNTERS",57,57,39,39,40,39,40,40
"000:35:30.568","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.568","","","","","","TOTAL_ARENA_DISTANCES",42555,34917,28920,31514
"000:40:30.627","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.627","","","","","","ZONE_DISTANCES",20813,18284,16379,18189,12311,15871,12925,17698
"000:40:30.628","","","","","","ZONE_TIMERS",151.058,149.002,135.472,164.588,128.204,171.856,115.634,184.426
"000:40:30.628","","","","","","ZONE_COUNTERS",56,56,36,35,55,54,45,45
"000:40:30.629","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.629","","","","","","TOTAL_ARENA_DISTANCES",39097,34569,28183,30623
"000:45:30.686","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.687","","","","","","ZONE_DISTANCES",24403,20250,17444,17043,11596,14413,17573,12464
"000:45:30.688","","","","","","ZONE_TIMERS",161.365,138.694,141.645,158.414,118.894,181.165,200.090,99.969
"000:45:30.688","","","","","","ZONE_COUNTERS",63,62,42,41,40,40,40,39
"000:45:30.689","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.689","","","","","","TOTAL_ARENA_DISTANCES",44653,34486,26009,30037
"000:50:30.758","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.759","","","","","","ZONE_DISTANCES",23633,17851,15644,17270,9533,13368,13262,14660
"000:50:30.759","","","","","","ZONE_TIMERS",153.103,146.968,135.986,164.085,117.089,182.981,132.085,167.986
"000:50:30.760","","","","","","ZONE_COUNTERS",57,56,38,38,42,43,39,39
"000:50:30.760","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.760","","","","","","TOTAL_ARENA_DISTANCES",41484,32914,22901,27922
"000:55:30.825","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:30.825","","","","","","ZONE_DISTANCES",23365,20868,13719,17470,8657,15529,16653,12765
"000:55:30.826","","","","","","ZONE_TIMERS",166.194,133.871,116.516,183.549,96.939,203.126,184.168,115.898
"000:55:30.826","","","","","","ZONE_COUNTERS",67,67,33,34,28,28,38,38
"000:55:30.827","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
