"000:00:00.000","Info","2019-07-18 04:17:52","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7587 a7066 a7085 a6984"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.551","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.552","","","","","","ZONE_DISTANCES",23606,962,17799,16927,12750,18087,26907,20023
"000:35:30.553","","","","","","ZONE_TIMERS",297.197,2.805,136.773,163.229,94.783,205.218,169.155,130.846
"000:35:30.553","","","","","","ZONE_COUNTERS",3,3,40,39,25,24,55,56
"000:35:30.554","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.554","","","","","","TOTAL_ARENA_DISTANCES",24568,34726,30837,46929
"000:40:30.589","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.591","","","","","","ZONE_DISTANCES",6742,25777,29777,38478,13327,18494,25870,14536
"000:40:30.593","","","","","","ZONE_TIMERS",49.291,250.745,135.515,164.521,113.334,186.703,219.816,80.220
"000:40:30.595","","","","","","ZONE_COUNTERS",22,22,93,92,24,24,42,42
"000:40:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.598","","","","","","TOTAL_ARENA_DISTANCES",32519,68255,31821,40407
"000:45:30.633","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.634","","","","","","ZONE_DISTANCES",17765,14113,18234,26165,14157,20756,25316,21864
"000:45:30.634","","","","","","ZONE_TIMERS",149.895,150.149,90.944,209.100,88.811,211.233,151.110,148.934
"000:45:30.635","","","","","","ZONE_COUNTERS",42,43,48,48,32,33,64,64
"000:45:30.635","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.635","","","","","","TOTAL_ARENA_DISTANCES",31878,44399,34913,47179
