"000:00:00.000","Info","2019-07-18 00:06:04","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7058 a6936 a7489 a7588"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.676","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.676","","","","","","ZONE_DISTANCES",17644,19971,13944,14457,23653,26004,14457,20360
"000:35:30.677","","","","","","ZONE_TIMERS",128.674,171.330,135.040,164.964,115.616,184.388,107.235,192.769
"000:35:30.677","","","","","","ZONE_COUNTERS",47,46,53,54,56,55,33,32
"000:35:30.678","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.678","","","","","","TOTAL_ARENA_DISTANCES",37615,28401,49657,34817
"000:40:30.712","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.713","","","","","","ZONE_DISTANCES",20082,21777,11555,16256,20712,15477,19009,17960
"000:40:30.713","","","","","","ZONE_TIMERS",159.148,140.888,127.738,172.298,223.742,76.294,148.313,151.723
"000:40:30.714","","","","","","ZONE_COUNTERS",52,52,44,44,48,47,40,40
"000:40:30.715","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.715","","","","","","TOTAL_ARENA_DISTANCES",41859,27811,36189,36969
"000:45:30.757","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.757","","","","","","ZONE_DISTANCES",19341,16594,14027,14730,28918,23296,16744,19328
"000:45:30.758","","","","","","ZONE_TIMERS",149.601,150.442,140.188,159.856,132.744,167.299,128.102,171.942
"000:45:30.758","","","","","","ZONE_COUNTERS",48,49,49,49,69,68,45,45
"000:45:30.758","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.759","","","","","","TOTAL_ARENA_DISTANCES",35935,28757,52214,36072
"000:50:30.795","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.795","","","","","","ZONE_DISTANCES",17650,18454,12962,13815,8052,5673,21702,17099
"000:50:30.796","","","","","","ZONE_TIMERS",152.130,147.907,151.232,148.805,262.773,37.263,170.249,129.787
"000:50:30.796","","","","","","ZONE_COUNTERS",49,49,49,49,15,14,46,45
"000:50:30.797","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.797","","","","","","TOTAL_ARENA_DISTANCES",36104,26778,13725,38801
"000:55:30.806","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:30.806","","","","","","ZONE_DISTANCES",17033,17723,17232,11429,15322,17785,17877,19490
"000:55:30.807","","","","","","ZONE_TIMERS",128.158,171.853,175.021,124.990,63.408,236.602,129.209,170.801
"000:55:30.807","","","","","","ZONE_COUNTERS",43,42,51,50,38,38,44,43
"000:55:30.808","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.808","","","","","","TOTAL_ARENA_DISTANCES",34755,28661,33107,37367
"001:00:30.843","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:30.843","","","","","","ZONE_DISTANCES",18805,19369,12978,15071,5412,4014,22144,17186
"001:00:30.844","","","","","","ZONE_TIMERS",162.693,137.344,141.587,158.450,283.618,16.418,174.021,126.016
"001:00:30.845","","","","","","ZONE_COUNTERS",46,46,51,51,11,12,48,48
"001:00:30.845","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.845","","","","","","TOTAL_ARENA_DISTANCES",38174,28049,9426,39330
"001:00:30.925","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.927","","","","","","ZONE_DISTANCES",110555,113888,82698,85758,102069,92249,111933,111423
"001:00:30.929","","","","","","ZONE_TIMERS",880.406,919.772,870.806,929.371,1081.905,718.273,857.131,943.046
"001:00:30.930","","","","","","ZONE_COUNTERS",282,282,294,295,233,233,252,252
"001:00:30.932","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.933","","","","","","TOTAL_ARENA_DISTANCES",224443,168456,194318,223356
"001:03:02.146","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:03:02.146","","","","","","ZONE_DISTANCES",2630,4405,3876,1363,3150,7372,1874,3398
"001:03:02.147","","","","","","ZONE_TIMERS",19.154,40.860,44.110,15.904,11.722,48.291,15.394,44.620
"001:03:02.148","","","","","","ZONE_COUNTERS",6,7,11,10,9,9,6,7
"001:03:02.148","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.148","","","","","","TOTAL_ARENA_DISTANCES",7035,5239,10521,5272
"001:04:02.204","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:04:02.204","","","","","","ZONE_DISTANCES",3602,3073,2635,2384,816,497,4060,2585
"001:04:02.205","","","","","","ZONE_TIMERS",35.917,24.140,32.201,27.856,58.129,1.928,39.938,20.119
"001:04:02.205","","","","","","ZONE_COUNTERS",8,8,10,9,2,2,8,9
"001:04:02.205","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.206","","","","","","TOTAL_ARENA_DISTANCES",6676,5019,1314,6645
"001:05:02.227","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:05:02.227","","","","","","ZONE_DISTANCES",3124,4166,2965,2423,1565,1728,2822,2812
"001:05:02.228","","","","","","ZONE_TIMERS",21.814,38.208,31.912,28.110,7.353,52.669,23.825,36.197
"001:05:02.229","","","","","","ZONE_COUNTERS",8,8,10,10,4,4,8,9
"001:05:02.229","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.230","","","","","","TOTAL_ARENA_DISTANCES",7290,5388,3293,5634
"001:06:02.246","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:06:02.246","","","","","","ZONE_DISTANCES",3624,3574,3489,2340,667,528,4367,2291
"001:06:02.248","","","","","","ZONE_TIMERS",33.543,26.475,39.296,20.722,57.333,2.684,41.223,18.795
"001:06:02.249","","","","","","ZONE_COUNTERS",8,8,11,12,2,2,6,7
"001:06:02.250","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.250","","","","","","TOTAL_ARENA_DISTANCES",7197,5829,1195,6658
"001:07:02.268","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:07:02.268","","","","","","ZONE_DISTANCES",3575,3827,2696,2743,1632,5875,2939,4088
"001:07:02.269","","","","","","ZONE_TIMERS",25.448,34.573,26.591,33.430,6.791,53.230,22.558,37.463
"001:07:02.270","","","","","","ZONE_COUNTERS",9,9,10,11,9,9,10,10
"001:07:02.270","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.271","","","","","","TOTAL_ARENA_DISTANCES",7403,5439,7506,7027
