"000:00:00.000","Info","2019-06-24 23:56:55","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6984 a7587 a7066 a7085"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.847","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.847","","","","","","ZONE_DISTANCES",11302,18791,8546,21657,13093,23854,45434,63890
"000:35:30.848","","","","","","ZONE_TIMERS",96.182,203.888,68.420,231.650,106.693,193.378,124.982,175.088
"000:35:30.848","","","","","","ZONE_COUNTERS",36,36,27,27,48,49,158,158
"000:35:30.848","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.849","","","","","","TOTAL_ARENA_DISTANCES",30093,30203,36946,109324
"000:40:30.898","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.899","","","","","","ZONE_DISTANCES",20369,17641,8616,14525,16260,20784,100640,141043
"000:40:30.899","","","","","","ZONE_TIMERS",153.041,147.010,53.767,246.284,105.216,194.835,108.488,191.563
"000:40:30.900","","","","","","ZONE_COUNTERS",43,43,17,17,45,45,365,365
"000:40:30.900","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.900","","","","","","TOTAL_ARENA_DISTANCES",38010,23141,37045,241683
"000:45:30.975","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.975","","","","","","ZONE_DISTANCES",11391,21900,14238,9438,17033,17866,94185,141287
"000:45:30.976","","","","","","ZONE_TIMERS",86.792,213.284,211.912,88.163,169.580,130.495,101.064,199.012
"000:45:30.976","","","","","","ZONE_COUNTERS",30,29,18,18,43,43,369,370
"000:45:30.977","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.977","","","","","","TOTAL_ARENA_DISTANCES",33291,23676,34898,235471
