"000:00:00.000","Info","2019-06-25 04:09:00","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7588 a7058 a6936 a7489"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.638","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.638","","","","","","ZONE_DISTANCES",28795,36331,27991,27224,11452,23177,18444,38240
"000:35:30.638","","","","","","ZONE_TIMERS",137.223,162.831,152.339,147.716,94.923,205.132,88.432,211.623
"000:35:30.639","","","","","","ZONE_COUNTERS",90,90,67,67,53,53,55,55
"000:35:30.639","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.640","","","","","","TOTAL_ARENA_DISTANCES",65127,55215,34629,56684
"000:40:30.691","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.692","","","","","","ZONE_DISTANCES",29372,15643,24277,27950,12732,21504,26751,28321
"000:40:30.692","","","","","","ZONE_TIMERS",217.806,82.247,159.683,140.369,106.041,194.012,171.618,128.435
"000:40:30.693","","","","","","ZONE_COUNTERS",50,50,44,43,44,44,52,53
"000:40:30.693","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.693","","","","","","TOTAL_ARENA_DISTANCES",45015,52227,34237,55072
"000:45:30.764","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.765","","","","","","ZONE_DISTANCES",23412,30491,22444,27660,11392,20007,5654,35631
"000:45:30.765","","","","","","ZONE_TIMERS",119.431,180.641,110.364,189.708,106.543,193.529,28.773,271.299
"000:45:30.766","","","","","","ZONE_COUNTERS",64,65,45,44,50,50,15,16
"000:45:30.766","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.766","","","","","","TOTAL_ARENA_DISTANCES",53904,50105,31399,41285
"000:50:30.834","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.834","","","","","","ZONE_DISTANCES",23744,23594,28365,35742,25304,7991,33551,5277
"000:50:30.835","","","","","","ZONE_TIMERS",155.855,144.213,152.419,147.650,223.478,76.590,279.364,20.704
"000:50:30.835","","","","","","ZONE_COUNTERS",51,51,44,43,43,44,14,15
"000:50:30.835","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.836","","","","","","TOTAL_ARENA_DISTANCES",47337,64107,33295,38828
