"000:00:00.000","Info","2019-06-24 23:56:47","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a6900 a7523 a7733 a7410"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.802","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.802","","","","","","ZONE_DISTANCES",10760,10387,16367,24141,7879,14090,35270,46962
"000:35:30.803","","","","","","ZONE_TIMERS",268.228,31.833,112.805,187.256,65.243,234.818,119.420,180.641
"000:35:30.803","","","","","","ZONE_COUNTERS",25,24,52,52,32,33,124,123
"000:35:30.804","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.804","","","","","","TOTAL_ARENA_DISTANCES",21147,40508,21969,82232
"000:40:30.867","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.867","","","","","","ZONE_DISTANCES",8492,8303,23454,17158,12200,10994,29725,19729
"000:40:30.868","","","","","","ZONE_TIMERS",271.027,29.037,175.347,124.717,180.675,119.389,208.220,91.844
"000:40:30.868","","","","","","ZONE_COUNTERS",21,20,47,47,26,26,72,72
"000:40:30.869","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.869","","","","","","TOTAL_ARENA_DISTANCES",16795,40612,23194,49454
"000:45:30.941","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.942","","","","","","ZONE_DISTANCES",10676,9723,16338,23488,6620,6969,34108,40461
"000:45:30.942","","","","","","ZONE_TIMERS",270.034,30.039,121.146,178.927,98.492,201.581,119.580,180.493
"000:45:30.942","","","","","","ZONE_COUNTERS",27,26,45,46,16,15,104,105
"000:45:30.943","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.943","","","","","","TOTAL_ARENA_DISTANCES",20399,39826,13589,74569
"000:50:31.029","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:31.029","","","","","","ZONE_DISTANCES",8192,7893,11511,5703,12503,10867,24705,14371
"000:50:31.029","","","","","","ZONE_TIMERS",174.236,125.850,268.518,31.569,188.300,111.787,218.606,81.481
"000:50:31.030","","","","","","ZONE_COUNTERS",20,20,21,21,28,28,53,54
"000:50:31.030","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.031","","","","","","TOTAL_ARENA_DISTANCES",16085,17214,23370,39076
"000:55:31.089","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:31.089","","","","","","ZONE_DISTANCES",12092,10188,13540,15998,9808,10738,17792,22178
"000:55:31.090","","","","","","ZONE_TIMERS",237.505,62.554,186.857,113.202,154.303,145.756,124.853,175.206
"000:55:31.090","","","","","","ZONE_COUNTERS",28,29,41,41,24,24,55,56
"000:55:31.091","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.091","","","","","","TOTAL_ARENA_DISTANCES",22280,29538,20545,39970
"001:00:31.174","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:31.174","","","","","","ZONE_DISTANCES",9209,9316,7615,4183,13951,11339,19986,10344
"001:00:31.175","","","","","","ZONE_TIMERS",102.498,197.586,243.497,56.587,176.578,123.506,213.366,86.718
"001:00:31.175","","","","","","ZONE_COUNTERS",23,23,15,16,32,31,39,39
"001:00:31.176","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.176","","","","","","TOTAL_ARENA_DISTANCES",18525,11798,25290,30330
"001:00:31.271","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.271","","","","","","ZONE_DISTANCES",59421,55810,88825,90671,62961,64997,161586,154045
"001:00:31.272","","","","","","ZONE_TIMERS",1323.537,476.902,1108.173,692.266,863.598,936.840,1004.054,796.385
"001:00:31.272","","","","","","ZONE_COUNTERS",141,140,219,220,155,155,446,445
"001:00:31.273","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.273","","","","","","TOTAL_ARENA_DISTANCES",115232,179496,127958,315632
"001:03:03.209","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:03.209","","","","","","ZONE_DISTANCES",0,0,0,0,70,0,8545,9357
"001:03:03.210","","","","","","ZONE_TIMERS",60.086,0.000,60.086,0.000,60.086,0.000,29.311,30.774
"001:03:03.210","","","","","","ZONE_COUNTERS",1,0,1,0,1,0,24,23
"001:03:03.211","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.211","","","","","","TOTAL_ARENA_DISTANCES",0,0,70,17902
"001:04:03.280","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:04:03.281","","","","","","ZONE_DISTANCES",0,0,6,0,44,0,5602,3125
"001:04:03.281","","","","","","ZONE_TIMERS",60.071,0.000,60.071,0.000,60.071,0.000,49.506,10.564
"001:04:03.281","","","","","","ZONE_COUNTERS",1,0,1,0,1,0,14,13
"001:04:03.282","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.282","","","","","","TOTAL_ARENA_DISTANCES",0,6,44,8727
"001:05:03.341","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:05:03.341","","","","","","ZONE_DISTANCES",63,0,0,0,969,1413,4687,6195
