"000:00:00.000","Info","2019-06-25 04:08:53","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a8107 a7372 a7263 a7209"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.672","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.673","","","","","","ZONE_DISTANCES",40197,31171,46842,73482,32039,45951,17886,20232
"000:35:30.673","","","","","","ZONE_TIMERS",182.194,117.890,129.773,170.311,93.337,206.747,192.141,107.944
"000:35:30.674","","","","","","ZONE_COUNTERS",85,85,226,225,90,91,37,37
"000:35:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.674","","","","","","TOTAL_ARENA_DISTANCES",71369,120325,77990,38118
"000:40:30.745","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.745","","","","","","ZONE_DISTANCES",33843,36551,90044,54472,42297,31315,16355,17558
"000:40:30.746","","","","","","ZONE_TIMERS",171.387,128.685,174.077,125.995,221.439,78.633,110.433,189.639
"000:40:30.746","","","","","","ZONE_COUNTERS",82,82,319,319,95,95,40,39
"000:40:30.747","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.747","","","","","","TOTAL_ARENA_DISTANCES",70394,144515,73612,33913
