"000:00:00.000","Info","2019-06-26 01:33:55","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7271 a7557 a8106 a7197"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.831","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.831","","","","","","ZONE_DISTANCES",20016,12333,17888,22408,17361,25068,14986,19701
"000:35:30.832","","","","","","ZONE_TIMERS",183.670,116.408,123.195,176.883,104.212,195.866,109.385,190.693
"000:35:30.833","","","","","","ZONE_COUNTERS",43,44,49,48,43,43,41,41
"000:35:30.833","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.833","","","","","","TOTAL_ARENA_DISTANCES",32349,40295,42429,34687
"000:40:30.984","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.985","","","","","","ZONE_DISTANCES",22546,14671,19178,17598,22176,17385,13913,21676
"000:40:30.985","","","","","","ZONE_TIMERS",192.310,107.842,157.598,142.554,176.820,123.332,108.464,191.688
"000:40:30.985","","","","","","ZONE_COUNTERS",51,51,43,42,48,49,40,40
"000:40:30.986","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.986","","","","","","TOTAL_ARENA_DISTANCES",37218,36776,39561,35588
"000:45:31.120","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.121","","","","","","ZONE_DISTANCES",24683,13596,19000,20234,20707,22355,12738,18107
"000:45:31.121","","","","","","ZONE_TIMERS",181.776,118.359,134.462,165.673,127.057,173.078,107.952,192.183
"000:45:31.122","","","","","","ZONE_COUNTERS",50,49,50,50,56,57,39,39
"000:45:31.122","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.123","","","","","","TOTAL_ARENA_DISTANCES",38279,39234,43062,30845
"000:50:31.266","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.266","","","","","","ZONE_DISTANCES",55150,30472,17984,17870,20834,19631,16570,16819
"000:50:31.267","","","","","","ZONE_TIMERS",210.469,89.676,152.369,147.776,158.170,141.975,131.682,168.463
"000:50:31.267","","","","","","ZONE_COUNTERS",109,108,45,46,53,53,43,43
"000:50:31.268","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.268","","","","","","TOTAL_ARENA_DISTANCES",85622,35855,40465,33390
"000:55:31.432","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.432","","","","","","ZONE_DISTANCES",42667,19753,17753,17907,20517,20510,10765,12820
"000:55:31.433","","","","","","ZONE_TIMERS",199.110,101.054,142.497,157.668,138.793,161.372,113.707,186.458
"000:55:31.433","","","","","","ZONE_COUNTERS",64,63,45,45,54,54,31,32
"000:55:31.434","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.434","","","","","","TOTAL_ARENA_DISTANCES",62420,35660,41027,23585
"001:00:31.588","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.589","","","","","","ZONE_DISTANCES",35838,18116,17106,18240,20341,19509,12131,15690
"001:00:31.589","","","","","","ZONE_TIMERS",201.844,98.312,149.854,150.301,158.401,141.755,114.844,185.312
"001:00:31.590","","","","","","ZONE_COUNTERS",55,54,46,45,56,57,36,36
"001:00:31.590","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.591","","","","","","TOTAL_ARENA_DISTANCES",53953,35345,39850,27820
"001:00:31.657","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.658","","","","","","ZONE_DISTANCES",200900,108941,108909,114257,121936,124458,81103,104813
"001:00:31.658","","","","","","ZONE_TIMERS",1169.188,631.654,859.984,940.858,863.456,937.386,686.042,1114.799
"001:00:31.659","","","","","","ZONE_COUNTERS",368,368,275,274,309,309,228,228
"001:00:31.659","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.660","","","","","","TOTAL_ARENA_DISTANCES",309840,223165,246394,185915
"001:03:04.087","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:04.088","","","","","","ZONE_DISTANCES",13116,3976,423,6474,1801,5075,3504,3150
"001:03:04.089","","","","","","ZONE_TIMERS",40.367,19.689,3.015,57.042,13.665,46.392,13.669,46.388
"001:03:04.089","","","","","","ZONE_COUNTERS",18,18,8,9,11,11,9,9
