"000:00:00.000","Info","2019-06-26 05:02:02","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6921 a6830 a8040 a7120"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.618","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.618","","","","","","ZONE_DISTANCES",18505,19270,90401,121927,20057,16470,13306,30152
"000:35:30.619","","","","","","ZONE_TIMERS",115.612,184.461,49.481,250.592,147.575,152.498,73.947,226.127
"000:35:30.619","","","","","","ZONE_COUNTERS",41,42,413,413,49,49,44,44
"000:35:30.620","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.620","","","","","","TOTAL_ARENA_DISTANCES",37775,212329,36527,43458
"000:40:30.707","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.708","","","","","","ZONE_DISTANCES",11627,19094,108085,131723,3446,31414,27540,27179
"000:40:30.708","","","","","","ZONE_TIMERS",94.448,205.640,66.969,233.119,31.412,268.676,165.836,134.252
"000:40:30.709","","","","","","ZONE_COUNTERS",18,19,502,503,16,17,74,75
"000:40:30.709","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.709","","","","","","TOTAL_ARENA_DISTANCES",30721,239808,34860,54719
"000:45:30.804","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.804","","","","","","ZONE_DISTANCES",13515,2454,55958,83581,28456,5535,26195,31509
"000:45:30.804","","","","","","ZONE_TIMERS",268.905,31.190,25.926,274.169,235.815,64.281,115.658,184.437
"000:45:30.805","","","","","","ZONE_COUNTERS",11,11,250,251,27,27,75,75
"000:45:30.805","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
