"000:00:00.000","Info","2019-06-26 05:01:27","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7384 a7185 a7521 a7053"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.625","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.625","","","","","","ZONE_DISTANCES",12374,15587,18933,23322,12436,18960,22904,21738
"000:35:30.626","","","","","","ZONE_TIMERS",130.955,169.104,130.553,169.507,119.757,180.303,151.044,149.015
"000:35:30.626","","","","","","ZONE_COUNTERS",57,58,32,33,39,39,51,51
"000:35:30.627","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.627","","","","","","TOTAL_ARENA_DISTANCES",27961,42255,31396,44642
"000:40:30.803","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.804","","","","","","ZONE_DISTANCES",25238,3500,13413,28655,15162,20934,21520,31273
"000:40:30.804","","","","","","ZONE_TIMERS",264.787,35.390,84.861,215.317,116.315,183.863,113.596,186.581
"000:40:30.805","","","","","","ZONE_COUNTERS",32,33,29,29,41,41,56,57
"000:40:30.806","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.806","","","","","","TOTAL_ARENA_DISTANCES",28738,42068,36096,52792
"000:45:31.008","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.008","","","","","","ZONE_DISTANCES",10868,16153,18867,19893,15005,16110,30337,32677
"000:45:31.009","","","","","","ZONE_TIMERS",125.297,174.907,149.316,150.887,151.212,148.992,156.640,143.563
"000:45:31.009","","","","","","ZONE_COUNTERS",59,60,46,46,40,40,88,89
"000:45:31.010","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.010","","","","","","TOTAL_ARENA_DISTANCES",27021,38760,31115,63014
"000:50:31.159","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.160","","","","","","ZONE_DISTANCES",20019,10084,15911,17739,16160,17365,17682,33639
"000:50:31.160","","","","","","ZONE_TIMERS",198.961,101.189,128.814,171.336,135.119,165.031,82.284,217.866
"000:50:31.161","","","","","","ZONE_COUNTERS",48,49,47,47,38,38,56,57
"000:50:31.162","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.162","","","","","","TOTAL_ARENA_DISTANCES",30103,33651,33525,51321
"000:55:31.340","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.340","","","","","","ZONE_DISTANCES",23279,7084,16714,16856,15944,18460,21571,26316
"000:55:31.341","","","","","","ZONE_TIMERS",237.895,62.285,162.756,137.424,143.915,156.265,137.461,162.719
"000:55:31.341","","","","","","ZONE_COUNTERS",23,23,47,47,40,41,67,67
"000:55:31.342","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.342","","","","","","TOTAL_ARENA_DISTANCES",30363,33569,34404,47887
"001:00:31.523","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.523","","","","","","ZONE_DISTANCES",27655,1715,15783,17385,16894,18306,17462,25881
"001:00:31.524","","","","","","ZONE_TIMERS",288.369,11.814,127.598,172.584,133.070,167.112,98.471,201.711
