"000:00:00.000","Info","2019-06-26 03:16:08","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7426 a7289 a7507 a7648"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.701","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.702","","","","","","ZONE_DISTANCES",31186,29903,21366,16256,20320,20934,16470,42905
"000:35:30.702","","","","","","ZONE_TIMERS",142.983,157.088,169.159,130.913,148.430,151.642,77.807,222.265
"000:35:30.703","","","","","","ZONE_COUNTERS",90,90,54,54,42,42,48,48
"000:35:30.703","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.703","","","","","","TOTAL_ARENA_DISTANCES",61089,37622,41254,59375
"000:40:30.783","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.783","","","","","","ZONE_DISTANCES",27825,27013,26093,23664,18250,29661,26330,42261
"000:40:30.784","","","","","","ZONE_TIMERS",140.009,160.072,156.863,143.218,107.516,192.565,91.883,208.198
"000:40:30.784","","","","","","ZONE_COUNTERS",70,69,84,83,36,36,67,67
"000:40:30.785","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.785","","","","","","TOTAL_ARENA_DISTANCES",54838,49757,47911,68592
"000:45:30.837","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.838","","","","","","ZONE_DISTANCES",35018,30638,27321,4646,20195,21666,29084,31895
"000:45:30.838","","","","","","ZONE_TIMERS",154.637,145.416,270.077,29.976,143.714,156.340,141.022,159.031
"000:45:30.838","","","","","","ZONE_COUNTERS",78,78,28,27,28,29,54,55
"000:45:30.839","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.839","","","","","","TOTAL_ARENA_DISTANCES",65656,31967,41861,60979
"000:50:30.889","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.889","","","","","","ZONE_DISTANCES",26713,26812,20606,27611,20689,27025,20796,44586
"000:50:30.889","","","","","","ZONE_TIMERS",137.616,162.434,98.077,201.973,122.882,177.168,62.103,237.948
"000:50:30.890","","","","","","ZONE_COUNTERS",69,69,67,67,47,48,69,69
"000:50:30.890","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.891","","","","","","TOTAL_ARENA_DISTANCES",53525,48216,47714,65382
