"000:00:00.000","Info","2019-06-26 01:34:20","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a6873 a7373 a7102 a6943"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.787","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.787","","","","","","ZONE_DISTANCES",17994,19318,25948,6851,18028,28108,27789,19992
"000:35:30.788","","","","","","ZONE_TIMERS",147.177,152.883,239.702,60.358,116.829,183.231,184.669,115.392
"000:35:30.788","","","","","","ZONE_COUNTERS",53,54,52,52,76,76,57,56
"000:35:30.788","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.789","","","","","","TOTAL_ARENA_DISTANCES",37312,32799,46136,47780
"000:40:30.849","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.849","","","","","","ZONE_DISTANCES",13518,21849,12123,24555,22395,32984,4296,26021
"000:40:30.850","","","","","","ZONE_TIMERS",97.782,202.279,101.991,198.070,121.326,178.735,26.210,273.851
"000:40:30.850","","","","","","ZONE_COUNTERS",42,43,55,54,84,84,14,14
"000:40:30.850","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.851","","","","","","TOTAL_ARENA_DISTANCES",35367,36678,55379,30317
"000:45:30.900","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.901","","","","","","ZONE_DISTANCES",20690,20034,22136,21226,35985,22980,21861,25621
"000:45:30.901","","","","","","ZONE_TIMERS",155.191,144.860,135.289,164.761,193.940,106.110,152.474,147.576
"000:45:30.901","","","","","","ZONE_COUNTERS",50,50,63,62,92,92,40,40
"000:45:30.902","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.902","","","","","","TOTAL_ARENA_DISTANCES",40723,43362,58966,47482
"000:50:30.975","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.975","","","","","","ZONE_DISTANCES",16475,22290,13376,21434,21194,27428,3408,24751
"000:50:30.975","","","","","","ZONE_TIMERS",110.541,189.533,96.392,203.682,137.960,162.114,26.381,273.692
"000:50:30.976","","","","","","ZONE_COUNTERS",50,49,50,50,69,70,9,9
"000:50:30.976","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.976","","","","","","TOTAL_ARENA_DISTANCES",38765,34810,48621,28159
"000:55:31.041","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:31.042","","","","","","ZONE_DISTANCES",19247,19746,15919,15972,27469,19274,24147,3882
"000:55:31.042","","","","","","ZONE_TIMERS",147.792,152.274,173.506,126.559,184.999,115.067,270.723,29.342
"000:55:31.042","","","","","","ZONE_COUNTERS",44,44,41,42,67,68,14,14
"000:55:31.043","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.043","","","","","","TOTAL_ARENA_DISTANCES",38993,31891,46743,28029
"001:00:31.126","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:31.126","","","","","","ZONE_DISTANCES",15991,22245,21296,19327,20489,25362,937,26838
"001:00:31.127","","","","","","ZONE_TIMERS",112.131,187.952,168.139,131.944,132.702,167.382,5.380,294.704
"001:00:31.127","","","","","","ZONE_COUNTERS",50,50,55,56,61,61,5,5
"001:00:31.127","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.128","","","","","","TOTAL_ARENA_DISTANCES",38236,40623,45851,27775
