000:00:00.000,Info,27/6/19 2:17,Service 'MAGORA' : Execution start,,,,,,,,,,,
000:00:00.000,Info,Subject Identification,a7265 a7208 a7174 a7119,,,,,,,,,,,
000:00:00.000,Info,Apparatus,Zantiks Unit,,,,,,,,,,,
000:00:00.000,Info,Unit ID,DDF484,,,,,,,,,,,
000:35:30.670,,,,BASELINE,UNIT1,VARIABLE,ARENA1_ZONE1_MAGCS,ARENA1_ZONE2_ORANON,ARENA2_ZONE1_MAGCS,ARENA2_ZONE2_ORANON,ARENA3_ZONE1_MAGCS,ARENA3_ZONE2_ORANON,ARENA4_ZONE1_MAGCS,ARENA4_ZONE2_ORANON
000:35:30.670,,,,,,ZONE_DISTANCES,17420,14435,26108,27879,9925,12728,12085,37978
000:35:30.670,,,,,,ZONE_TIMERS,166.589,133.496,142.28,157.805,109.616,190.469,70.984,229.101
000:35:30.671,,,,,,ZONE_COUNTERS,36,36,77,77,32,32,83,84
000:35:30.671,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:35:30.672,,,,,,TOTAL_ARENA_DISTANCES,31856,53986,22653,50062,,,,
000:40:30.746,,,,BASELINE,UNIT2,VARIABLE,ARENA1_ZONE1_ORANON,ARENA1_ZONE2_MAGCS,ARENA2_ZONE1_ORANON,ARENA2_ZONE2_MAGCS,ARENA3_ZONE1_ORANON,ARENA3_ZONE2_MAGCS,ARENA4_ZONE1_ORANON,ARENA4_ZONE2_MAGCS
000:40:30.746,,,,,,ZONE_DISTANCES,16712,17800,27380,25187,12906,8913,31594,9522
000:40:30.747,,,,,,ZONE_TIMERS,169.984,130.092,157.229,142.847,201.579,98.497,231.609,68.467
000:40:30.747,,,,,,ZONE_COUNTERS,35,35,67,67,25,26,66,67
000:40:30.748,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:40:30.748,,,,,,TOTAL_ARENA_DISTANCES,34511,52567,21818,41117,,,,
000:45:30.833,,,,BASELINE,UNIT3,VARIABLE,ARENA1_ZONE1_MAGCS,ARENA1_ZONE2_ORANON,ARENA2_ZONE1_MAGCS,ARENA2_ZONE2_ORANON,ARENA3_ZONE1_MAGCS,ARENA3_ZONE2_ORANON,ARENA4_ZONE1_MAGCS,ARENA4_ZONE2_ORANON
000:45:30.833,,,,,,ZONE_DISTANCES,9873,12331,17801,33347,3897,16589,3661,35892
000:45:30.834,,,,,,ZONE_TIMERS,73.206,226.879,89.68,210.406,45.198,254.887,24.688,275.398
000:45:30.834,,,,,,ZONE_COUNTERS,25,25,84,83,20,21,49,50
000:45:30.835,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:45:30.835,,,,,,TOTAL_ARENA_DISTANCES,22204,51149,20487,39553,,,,
000:50:30.887,,,,BASELINE,UNIT4,VARIABLE,ARENA1_ZONE1_ORANON,ARENA1_ZONE2_MAGCS,ARENA2_ZONE1_ORANON,ARENA2_ZONE2_MAGCS,ARENA3_ZONE1_ORANON,ARENA3_ZONE2_MAGCS,ARENA4_ZONE1_ORANON,ARENA4_ZONE2_MAGCS
000:50:30.887,,,,,,ZONE_DISTANCES,11386,7121,26441,20868,16987,3975,38255,2144
000:50:30.888,,,,,,ZONE_TIMERS,245.269,54.784,172.767,127.286,258.009,42.043,286.173,13.88
000:50:30.888,,,,,,ZONE_COUNTERS,20,20,71,70,23,23,17,17
000:50:30.888,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:50:30.889,,,,,,TOTAL_ARENA_DISTANCES,18507,47308,20962,40398,,,,
000:55:30.959,,,,BASELINE,UNIT5,VARIABLE,ARENA1_ZONE1_MAGCS,ARENA1_ZONE2_ORANON,ARENA2_ZONE1_MAGCS,ARENA2_ZONE2_ORANON,ARENA3_ZONE1_MAGCS,ARENA3_ZONE2_ORANON,ARENA4_ZONE1_MAGCS,ARENA4_ZONE2_ORANON
000:55:30.959,,,,,,ZONE_DISTANCES,4633,8237,20450,28206,3608,17927,1171,39042
000:55:30.959,,,,,,ZONE_TIMERS,42.845,257.226,125.046,175.025,32.935,267.136,8.654,291.417
000:55:30.960,,,,,,ZONE_COUNTERS,15,14,76,76,17,17,12,12
000:55:30.960,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:55:30.961,,,,,,TOTAL_ARENA_DISTANCES,12871,48656,21535,40213,,,,
001:00:31.009,,,,BASELINE,UNIT6,VARIABLE,ARENA1_ZONE1_ORANON,ARENA1_ZONE2_MAGCS,ARENA2_ZONE1_ORANON,ARENA2_ZONE2_MAGCS,ARENA3_ZONE1_ORANON,ARENA3_ZONE2_MAGCS,ARENA4_ZONE1_ORANON,ARENA4_ZONE2_MAGCS
001:00:31.009,,,,,,ZONE_DISTANCES,9207,5005,24569,21522,18582,7604,31894,3541
001:00:31.010,,,,,,ZONE_TIMERS,254.718,45.332,160.817,139.232,223.623,76.427,270.006,30.043
001:00:31.010,,,,,,ZONE_COUNTERS,16,15,67,67,29,29,22,22
001:00:31.011,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:00:31.011,,,,,,TOTAL_ARENA_DISTANCES,14211,46091,26186,35435,,,,
001:00:31.106,,,,BASELINE,TOTAL6UNITS,VARIABLE,ARENA1_ZONE1,ARENA1_ZONE2,ARENA2_ZONE1,ARENA2_ZONE2,ARENA3_ZONE1,ARENA3_ZONE2,ARENA4_ZONE1,ARENA4_ZONE2
001:00:31.107,,,,,,ZONE_DISTANCES,69231,64929,142749,157009,65905,67736,118660,128119
001:00:31.107,,,,,,ZONE_TIMERS,952.619,847.811,847.828,952.602,870.968,929.463,892.122,908.308
001:00:31.108,,,,,,ZONE_COUNTERS,144,143,439,438,145,144,248,248
001:00:31.108,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:00:31.109,,,,,,TOTAL_ARENA_DISTANCES,134160,299758,133641,246779,,,,
001:03:03.114,,,,PROBE,PROBE1,VARIABLE,ARENA1_ZONE1_MAGCS,ARENA1_ZONE2_ORANON,ARENA2_ZONE1_MAGCS,ARENA2_ZONE2_ORANON,ARENA3_ZONE1_MAGCS,ARENA3_ZONE2_ORANON,ARENA4_ZONE1_MAGCS,ARENA4_ZONE2_ORANON
001:03:03.114,,,,,,ZONE_DISTANCES,275,0,242,2303,1030,5332,656,3899
001:03:03.115,,,,,,ZONE_TIMERS,60.063,0,4.767,55.296,8.918,51.145,3.536,56.526
001:03:03.115,,,,,,ZONE_COUNTERS,1,0,4,5,13,13,4,4
001:03:03.116,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:03:03.116,,,,,,TOTAL_ARENA_DISTANCES,275,2545,6362,4555,,,,
001:04:03.485,,,,PROBE,PROBE2,VARIABLE,ARENA1_ZONE1_ORANON,ARENA1_ZONE2_MAGCS,ARENA2_ZONE1_ORANON,ARENA2_ZONE2_MAGCS,ARENA3_ZONE1_ORANON,ARENA3_ZONE2_MAGCS,ARENA4_ZONE1_ORANON,ARENA4_ZONE2_MAGCS
001:04:03.485,,,,,,ZONE_DISTANCES,609,0,0,0,4525,927,4649,437
001:04:03.486,,,,,,ZONE_TIMERS,60.371,0,0,60.371,51.328,9.043,56.252,4.119
001:04:03.486,,,,,,ZONE_COUNTERS,1,0,0,1,6,6,6,6
001:04:03.487,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:04:03.487,,,,,,TOTAL_ARENA_DISTANCES,609,0,5452,5087,,,,
001:05:03.586,,,,PROBE,PROBE3,VARIABLE,ARENA1_ZONE1_MAGCS,ARENA1_ZONE2_ORANON,ARENA2_ZONE1_MAGCS,ARENA2_ZONE2_ORANON,ARENA3_ZONE1_MAGCS,ARENA3_ZONE2_ORANON,ARENA4_ZONE1_MAGCS,ARENA4_ZONE2_ORANON
001:05:03.587,,,,,,ZONE_DISTANCES,2498,2117,244,3161,1562,4201,322,7307
001:05:03.587,,,,,,ZONE_TIMERS,48.738,11.362,2.385,57.715,13.773,46.328,3.464,56.636
001:05:03.588,,,,,,ZONE_COUNTERS,6,5,3,4,8,7,9,9
001:05:03.588,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:05:03.588,,,,,,TOTAL_ARENA_DISTANCES,4615,3405,5763,7628,,,,
001:06:03.642,,,,PROBE,PROBE4,VARIABLE,ARENA1_ZONE1_ORANON,ARENA1_ZONE2_MAGCS,ARENA2_ZONE1_ORANON,ARENA2_ZONE2_MAGCS,ARENA3_ZONE1_ORANON,ARENA3_ZONE2_MAGCS,ARENA4_ZONE1_ORANON,ARENA4_ZONE2_MAGCS
001:06:03.643,,,,,,ZONE_DISTANCES,790,0,6438,969,4862,2738,1322,940
001:06:03.643,,,,,,ZONE_TIMERS,60.056,0,53.259,6.796,44.291,15.764,31.248,28.807
001:06:03.644,,,,,,ZONE_COUNTERS,1,0,5,5,12,11,4,4
001:06:03.644,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:06:03.645,,,,,,TOTAL_ARENA_DISTANCES,790,7407,7600,2263,,,,
