"000:00:00.000","Info","2019-06-27 00:14:57","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7151 a7617 a7195 a7650"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.808","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.809","","","","","","ZONE_DISTANCES",21706,17653,11611,18974,15205,13150,31842,27328
"000:35:30.809","","","","","","ZONE_TIMERS",165.956,134.125,103.471,196.609,158.688,141.393,148.275,151.806
"000:35:30.810","","","","","","ZONE_COUNTERS",53,52,35,36,37,36,70,70
"000:35:30.810","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.810","","","","","","TOTAL_ARENA_DISTANCES",39359,30585,28354,59170
"000:40:30.884","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.885","","","","","","ZONE_DISTANCES",16391,20864,17854,8287,8903,16215,24587,28148
"000:40:30.885","","","","","","ZONE_TIMERS",124.816,175.260,214.797,85.278,95.402,204.673,140.885,159.190
"000:40:30.886","","","","","","ZONE_COUNTERS",39,38,23,23,30,29,55,55
"000:40:30.886","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.886","","","","","","TOTAL_ARENA_DISTANCES",37256,26141,25118,52735
"000:45:30.964","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.964","","","","","","ZONE_DISTANCES",18680,23579,4267,18759,14189,9457,21620,26227
"000:45:30.965","","","","","","ZONE_TIMERS",121.427,178.652,43.516,256.563,190.954,109.125,119.858,180.221
"000:45:30.965","","","","","","ZONE_COUNTERS",49,49,14,14,26,25,52,53
"000:45:30.966","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.966","","","","","","TOTAL_ARENA_DISTANCES",42259,23026,23646,47847
"000:50:31.044","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
