"000:00:00.000","Info","2019-06-27 04:28:19","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a8053 a6863 a7450 a7428"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.631","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.631","","","","","","ZONE_DISTANCES",12551,23290,21197,16682,15516,30686,23102,28185
"000:35:30.631","","","","","","ZONE_TIMERS",113.361,186.710,171.364,128.707,104.695,195.375,134.890,165.181
"000:35:30.632","","","","","","ZONE_COUNTERS",43,43,43,43,58,57,46,47
"000:35:30.632","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.633","","","","","","TOTAL_ARENA_DISTANCES",35841,37880,46202,51287
"000:40:30.686","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.687","","","","","","ZONE_DISTANCES",14203,19386,6388,29360,13162,30175,22970,31739
"000:40:30.688","","","","","","ZONE_TIMERS",117.515,182.539,52.024,248.030,84.009,216.045,116.717,183.337
"000:40:30.689","","","","","","ZONE_COUNTERS",46,46,37,38,34,33,53,54
"000:40:30.690","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.690","","","","","","TOTAL_ARENA_DISTANCES",33590,35748,43337,54709
"000:45:30.776","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.776","","","","","","ZONE_DISTANCES",16582,14959,28389,6809,30904,39493,16398,31131
"000:45:30.776","","","","","","ZONE_TIMERS",148.992,151.097,243.024,57.065,113.522,186.567,77.129,222.960
"000:45:30.777","","","","","","ZONE_COUNTERS",45,45,29,30,69,68,35,36
"000:45:30.777","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.777","","","","","","TOTAL_ARENA_DISTANCES",31540,35199,70397,47530
"000:50:30.851","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.851","","","","","","ZONE_DISTANCES",15675,18796,2167,33799,23765,47383,25099,32506
"000:50:30.852","","","","","","ZONE_TIMERS",188.676,111.398,17.819,282.256,100.594,199.480,118.251,181.823
"000:50:30.852","","","","","","ZONE_COUNTERS",46,46,14,15,93,92,55,55
"000:50:30.853","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.853","","","","","","TOTAL_ARENA_DISTANCES",34471,35966,71148,57605
"000:55:30.903","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:30.904","","","","","","ZONE_DISTANCES",17902,16918,25553,6997,31455,19939,24841,29127
"000:55:30.904","","","","","","ZONE_TIMERS",174.518,125.534,236.004,64.048,192.504,107.548,128.453,171.598
"000:55:30.905","","","","","","ZONE_COUNTERS",44,43,29,29,49,49,53,53
"000:55:30.905","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.905","","","","","","TOTAL_ARENA_DISTANCES",34820,32550,51394,53968
"001:00:30.960","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:30.961","","","","","","ZONE_DISTANCES",16615,20061,5149,31548,14278,35708,21317,30111
"001:00:30.962","","","","","","ZONE_TIMERS",134.484,165.572,46.716,253.339,75.347,224.709,102.841,197.215
"001:00:30.963","","","","","","ZONE_COUNTERS",50,49,33,33,57,58,47,47
"001:00:30.964","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.964","","","","","","TOTAL_ARENA_DISTANCES",36676,36696,49986,51428
"001:00:31.062","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.063","","","","","","ZONE_DISTANCES",93528,113410,88843,125195,129080,203384,133727,182799
"001:00:31.064","","","","","","ZONE_TIMERS",877.556,922.852,766.953,1033.455,670.673,1129.735,678.291,1122.117
"001:00:31.065","","","","","","ZONE_COUNTERS",271,270,184,184,356,356,288,288
"001:00:31.066","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.067","","","","","","TOTAL_ARENA_DISTANCES",206938,214038,332463,316526
"001:03:03.137","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:03:03.138","","","","","","ZONE_DISTANCES",5618,7053,5646,1062,447,8110,5087,5982
"001:03:03.138","","","","","","ZONE_TIMERS",29.501,30.554,50.722,9.334,2.741,57.314,25.520,34.535
"001:03:03.139","","","","","","ZONE_COUNTERS",20,19,11,11,1,2,10,11
"001:03:03.139","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.139","","","","","","TOTAL_ARENA_DISTANCES",12670,6708,8557,11069
"001:04:03.207","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
