"000:00:00.000","Info","2019-06-27 00:14:28","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7304 a7331 a7103 a7524"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.796","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.797","","","","","","ZONE_DISTANCES",10510,9898,19348,19688,13845,16716,24110,14404
"000:35:30.797","","","","","","ZONE_TIMERS",165.482,134.577,133.402,166.657,119.395,180.664,185.239,114.820
"000:35:30.798","","","","","","ZONE_COUNTERS",25,26,44,45,40,40,51,51
"000:35:30.798","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.799","","","","","","TOTAL_ARENA_DISTANCES",20408,39035,30561,38514
"000:40:30.880","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.880","","","","","","ZONE_DISTANCES",11875,9642,15149,17156,18998,17815,21272,18981
"000:40:30.881","","","","","","ZONE_TIMERS",241.984,58.099,160.207,139.876,153.229,146.853,155.907,144.176
"000:40:30.882","","","","","","ZONE_COUNTERS",24,25,32,33,52,51,52,52
"000:40:30.882","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.883","","","","","","TOTAL_ARENA_DISTANCES",21517,32306,36813,40253
"000:45:30.966","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.967","","","","","","ZONE_DISTANCES",9254,11657,14441,19971,17495,19732,12078,19554
"000:45:30.967","","","","","","ZONE_TIMERS",66.698,233.388,96.503,203.582,132.593,167.492,91.406,208.680
"000:45:30.968","","","","","","ZONE_COUNTERS",24,25,40,41,55,54,41,42
"000:45:30.969","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.969","","","","","","TOTAL_ARENA_DISTANCES",20911,34412,37227,31632
"000:50:31.039","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:31.039","","","","","","ZONE_DISTANCES",8694,6769,18404,13983,21286,13599,18674,10158
"000:50:31.040","","","","","","ZONE_TIMERS",127.227,172.845,244.012,56.060,182.576,117.495,223.586,76.486
"000:50:31.040","","","","","","ZONE_COUNTERS",16,16,37,37,51,51,33,33
"000:50:31.041","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.041","","","","","","TOTAL_ARENA_DISTANCES",15463,32387,34885,28832
"000:55:31.120","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:31.120","","","","","","ZONE_DISTANCES",2577,20516,8884,16168,9999,23259,5313,16871
"000:55:31.121","","","","","","ZONE_TIMERS",40.570,259.511,34.710,265.371,84.652,215.428,44.306,255.774
"000:55:31.122","","","","","","ZONE_COUNTERS",20,20,23,22,51,51,24,24
"000:55:31.122","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.123","","","","","","TOTAL_ARENA_DISTANCES",23093,25052,33258,22184
"001:00:31.195","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:31.195","","","","","","ZONE_DISTANCES",147,3716,10415,6647,21971,13372,15483,2849
"001:00:31.196","","","","","","ZONE_TIMERS",0.575,299.498,276.819,23.255,184.652,115.422,278.496,21.578
"001:00:31.197","","","","","","ZONE_COUNTERS",1,2,18,17,58,57,13,13
"001:00:31.197","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.198","","","","","","TOTAL_ARENA_DISTANCES",3864,17062,35343,18331
"001:00:31.279","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.280","","","","","","ZONE_DISTANCES",43057,62198,86641,93613,103594,104493,96930,82817
"001:00:31.281","","","","","","ZONE_TIMERS",642.538,1157.927,945.662,854.803,857.107,943.358,978.949,821.515
"001:00:31.281","","","","","","ZONE_COUNTERS",109,110,192,192,303,303,212,212
"001:00:31.282","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.282","","","","","","TOTAL_ARENA_DISTANCES",105255,180254,208087,179747
"001:03:03.919","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:03:03.920","","","","","","ZONE_DISTANCES",223,0,1342,3931,707,5535,867,5705
"001:03:03.920","","","","","","ZONE_TIMERS",60.071,0.000,5.093,54.978,5.427,54.644,6.727,53.344
"001:03:03.921","","","","","","ZONE_COUNTERS",1,0,3,3,9,10,11,12
"001:03:03.922","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.922","","","","","","TOTAL_ARENA_DISTANCES",223,5273,6242,6572
"001:04:04.060","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:04:04.061","","","","","","ZONE_DISTANCES",0,0,1763,1082,3773,2414,2520,792
"001:04:04.062","","","","","","ZONE_TIMERS",60.141,0.000,56.341,3.799,36.852,23.289,53.519,6.622
"001:04:04.062","","","","","","ZONE_COUNTERS",1,0,3,3,8,8,1,1
"001:04:04.063","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.064","","","","","","TOTAL_ARENA_DISTANCES",0,2846,6187,3312
"001:05:04.182","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:05:04.183","","","","","","ZONE_DISTANCES",0,0,2666,4820,1327,5184,908,4121
"001:05:04.184","","","","","","ZONE_TIMERS",60.121,0.000,8.629,51.492,9.716,50.405,8.969,51.152
"001:05:04.184","","","","","","ZONE_COUNTERS",1,0,7,7,12,12,3,3
"001:05:04.185","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.186","","","","","","TOTAL_ARENA_DISTANCES",0,7486,6510,5029
"001:06:04.293","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:06:04.294","","","","","","ZONE_DISTANCES",0,0,1885,769,3340,2990,3320,651
"001:06:04.295","","","","","","ZONE_TIMERS",60.110,0.000,58.105,2.005,33.616,26.494,52.509,7.601
"001:06:04.295","","","","","","ZONE_COUNTERS",1,0,3,3,9,10,5,5
"001:06:04.296","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.297","","","","","","TOTAL_ARENA_DISTANCES",0,2654,6330,3971
"001:07:04.406","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:07:04.406","","","","","","ZONE_DISTANCES",0,0,3596,4205,1814,4650,2330,2672
