"000:00:00.000","Info","2019-07-01 01:59:28","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a8105 a7705 a7509 a7668"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.657","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.657","","","","","","ZONE_DISTANCES",105,0,21208,20012,22139,20315,22324,7363
"000:35:30.658","","","","","","ZONE_TIMERS",300.073,0.000,136.542,163.531,153.613,146.459,237.061,63.012
"000:35:30.658","","","","","","ZONE_COUNTERS",1,0,51,52,52,52,32,31
"000:35:30.659","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.659","","","","","","TOTAL_ARENA_DISTANCES",105,41219,42454,29687
"000:40:30.729","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.729","","","","","","ZONE_DISTANCES",15,0,20200,23612,21807,16201,13148,25774
"000:40:30.730","","","","","","ZONE_TIMERS",300.071,0.000,139.861,160.210,171.100,128.971,103.958,196.113
"000:40:30.730","","","","","","ZONE_COUNTERS",1,0,40,40,25,24,39,38
"000:40:30.731","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.731","","","","","","TOTAL_ARENA_DISTANCES",15,43812,38007,38922
"000:45:30.805","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.805","","","","","","ZONE_DISTANCES",0,0,23064,18292,29578,5467,30045,1820
"000:45:30.805","","","","","","ZONE_TIMERS",300.075,0.000,194.142,105.933,280.191,19.884,284.867,15.208
"000:45:30.806","","","","","","ZONE_COUNTERS",1,0,37,36,16,15,10,9
"000:45:30.806","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.807","","","","","","TOTAL_ARENA_DISTANCES",0,41356,35046,31865
"000:50:30.861","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.862","","","","","","ZONE_DISTANCES",20,0,19770,17572,23481,17131,5902,31203
"000:50:30.862","","","","","","ZONE_TIMERS",300.056,0.000,149.788,150.268,170.331,129.725,41.911,258.145
"000:50:30.863","","","","","","ZONE_COUNTERS",1,0,32,31,25,25,15,15
"000:50:30.863","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.863","","","","","","TOTAL_ARENA_DISTANCES",20,37342,40612,37106
