"000:00:00.000","Info","2019-07-01 00:23:16","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7197 a7271 a7557 a8106"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.837","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.838","","","","","","ZONE_DISTANCES",17663,18245,26943,5136,15408,14144,16059,20412
"000:35:30.838","","","","","","ZONE_TIMERS",151.743,148.306,255.496,44.554,162.987,137.063,127.667,172.383
"000:35:30.839","","","","","","ZONE_COUNTERS",50,49,26,25,37,37,44,44
"000:35:30.839","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.839","","","","","","TOTAL_ARENA_DISTANCES",35907,32079,29552,36471
"000:40:30.928","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.928","","","","","","ZONE_DISTANCES",8496,22096,8262,29324,8445,17697,12427,22020
"000:40:30.928","","","","","","ZONE_TIMERS",62.550,237.540,60.027,240.062,71.135,228.955,112.636,187.453
"000:40:30.929","","","","","","ZONE_COUNTERS",42,41,38,38,42,43,53,53
"000:40:30.929","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.929","","","","","","TOTAL_ARENA_DISTANCES",30592,37586,26142,34447
"000:45:30.980","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.980","","","","","","ZONE_DISTANCES",18276,15413,29734,2756,19535,6452,17689,18186
"000:45:30.981","","","","","","ZONE_TIMERS",155.926,144.125,276.008,24.044,237.033,63.019,140.953,159.099
"000:45:30.981","","","","","","ZONE_COUNTERS",51,51,22,22,35,35,46,47
"000:45:30.982","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.982","","","","","","TOTAL_ARENA_DISTANCES",33690,32490,25986,35875
"000:50:31.068","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:31.069","","","","","","ZONE_DISTANCES",10909,21411,1783,31710,10211,17225,12561,19450
"000:50:31.070","","","","","","ZONE_TIMERS",87.160,212.927,14.889,285.198,75.756,224.330,79.453,220.633
"000:50:31.070","","","","","","ZONE_COUNTERS",51,51,13,13,39,39,46,47
"000:50:31.071","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.072","","","","","","TOTAL_ARENA_DISTANCES",32319,33493,27436,32010
"000:55:31.126","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:31.127","","","","","","ZONE_DISTANCES",20385,15309,27815,775,18659,9173,15411,17991
"000:55:31.127","","","","","","ZONE_TIMERS",168.189,131.868,293.634,6.424,218.746,81.312,102.492,197.566
"000:55:31.128","","","","","","ZONE_COUNTERS",56,56,3,3,38,38,46,47
"000:55:31.128","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.128","","","","","","TOTAL_ARENA_DISTANCES",35695,28590,27832,33403
"001:00:31.205","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:31.205","","","","","","ZONE_DISTANCES",14862,30074,10344,40892,12500,19441,13315,19730
"001:00:31.205","","","","","","ZONE_TIMERS",82.569,217.508,58.116,241.961,82.892,217.185,81.824,218.253
"001:00:31.206","","","","","","ZONE_COUNTERS",64,65,44,44,42,42,45,46
"001:00:31.206","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.207","","","","","","TOTAL_ARENA_DISTANCES",44936,51236,31942,33045
"001:00:31.301","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
