"000:00:00.000","Info","2019-07-01 01:58:57","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a6943 a6873 a7373 a7102"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.670","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.671","","","","","","ZONE_DISTANCES",21513,28340,9937,22430,1723,16353,21111,22083
"000:35:30.672","","","","","","ZONE_TIMERS",111.513,188.585,69.515,230.584,10.063,290.035,144.706,155.393
"000:35:30.672","","","","","","ZONE_COUNTERS",72,72,44,43,8,8,54,54
"000:35:30.673","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.673","","","","","","TOTAL_ARENA_DISTANCES",49853,32366,18076,43193
"000:40:30.785","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.786","","","","","","ZONE_DISTANCES",32701,11369,17859,16930,17205,8452,24372,26302
"000:40:30.786","","","","","","ZONE_TIMERS",249.663,50.451,166.750,133.364,209.822,90.292,149.267,150.847
"000:40:30.787","","","","","","ZONE_COUNTERS",40,40,38,38,24,24,78,78
"000:40:30.788","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.788","","","","","","TOTAL_ARENA_DISTANCES",44070,34789,25656,50674
"000:45:30.858","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.859","","","","","","ZONE_DISTANCES",15457,21294,19101,19082,5110,26485,22858,28442
"000:45:30.859","","","","","","ZONE_TIMERS",114.201,185.871,129.821,170.251,41.346,258.726,134.529,165.543
"000:45:30.860","","","","","","ZONE_COUNTERS",43,43,46,47,35,35,78,78
"000:45:30.861","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.861","","","","","","TOTAL_ARENA_DISTANCES",36751,38183,31595,51301
"000:50:30.987","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.987","","","","","","ZONE_DISTANCES",25381,13919,18627,17552,20603,10792,25915,26319
"000:50:30.988","","","","","","ZONE_TIMERS",203.151,96.976,177.495,122.632,223.847,76.281,155.991,144.137
"000:50:30.989","","","","","","ZONE_COUNTERS",41,41,47,47,38,38,80,80
"000:50:30.989","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.990","","","","","","TOTAL_ARENA_DISTANCES",39299,36180,31395,52233
"000:55:31.081","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:31.082","","","","","","ZONE_DISTANCES",19525,17088,17099,20657,5783,25670,14431,26012
"000:55:31.083","","","","","","ZONE_TIMERS",146.040,154.054,100.698,199.395,43.484,256.610,95.175,204.918
"000:55:31.083","","","","","","ZONE_COUNTERS",50,49,44,44,38,38,41,40
"000:55:31.084","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.084","","","","","","TOTAL_ARENA_DISTANCES",36613,37755,31453,40444
"001:00:31.186","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:31.186","","","","","","ZONE_DISTANCES",34893,6286,17135,16356,17312,9828,33879,33307
"001:00:31.187","","","","","","ZONE_TIMERS",263.027,37.076,179.028,121.075,207.369,92.734,143.363,156.740
"001:00:31.187","","","","","","ZONE_COUNTERS",41,40,42,42,27,27,92,91
"001:00:31.188","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.188","","","","","","TOTAL_ARENA_DISTANCES",41179,33491,27140,67186
"001:00:31.268","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.269","","","","","","ZONE_DISTANCES",149470,98296,99758,113007,67736,97580,142566,162465
"001:00:31.269","","","","","","ZONE_TIMERS",1087.605,713.015,823.316,977.304,735.940,1064.681,823.040,977.581
"001:00:31.270","","","","","","ZONE_COUNTERS",284,283,259,258,168,167,420,419
"001:00:31.271","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.271","","","","","","TOTAL_ARENA_DISTANCES",247766,212765,165315,305031
