"000:00:00.000","Info","2019-07-02 02:14:12","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7650 a7151 a7617 a7195"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.613","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.615","","","","","","ZONE_DISTANCES",22883,23306,25458,27028,17081,2573,13605,19789
"000:35:30.615","","","","","","ZONE_TIMERS",168.786,131.288,158.563,141.512,278.550,21.525,133.962,166.112
"000:35:30.616","","","","","","ZONE_COUNTERS",53,53,67,66,16,15,34,35
"000:35:30.617","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.617","","","","","","TOTAL_ARENA_DISTANCES",46190,52486,19653,33394
"000:40:30.729","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.729","","","","","","ZONE_DISTANCES",24127,28589,38038,47871,6032,15925,10215,15028
"000:40:30.730","","","","","","ZONE_TIMERS",124.446,175.669,110.966,189.148,53.813,246.301,100.820,199.295
"000:40:30.731","","","","","","ZONE_COUNTERS",56,56,122,121,4,4,29,30
"000:40:30.731","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.732","","","","","","TOTAL_ARENA_DISTANCES",52716,85910,21957,25242
"000:45:30.797","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.798","","","","","","ZONE_DISTANCES",20871,18222,26459,23642,18353,5675,12427,12202
"000:45:30.799","","","","","","ZONE_TIMERS",191.988,108.079,195.335,104.732,252.320,47.747,169.862,130.206
"000:45:30.799","","","","","","ZONE_COUNTERS",40,40,70,69,11,11,27,28
"000:45:30.800","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.800","","","","","","TOTAL_ARENA_DISTANCES",39093,50101,24028,24629
"000:50:30.872","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.872","","","","","","ZONE_DISTANCES",24207,25229,23439,32789,7334,18313,11623,14250
"000:50:30.873","","","","","","ZONE_TIMERS",134.238,165.835,77.134,222.939,69.775,230.298,99.174,200.899
"000:50:30.873","","","","","","ZONE_COUNTERS",58,58,77,77,14,14,30,30
"000:50:30.874","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.874","","","","","","TOTAL_ARENA_DISTANCES",49436,56228,25647,25874
"000:55:30.990","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.991","","","","","","ZONE_DISTANCES",21545,15772,23096,17042,15032,12168,14421,11147
"000:55:30.991","","","","","","ZONE_TIMERS",203.813,96.304,213.923,86.194,156.366,143.752,188.835,111.283
"000:55:30.992","","","","","","ZONE_COUNTERS",38,38,50,51,21,21,31,30
"000:55:30.993","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.993","","","","","","TOTAL_ARENA_DISTANCES",37316,40139,27200,25568
"001:00:31.101","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.102","","","","","","ZONE_DISTANCES",16310,19143,16728,29588,5421,22137,10436,14722
"001:00:31.103","","","","","","ZONE_TIMERS",132.940,167.170,80.704,219.406,44.097,256.013,98.238,201.872
"001:00:31.103","","","","","","ZONE_COUNTERS",40,39,48,49,26,26,30,29
"001:00:31.104","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.104","","","","","","TOTAL_ARENA_DISTANCES",35453,46315,27558,25158
"001:00:31.191","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.192","","","","","","ZONE_DISTANCES",129943,130261,153218,177960,69253,76791,72727,87138
"001:00:31.193","","","","","","ZONE_TIMERS",956.221,844.349,836.629,963.941,854.924,945.645,790.900,1009.670
"001:00:31.193","","","","","","ZONE_COUNTERS",282,282,431,431,89,89,179,179
"001:00:31.194","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.194","","","","","","TOTAL_ARENA_DISTANCES",260204,331178,146043,159864
"001:03:03.696","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:03.697","","","","","","ZONE_DISTANCES",4209,3680,5900,4296,3458,2921,2921,2191
"001:03:03.698","","","","","","ZONE_TIMERS",40.585,19.540,37.663,22.461,36.794,23.330,42.459,17.666
"001:03:03.699","","","","","","ZONE_COUNTERS",11,11,17,16,8,8,7,6
"001:03:03.699","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.700","","","","","","TOTAL_ARENA_DISTANCES",7889,10195,6379,5112
"001:04:03.787","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:04:03.788","","","","","","ZONE_DISTANCES",4405,4103,4966,6627,1661,4266,2727,2755
