"000:00:00.000","Info","2019-07-03 02:06:14","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7102 a6943 a6873 a7373"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.613","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.614","","","","","","ZONE_DISTANCES",12844,19703,8064,22195,12452,24835,7448,17740
"000:35:30.614","","","","","","ZONE_TIMERS",114.993,185.070,60.391,239.672,110.344,189.718,86.941,213.122
"000:35:30.614","","","","","","ZONE_COUNTERS",41,41,23,23,59,59,54,54
"000:35:30.615","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.615","","","","","","TOTAL_ARENA_DISTANCES",32548,30259,37287,25188
"000:40:30.704","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.704","","","","","","ZONE_DISTANCES",13410,18734,16015,6360,14248,23402,18115,756
"000:40:30.705","","","","","","ZONE_TIMERS",118.691,181.399,244.819,55.271,94.299,205.790,294.145,5.945
"000:40:30.705","","","","","","ZONE_COUNTERS",45,46,17,17,52,52,8,8
"000:40:30.705","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.706","","","","","","TOTAL_ARENA_DISTANCES",32144,22375,37650,18871
"000:45:30.769","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.769","","","","","","ZONE_DISTANCES",16106,15203,924,19250,19724,18587,238,25322
"000:45:30.769","","","","","","ZONE_TIMERS",157.776,142.288,6.011,294.052,176.649,123.415,1.651,298.413
"000:45:30.770","","","","","","ZONE_COUNTERS",42,42,4,4,59,58,3,3
"000:45:30.770","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.771","","","","","","TOTAL_ARENA_DISTANCES",31308,20174,38311,25560
"000:50:30.822","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.823","","","","","","ZONE_DISTANCES",15418,11159,18024,276,15636,22337,16530,292
