"000:00:00.000","Info","2019-07-03 04:32:51","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a6986 a7586 a7026 a7042"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.634","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.635","","","","","","ZONE_DISTANCES",14926,13385,4356,20075,10545,29049,11458,13949
"000:35:30.636","","","","","","ZONE_TIMERS",162.529,137.537,49.506,250.560,76.690,223.375,126.713,173.353
"000:35:30.636","","","","","","ZONE_COUNTERS",66,65,50,51,88,89,32,31
"000:35:30.637","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.637","","","","","","TOTAL_ARENA_DISTANCES",28311,24431,39594,25406
"000:40:30.784","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.785","","","","","","ZONE_DISTANCES",17662,14869,6050,14342,15827,11373,8006,11333
"000:40:30.786","","","","","","ZONE_TIMERS",162.488,137.661,82.872,217.277,173.169,126.980,105.854,194.295
"000:40:30.786","","","","","","ZONE_COUNTERS",57,56,53,53,92,92,22,22
"000:40:30.787","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.787","","","","","","TOTAL_ARENA_DISTANCES",32530,20392,27200,19339
"000:45:30.946","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.947","","","","","","ZONE_DISTANCES",12142,14681,5011,14269,5973,19336,7274,10693
"000:45:30.948","","","","","","ZONE_TIMERS",140.029,160.132,69.851,230.310,71.188,228.973,100.517,199.644
"000:45:30.948","","","","","","ZONE_COUNTERS",55,55,39,39,76,76,23,23
"000:45:30.949","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.949","","","","","","TOTAL_ARENA_DISTANCES",26823,19279,25309,17967
"000:50:31.137","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.137","","","","","","ZONE_DISTANCES",15381,11223,6543,13571,15992,8379,7291,11842
"000:50:31.138","","","","","","ZONE_TIMERS",171.714,128.475,82.087,218.102,193.433,106.756,88.977,211.212
"000:50:31.138","","","","","","ZONE_COUNTERS",43,44,55,56,76,76,28,28
"000:50:31.139","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.139","","","","","","TOTAL_ARENA_DISTANCES",26604,20114,24371,19133
"000:55:31.304","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.304","","","","","","ZONE_DISTANCES",8346,16410,6596,14508,6495,18595,2528,6913
"000:55:31.305","","","","","","ZONE_TIMERS",111.196,188.969,96.367,203.799,74.189,225.977,36.563,263.603
"000:55:31.305","","","","","","ZONE_COUNTERS",46,47,48,49,80,80,12,13
"000:55:31.306","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.306","","","","","","TOTAL_ARENA_DISTANCES",24756,21104,25090,9442
"001:00:31.474","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.475","","","","","","ZONE_DISTANCES",16645,10622,6465,13876,13986,13366,3613,6941
"001:00:31.476","","","","","","ZONE_TIMERS",183.372,116.797,79.546,220.623,149.744,150.425,61.265,238.904
"001:00:31.477","","","","","","ZONE_COUNTERS",46,47,48,48,83,83,15,16
"001:00:31.478","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.479","","","","","","TOTAL_ARENA_DISTANCES",27266,20341,27351,10553
"001:00:31.564","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.565","","","","","","ZONE_DISTANCES",85102,81190,35021,90641,68818,100098,40170,61671
"001:00:31.566","","","","","","ZONE_TIMERS",931.330,869.585,460.243,1340.673,738.426,1062.489,519.891,1281.024
"001:00:31.567","","","","","","ZONE_COUNTERS",311,311,292,292,493,493,130,130
"001:00:31.568","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.569","","","","","","TOTAL_ARENA_DISTANCES",166292,125661,168915,101840
"001:03:04.366","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.366","","","","","","ZONE_DISTANCES",991,3144,368,3694,444,4981,266,1175
"001:03:04.367","","","","","","ZONE_TIMERS",13.934,46.132,5.128,54.938,5.026,55.040,3.906,56.160
"001:03:04.368","","","","","","ZONE_COUNTERS",10,10,6,7,4,5,2,3
"001:03:04.368","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.369","","","","","","TOTAL_ARENA_DISTANCES",4135,4063,5425,1441
